"Team","X","Opponent","Date","Game.ID","Off.Pct","Off.Pass.Avg","Off.Rush.Avg","Off.Tot.Avg","Off.X1stDowns.PerPos","Off.X1stDowns.Avg","Off.Tot.TD","Off.TD.PossPct","Off.Points","Off.Points.PerPos","Off.FG.","Off.FGA.PossPct","Off.FGM.PossPct","Off.FGF.PossPct","Off.XP.","Off.XPM.PossPct","Off.XPF.PossPct","Off.Scoring.PossPct","Off.NonScoring.PossPct","Off.Negative.PossPct","Off.X3rdDown..Conversion..","Off.X4thDown..Conversion..","Off.RedZone..TD..","Off.Minus.Def.Points.Margin","Off.Minus.Def.Points.Margin.PerPos","Off.Minus.Def.TD.Margin","Off.Minus.Def.TD.Margin.PerPos","Off.Minus.Def.Yds.Margin.Avg","Def.Sfty","Def.Sfty.PossPct","Def.QB.Hurries","Def.QB.Hurries.PerPos","Def.QB.Hurries.Avg","Def.KicksPunts.Blocked","Def.KicksPunts.Blocked.Pct","Def.Tackles.Solo.Avg","Def.Tackles.Ast.Avg","Def.Tackles.Tot.Avg","Def.Tackles.Loss","Def.Tackles.Sk","Def.Tackles.Loss.PerPos","Def.Tackles.Sk.PerPos","Def.Tackles.Loss.Avg","Def.Tackles.Sk.Avg","Def.QB.Hurries.To.Pass.Att.Ratio","Def.Tackles.Sk.To.Pass.Att.Ratio","Def.Int.PD.PerPos","Def.Int.PD.Avg","Def.Fumbles.FF","Def.Fumbles.FF.PerPos","Def.Fumbles.FF.Avg","Def.Tot.TD.PossPct","Def.Tot.Pts.PerPos","Off.ST.Punting.Punts","Off_w_ST.Punt.PossPct","Off_w_ST.Punt.Sfty.PossPct","Off.ST.Punting.Avg","Off.ST.Return.TD","Off.ST.Return.Yds","Off.ST.Return.TD.PerRet","Off.ST.Return.Yds.PerRet","Off.ST.Return.TD.PossPct","Off.ST.Return.Yds.PerPos","Off_w_ST.Tot.TO","Off_w_ST.Tot.TO.PossPct","Off_w_ST.Tot.TO.NonScoring","Off_w_ST.Tot.TO.NonScoring.PossPct","Off_w_ST.Pts","Off_w_ST.Pts.PerPos","Off_w_ST.Yds.Avg","Off_w_ST.Yds","Off_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Pts.PerPos","Def_w_ST.TD","Def_w_ST.TD.PossPct","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin.Avg","Off_w_ST.TD.TO.Diff","Off_w_ST.Scoring.PossPct","Off_w_ST.FGM.PossPct","Off_w_ST.TD.PossPct","Off_w_ST.Empty.PossPct","Off_w_ST.FGF.PossPct","Off_w_ST.Negative.PossPct","Off_w_ST.Plays.PerPos","Homefield"
"Air Force","","Non-Major","2009-09-05",1,53.8,4.7,2.05,2.6,0.538461538461538,0.12280701754386,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0,0,1,0.0769230769230769,7.14,50,0,-6,-0.461538461538462,-1,-0.0769230769230769,2.47368421052632,0,0,0,0,0,0,0,0.473684210526316,0.947368421052632,1.58823529411765,6,3,0.461538461538462,0.230769230769231,0.117647058823529,0.0526315789473684,0,0.230769230769231,0.153846153846154,0.153846153846154,1,0.0769230769230769,0.0196078431372549,0.0769230769230769,0.461538461538462,7,0.538461538461538,0.538461538461538,46.71,0,143,0,14.3,0,11,4,0.307692307692308,3,0.230769230769231,0,0,4.38805970149254,294,0,6,0.461538461538462,1,0.0769230769230769,-6,-0.461538461538462,-1,-0.0769230769230769,284,4.23880597014925,-4,0,0,0,1,0.0769230769230769,0.0769230769230769,5.15384615384615,""
"Air Force","@","Minnesota","2009-09-12",2,69,7.6,4.5,6.2,1.75,0.264150943396226,1,0.125,14,1.75,1,0.25,0.25,0,1,0.25,0,0.375,0.625,0,36.36,0,50,14,1.75,1,0.125,6.16981132075472,0,0,0,0,0,0,0,0.60377358490566,0.377358490566038,1.18181818181818,3,1,0.375,0.125,0.0681818181818182,0.0188679245283019,0,0.0344827586206897,0.25,0.0689655172413793,1,0.125,0.0227272727272727,0,0,4,0.5,0.5,47,0,89,0,29.6666666666667,0,11.125,1,0.125,1,0.125,14,1.75,7.42857142857143,416,1,0,0,0,0,14,1.75,1,0.125,416,7.42857142857143,0,0.375,0.25,0.125,0.625,0,0,7,"@"
"Air Force","@","New Mexico","2009-09-19",3,52.2,4.4,6.48,5.6,0.833333333333333,0.192307692307692,2,0.166666666666667,13,1.08333333333333,0,0.0833333333333333,0,0.0833333333333333,1,0.0833333333333333,0,0.166666666666667,0.833333333333333,0.0833333333333333,16.67,50,0,7,0.583333333333333,1,0.0833333333333333,4.53846153846154,0,0,2,0.166666666666667,0.0384615384615385,1,0.2,0.653846153846154,0.423076923076923,1.36585365853659,6,4,0.5,0.333333333333333,0.146341463414634,0.0769230769230769,0.0869565217391304,0.173913043478261,0.0833333333333333,0.0434782608695652,1,0.0833333333333333,0.024390243902439,0.0833333333333333,0.5,4,0.333333333333333,0.333333333333333,41,0,123,0,13.6666666666667,0,10.25,4,0.333333333333333,3,0.25,13,1.08333333333333,6.77049180327869,413,2,6,0.5,1,0.0833333333333333,7,0.583333333333333,1,0.0833333333333333,359,5.88524590163934,-2,0.166666666666667,0,0.166666666666667,0.833333333333333,0.0833333333333333,0.0833333333333333,5.08333333333333,"@"
"Air Force","","San Diego State","2009-09-26",4,61,6.9,1.56,4.9,1.06666666666667,0.242424242424242,2,0.133333333333333,12,0.8,0,0.0666666666666667,0,0.0666666666666667,0,0,0.0666666666666667,0.133333333333333,0.866666666666667,0.133333333333333,28.57,100,100,0,0,0,0,3.46969696969697,0,0,0,0,0,1,0.142857142857143,0.484848484848485,0.545454545454545,1.36,7,3,0.466666666666667,0.2,0.14,0.0454545454545455,0,0.0731707317073171,0.4,0.146341463414634,2,0.133333333333333,0.04,0.133333333333333,0.8,6,0.4,0.4,52.5,0,50,0,16.6666666666667,0,3.33333333333333,6,0.4,4,0.266666666666667,12,0.8,5.40579710144928,373,2,12,0.8,2,0.133333333333333,0,0,0,0,279,4.04347826086957,-4,0.133333333333333,0,0.133333333333333,0.866666666666667,0.0666666666666667,0.133333333333333,4.6,""
"Air Force","@","Navy","2009-10-03",5,75,9,3.09,3.5,0.909090909090909,0.166666666666667,1,0.0909090909090909,16,1.45454545454545,1,0.272727272727273,0.272727272727273,0,1,0.0909090909090909,0,0.363636363636364,0.636363636363636,0.0909090909090909,29.41,100,50,10,0.909090909090909,0,0,2.36666666666667,0,0,0,0,0,0,0,0.6,0.8,1.42372881355932,3,0,0.272727272727273,0,0.0508474576271186,0,0,0,0.0909090909090909,0.25,1,0.0909090909090909,0.0169491525423729,0.0909090909090909,0.545454545454545,5,0.454545454545455,0.454545454545455,41.8,0,65,0,16.25,0,5.90909090909091,2,0.181818181818182,1,0.0909090909090909,16,1.45454545454545,4.28125,274,1,6,0.545454545454545,1,0.0909090909090909,10,0.909090909090909,0,0,207,3.234375,-1,0.363636363636364,0.272727272727273,0.0909090909090909,0.636363636363636,0,0.0909090909090909,5.81818181818182,"@"
"Air Force","","Texas Christian","2009-10-10",6,57.1,7.1,3.75,4.9,2.09090909090909,0.2875,2,0.181818181818182,20,1.81818181818182,1,0.181818181818182,0.181818181818182,0,1,0.181818181818182,0,0.363636363636364,0.636363636363636,0,50,100,33.33,20,1.81818181818182,2,0.181818181818182,4.9125,0,0,0,0,0,0,0,0.5375,0.625,1.36764705882353,5,3,0.454545454545455,0.272727272727273,0.0735294117647059,0.0375,0,0.107142857142857,0.0909090909090909,0.0357142857142857,2,0.181818181818182,0.0294117647058824,0,0,4,0.363636363636364,0.363636363636364,40.75,0,120,0,17.1428571428571,0,10.9090909090909,3,0.272727272727273,3,0.272727272727273,20,1.81818181818182,5.89655172413793,513,2,0,0,0,0,20,1.81818181818182,2,0.181818181818182,513,5.89655172413793,-1,0.363636363636364,0.181818181818182,0.181818181818182,0.636363636363636,0,0,7.90909090909091,""
"Air Force","","Wyoming","2009-10-17",7,45.2,2.4,2.86,2.6,1.45454545454545,0.242424242424242,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,1,0,25,33.33,0,0,0,0,0,2.22727272727273,0,0,0,0,0,1,0.125,0.53030303030303,0.363636363636364,1.20408163265306,7,5,0.636363636363636,0.454545454545455,0.142857142857143,0.0757575757575758,0,0.161290322580645,0.727272727272727,0.258064516129032,0,0,0,0,0,7,0.636363636363636,0.636363636363636,37.29,0,57,0,28.5,0,5.18181818181818,1,0.0909090909090909,1,0.0909090909090909,0,0,3.39705882352941,231,0,0,0,0,0,0,0,0,0,204,3,-1,0,0,0,1,0.0909090909090909,0,6.18181818181818,""
"Air Force","@","Utah","2009-10-24",8,52.4,8,3.33,5.2,0.571428571428571,0.156862745098039,3,0.214285714285714,23,1.64285714285714,1,0.0714285714285714,0.0714285714285714,0,0.666666666666667,0.142857142857143,0.0714285714285714,0.285714285714286,0.714285714285714,0,28.57,0,50,23,1.64285714285714,3,0.214285714285714,5.23529411764706,0,0,0,0,0,0,0,0.549019607843137,0.627450980392157,1.46341463414634,7,3,0.5,0.214285714285714,0.170731707317073,0.0588235294117647,0,0.142857142857143,0.214285714285714,0.142857142857143,3,0.214285714285714,0.0731707317073171,0,0,8,0.571428571428571,0.571428571428571,48.13,0,134,0,16.75,0,9.57142857142857,2,0.142857142857143,2,0.142857142857143,23,1.64285714285714,6.79661016949153,401,3,0,0,0,0,23,1.64285714285714,3,0.214285714285714,401,6.79661016949153,1,0.285714285714286,0.0714285714285714,0.214285714285714,0.714285714285714,0,0,4.21428571428571,"@"
"Air Force","@","Colorado State","2009-10-31",9,36.8,4.6,4.74,4.7,2,0.280701754385965,2,0.25,16,2,1,0.125,0.125,0,1,0.125,0,0.375,0.625,0,46.15,33.33,66.67,16,2,2,0.25,4.45614035087719,0,0,1,0.125,0.0175438596491228,0,0,0.491228070175439,0.596491228070175,1.37777777777778,2,0,0.25,0,0.0444444444444444,0,0.0526315789473684,0,0.5,0.210526315789474,0,0,0,0,0,2,0.25,0.25,47.5,0,119,0,23.8,0,14.875,1,0.125,1,0.125,16,2,6.2258064516129,386,2,0,0,0,0,16,2,2,0.25,373,6.01612903225806,1,0.375,0.125,0.25,0.625,0,0,7.75,"@"
"Air Force","","Army","2009-11-07",10,40,4.4,4,4.1,0.909090909090909,0.172413793103448,1,0.0909090909090909,7,0.636363636363636,0,0,0,0,1,0.0909090909090909,0,0.0909090909090909,0.909090909090909,0,26.67,100,0,7,0.636363636363636,1,0.0909090909090909,4.06896551724138,0,0,0,0,0,0,0,0.53448275862069,0.793103448275862,1.48076923076923,6,0,0.545454545454545,0,0.115384615384615,0,0,0,0.272727272727273,0.3,0,0,0,0,0,10,0.909090909090909,0.909090909090909,38.1,0,33,0,8.25,0,3,0,0,0,0,7,0.636363636363636,4.33870967741935,269,1,0,0,0,0,7,0.636363636363636,1,0.0909090909090909,269,4.33870967741935,1,0.0909090909090909,0,0.0909090909090909,0.909090909090909,0,0,5.63636363636364,""
"Air Force","","Nevada-Las Vegas","2009-11-14",11,56.5,5.9,3.77,4.5,1.45454545454545,0.258064516129032,2,0.181818181818182,17,1.54545454545455,1,0.0909090909090909,0.0909090909090909,0,1,0.181818181818182,0,0.272727272727273,0.727272727272727,0,15.38,75,33.33,17,1.54545454545455,2,0.181818181818182,4.54838709677419,0,0,0,0,0,0,0,0.709677419354839,0.32258064516129,1.23076923076923,4,1,0.363636363636364,0.0909090909090909,0.0769230769230769,0.0161290322580645,0,0.0434782608695652,0.363636363636364,0.173913043478261,0,0,0,0,0,6,0.545454545454545,0.545454545454545,43.33,0,102,0,17,0,9.27272727272727,1,0.0909090909090909,1,0.0909090909090909,17,1.54545454545455,5.64705882352941,384,2,0,0,0,0,17,1.54545454545455,2,0.181818181818182,384,5.64705882352941,1,0.272727272727273,0.0909090909090909,0.181818181818182,0.727272727272727,0,0,6.18181818181818,""
"Air Force","@","Brigham Young","2009-11-21",12,73.3,8.4,4.84,7.1,2.16666666666667,0.371428571428571,5,0.416666666666667,38,3.16666666666667,0.5,0.166666666666667,0.0833333333333333,0.0833333333333333,1,0.416666666666667,0,0.5,0.5,0,60,0,71.43,38,3.16666666666667,5,0.416666666666667,6.87142857142857,0,0,5,0.416666666666667,0.0714285714285714,1,0.333333333333333,0.628571428571429,0.485714285714286,1.3448275862069,3,0,0.25,0,0.0517241379310345,0,0.111111111111111,0,0.25,0.0666666666666667,1,0.0833333333333333,0.0172413793103448,0,0,1,0.0833333333333333,0.0833333333333333,41,0,69,0,11.5,0,5.75,3,0.25,3,0.25,38,3.16666666666667,7.46052631578947,567,5,0,0,0,0,38,3.16666666666667,5,0.416666666666667,550,7.23684210526316,2,0.5,0.0833333333333333,0.416666666666667,0.5,0.0833333333333333,0,6.33333333333333,"@"
"Air Force","N","Houston","2009-12-31",13,58.5,5.4,5.45,5.4,1.38461538461538,0.295081967213115,1,0.0833333333333333,14,1.16666666666667,1,0.166666666666667,0.166666666666667,0,1,0.153846153846154,0,0.25,0.75,0,40,50,33.33,14,1.07692307692308,1,0.0769230769230769,4.77049180327869,0,0,1,0.0769230769230769,0.0163934426229508,0,0,0.573770491803279,0.327868852459016,1.25,1,0,0.0769230769230769,0,0.0227272727272727,0,0.024390243902439,0,0.461538461538462,0.146341463414634,0,0,0,0,0,2,0.153846153846154,0.153846153846154,45.5,1,128,0.142857142857143,18.2857142857143,0.0769230769230769,9.84615384615385,6,0.461538461538462,6,0.461538461538462,20,1.53846153846154,6.75,459,2,0,0,0,0,20,1.53846153846154,2,0.153846153846154,419,6.16176470588235,-4,0.307692307692308,0.153846153846154,0.153846153846154,0.692307692307692,0,0,5.23076923076923,"N"
