"Team","X","Opponent","Date","Game.ID","Off.Pct","Off.Pass.Avg","Off.Rush.Avg","Off.Tot.Avg","Off.X1stDowns.PerPos","Off.X1stDowns.Avg","Off.Tot.TD","Off.TD.PossPct","Off.Points","Off.Points.PerPos","Off.FG.","Off.FGA.PossPct","Off.FGM.PossPct","Off.FGF.PossPct","Off.XP.","Off.XPM.PossPct","Off.XPF.PossPct","Off.Scoring.PossPct","Off.NonScoring.PossPct","Off.Negative.PossPct","Off.X3rdDown..Conversion..","Off.X4thDown..Conversion..","Off.RedZone..TD..","Off.Minus.Def.Points.Margin","Off.Minus.Def.Points.Margin.PerPos","Off.Minus.Def.TD.Margin","Off.Minus.Def.TD.Margin.PerPos","Off.Minus.Def.Yds.Margin.Avg","Def.Sfty","Def.Sfty.PossPct","Def.QB.Hurries","Def.QB.Hurries.PerPos","Def.QB.Hurries.Avg","Def.KicksPunts.Blocked","Def.KicksPunts.Blocked.Pct","Def.Tackles.Solo.Avg","Def.Tackles.Ast.Avg","Def.Tackles.Tot.Avg","Def.Tackles.Loss","Def.Tackles.Sk","Def.Tackles.Loss.PerPos","Def.Tackles.Sk.PerPos","Def.Tackles.Loss.Avg","Def.Tackles.Sk.Avg","Def.QB.Hurries.To.Pass.Att.Ratio","Def.Tackles.Sk.To.Pass.Att.Ratio","Def.Int.PD.PerPos","Def.Int.PD.Avg","Def.Fumbles.FF","Def.Fumbles.FF.PerPos","Def.Fumbles.FF.Avg","Def.Tot.TD.PossPct","Def.Tot.Pts.PerPos","Off.ST.Punting.Punts","Off_w_ST.Punt.PossPct","Off_w_ST.Punt.Sfty.PossPct","Off.ST.Punting.Avg","Off.ST.Return.TD","Off.ST.Return.Yds","Off.ST.Return.TD.PerRet","Off.ST.Return.Yds.PerRet","Off.ST.Return.TD.PossPct","Off.ST.Return.Yds.PerPos","Off_w_ST.Tot.TO","Off_w_ST.Tot.TO.PossPct","Off_w_ST.Tot.TO.NonScoring","Off_w_ST.Tot.TO.NonScoring.PossPct","Off_w_ST.Pts","Off_w_ST.Pts.PerPos","Off_w_ST.Yds.Avg","Off_w_ST.Yds","Off_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Pts.PerPos","Def_w_ST.TD","Def_w_ST.TD.PossPct","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin.Avg","Off_w_ST.TD.TO.Diff","Off_w_ST.Scoring.PossPct","Off_w_ST.FGM.PossPct","Off_w_ST.TD.PossPct","Off_w_ST.Empty.PossPct","Off_w_ST.FGF.PossPct","Off_w_ST.Negative.PossPct","Off_w_ST.Plays.PerPos","Homefield"
"Air Force","","Non-Major","2009-09-05",1,71.4,14.6,6.97,7.7,1.84615384615385,0.32,9,0.692307692307692,66,5.07692307692308,1,0.0769230769230769,0.0769230769230769,0,0.9,0.692307692307692,0.0769230769230769,0.769230769230769,0.230769230769231,NA,53.33,100,88.89,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.230769230769231,0.230769230769231,43.67,0,46,0,23,0,3.53846153846154,0,0,0,0,66,5.07692307692308,8.07792207792208,622,9,0,0,0,0,66,5.07692307692308,9,0.692307692307692,NA,NA,9,0.769230769230769,0.0769230769230769,0.692307692307692,0.230769230769231,0,0,5.92307692307692,""
"Air Force","@","Minnesota","2009-09-12",2,58.8,7.4,3.95,4.7,2.66666666666667,0.289156626506024,1,0.111111111111111,13,1.44444444444444,1,0.222222222222222,0.222222222222222,0,1,0.111111111111111,0,0.333333333333333,0.666666666666667,0.111111111111111,57.14,66.67,0,7,0.777777777777778,0,0,4.02409638554217,0,0,0,0,0,0,0,0.72289156626506,0.409638554216867,1.23684210526316,4,1,0.444444444444444,0.111111111111111,0.0526315789473684,0.0120481927710843,0,0.0588235294117647,0.111111111111111,0.0588235294117647,2,0.222222222222222,0.0263157894736842,0.111111111111111,0.666666666666667,4,0.444444444444444,0.444444444444444,39.5,0,90,0,30,0,10,1,0.111111111111111,0,0,13,1.44444444444444,5.53488372093023,476,1,6,0.666666666666667,1,0.111111111111111,7,0.777777777777778,0,0,424,4.93023255813953,0,0.333333333333333,0.222222222222222,0.111111111111111,0.666666666666667,0,0.111111111111111,9.55555555555556,"@"
"Air Force","@","New Mexico","2009-09-19",3,57.1,10.4,4.14,4.7,2.09090909090909,0.291139240506329,3,0.272727272727273,31,2.81818181818182,0.6,0.454545454545455,0.272727272727273,0.181818181818182,1,0.363636363636364,0,0.545454545454545,0.454545454545455,0,52.94,50,33.33,31,2.81818181818182,3,0.272727272727273,4.69620253164557,0,0,0,0,0,1,0.166666666666667,0.569620253164557,0.860759493670886,1.48684210526316,3,0,0.272727272727273,0,0.0394736842105263,0,0,0,0.0909090909090909,0.142857142857143,1,0.0909090909090909,0.0131578947368421,0,0,1,0.0909090909090909,0.0909090909090909,43,0,147,0,24.5,0,13.3636363636364,1,0.0909090909090909,1,0.0909090909090909,31,2.81818181818182,6.09411764705882,518,3,0,0,0,0,31,2.81818181818182,3,0.272727272727273,518,6.09411764705882,2,0.545454545454545,0.272727272727273,0.272727272727273,0.454545454545455,0.181818181818182,0,7.72727272727273,"@"
"Air Force","","San Diego State","2009-09-26",4,42.9,7.3,4.19,4.5,0.8,0.184615384615385,0,0,14,0.933333333333333,0.666666666666667,0.4,0.266666666666667,0.133333333333333,1,0.133333333333333,0,0.266666666666667,0.733333333333333,0.0666666666666667,36.84,0,0,12,0.8,0,0,4.52307692307692,1,0.0666666666666667,0,0,0,0,0,0.476923076923077,0.984615384615385,1.55737704918033,3,0,0.2,0,0.0491803278688525,0,0,0,0.133333333333333,0.285714285714286,0,0,0,0,0.133333333333333,7,0.466666666666667,0.533333333333333,45.57,0,61,0,15.25,0,4.06666666666667,0,0,0,0,14,0.933333333333333,5.14492753623188,355,0,0,0,0,0,14,0.933333333333333,0,0,355,5.14492753623188,0,0.266666666666667,0.266666666666667,0,0.733333333333333,0.133333333333333,0.0666666666666667,4.6,""
"Air Force","@","Navy","2009-10-03",5,42.9,4.1,3.45,3.6,1.27272727272727,0.208955223880597,0,0,7,0.636363636363636,0.666666666666667,0.272727272727273,0.181818181818182,0.0909090909090909,1,0.0909090909090909,0,0.181818181818182,0.818181818181818,0,18.75,75,0,7,0.636363636363636,0,0,3.08955223880597,0,0,0,0,0,0,0,0.582089552238806,0.686567164179104,1.44067796610169,4,0,0.363636363636364,0,0.0677966101694915,0,0,0,0.545454545454545,0.428571428571429,1,0.0909090909090909,0.0169491525423729,0,0,5,0.454545454545455,0.454545454545455,41.8,0,59,0,9.83333333333333,0,5.36363636363636,2,0.181818181818182,2,0.181818181818182,7,0.636363636363636,4.0958904109589,299,0,0,0,0,0,7,0.636363636363636,0,0,266,3.64383561643836,-2,0.181818181818182,0.181818181818182,0,0.818181818181818,0.0909090909090909,0,6.63636363636364,"@"
"Air Force","","Texas Christian","2009-10-10",6,38.9,3.2,5.09,4.6,1.27272727272727,0.222222222222222,2,0.181818181818182,17,1.54545454545455,1,0.0909090909090909,0.0909090909090909,0,1,0.181818181818182,0,0.272727272727273,0.727272727272727,0,31.25,66.67,66.67,17,1.54545454545455,2,0.181818181818182,4.55555555555556,0,0,0,0,0,0,0,0.587301587301587,0.507936507936508,1.32692307692308,4,1,0.363636363636364,0.0909090909090909,0.0769230769230769,0.0158730158730159,0,0.0555555555555556,0.363636363636364,0.222222222222222,0,0,0,0,0,7,0.636363636363636,0.636363636363636,43.57,0,120,0,24,0,10.9090909090909,0,0,0,0,17,1.54545454545455,5.98529411764706,407,2,0,0,0,0,17,1.54545454545455,2,0.181818181818182,407,5.98529411764706,2,0.272727272727273,0.0909090909090909,0.181818181818182,0.727272727272727,0,0,6.18181818181818,""
"Air Force","","Wyoming","2009-10-17",7,20,0.4,3.87,3.6,1.7,0.22972972972973,1,0.1,10,1,1,0.1,0.1,0,1,0.1,0,0.2,0.8,0,38.89,50,33.33,10,1,1,0.1,3.63513513513514,0,0,0,0,0,0,0,0.567567567567568,0.837837837837838,1.48571428571429,7,2,0.7,0.2,0.1,0.027027027027027,0,0.4,0.1,0.2,3,0.3,0.0428571428571429,0,0,6,0.6,0.6,41,0,34,0,6.8,0,3.4,0,0,0,0,10,1,3.83544303797468,303,1,0,0,0,0,10,1,1,0.1,303,3.83544303797468,1,0.2,0.1,0.1,0.8,0,0,7.9,""
"Air Force","@","Utah","2009-10-24",8,70,6.4,3.39,3.7,1.53846153846154,0.235294117647059,1,0.0769230769230769,16,1.23076923076923,1,0.230769230769231,0.230769230769231,0,1,0.0769230769230769,0,0.307692307692308,0.692307692307692,0,40,50,25,16,1.23076923076923,1,0.0769230769230769,3.74117647058824,0,0,0,0,0,0,0,0.470588235294118,1.08235294117647,1.60975609756098,7,0,0.538461538461538,0,0.0853658536585366,0,0,0,0.0769230769230769,0.1,1,0.0769230769230769,0.0121951219512195,0,0,7,0.538461538461538,0.538461538461538,41.71,0,89,0,14.8333333333333,0,6.84615384615385,1,0.0769230769230769,1,0.0769230769230769,16,1.23076923076923,4.47252747252747,407,1,0,0,0,0,16,1.23076923076923,1,0.0769230769230769,407,4.47252747252747,0,0.307692307692308,0.230769230769231,0.0769230769230769,0.692307692307692,0,0,7,"@"
"Air Force","@","Colorado State","2009-10-31",9,58.3,9.3,4.59,5.4,3.125,0.352112676056338,4,0.5,34,4.25,1,0.25,0.25,0,0.666666666666667,0.25,0.125,0.75,0.25,0,68.75,100,60,34,4.25,4,0.5,5.38028169014085,0,0,1,0.125,0.0140845070422535,0,0,0.394366197183099,0.985915492957746,1.48484848484848,3,1,0.375,0.125,0.0454545454545455,0.0140845070422535,0.0833333333333333,0.0833333333333333,0.25,0.166666666666667,1,0.125,0.0151515151515152,0,0,1,0.125,0.125,34,0,58,0,19.3333333333333,0,7.25,1,0.125,1,0.125,34,4.25,5.94594594594595,440,4,0,0,0,0,34,4.25,4,0.5,440,5.94594594594595,3,0.75,0.25,0.5,0.25,0,0,9.25,"@"
"Air Force","","Army","2009-11-07",10,57.1,18.7,3.14,5,1.08333333333333,0.224137931034483,4,0.363636363636364,29,2.63636363636364,0,0.0909090909090909,0,0.0909090909090909,1,0.416666666666667,0,0.363636363636364,0.636363636363636,0,40,100,100,29,2.41666666666667,4,0.333333333333333,5.01724137931035,0,0,0,0,0,0,0,0.482758620689655,0.862068965517241,1.41818181818182,12,3,1,0.25,0.218181818181818,0.0517241379310345,0,0.428571428571429,0.25,0.428571428571429,1,0.0833333333333333,0.0181818181818182,0,0,6,0.5,0.5,48.17,1,143,0.25,35.75,0.0833333333333333,11.9166666666667,0,0,0,0,35,2.91666666666667,7,434,5,0,0,0,0,35,2.91666666666667,5,0.416666666666667,434,7,5,0.416666666666667,0,0.416666666666667,0.583333333333333,0.0833333333333333,0,5.16666666666667,""
