"","Rk","Wk","Date","Day","Winner","Pts","","Loser","Pts.1"
"1","1","1","Aug 30, 2012","Thu","Arizona State","63","","Non-Major","6"
"2","2","1","Aug 30, 2012","Thu","Ball State","37","","Eastern Michigan","26"
"3","3","1","Aug 30, 2012","Thu","Brigham Young","30","","Washington State","6"
"4","4","1","Aug 30, 2012","Thu","Central Florida","56","@","Akron","14"
"5","5","1","Aug 30, 2012","Thu","Central Michigan","38","","Non-Major","27"
"6","6","1","Aug 30, 2012","Thu","Connecticut","37","","Massachusetts","0"
"7","7","1","Aug 30, 2012","Thu","Non-Major","20","@","Idaho","3"
"8","8","1","Aug 30, 2012","Thu","Kent State","41","","Non-Major","21"
"9","9","1","Aug 30, 2012","Thu","Non-Major","27","@","Middle Tennessee State","21"
"10","10","1","Aug 30, 2012","Thu","Minnesota","30","@","Nevada-Las Vegas","27"
"11","11","1","Aug 30, 2012","Thu","New Mexico State","49","","Non-Major","19"
"12","12","1","Aug 30, 2012","Thu","South Carolina","17","@","Vanderbilt","13"
"13","13","1","Aug 30, 2012","Thu","UCLA","49","@","Rice","24"
"14","14","1","Aug 30, 2012","Thu","Utah","41","","Non-Major","0"
"15","15","1","Aug 30, 2012","Thu","Utah State","34","","Non-Major","3"
"16","16","1","Aug 31, 2012","Fri","Florida Atlantic","7","","Non-Major","3"
"17","17","1","Aug 31, 2012","Fri","Michigan State","17","","Boise State","13"
"18","18","1","Aug 31, 2012","Fri","Stanford","20","","San Jose State","17"
"19","19","1","Aug 31, 2012","Fri","Temple","41","","Non-Major","10"
"20","20","1","Aug 31, 2012","Fri","Tennessee","35","","North Carolina State","21"
"21","21","1","Sep 1, 2012","Sat","Air Force","49","","Non-Major","21"
"22","22","1","Sep 1, 2012","Sat","Alabama","41","","Michigan","14"
"23","23","1","Sep 1, 2012","Sat","Arizona","24","","Toledo","17"
"24","24","1","Sep 1, 2012","Sat","Arkansas","49","","Non-Major","24"
"25","25","1","Sep 1, 2012","Sat","Clemson","26","","Auburn","19"
"26","26","1","Sep 1, 2012","Sat","Colorado State","22","","Colorado","17"
"27","27","1","Sep 1, 2012","Sat","Duke","46","","Florida International","26"
