"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1"
"1","1","1","Aug 29, 2013","","Thu","Ball State","51","","Non-Major","28"
"2","2","1","Aug 29, 2013","","Thu","Bowling Green State","34","","Tulsa","7"
"3","3","1","Aug 29, 2013","","Thu","Central Florida","38","","Akron","7"
"4","4","1","Aug 29, 2013","","Thu","Fresno State","52","","Rutgers","51"
"5","5","1","Aug 29, 2013","","Thu","Indiana","73","","Non-Major","35"
"6","6","1","Aug 29, 2013","","Thu","Kent State","17","","Non-Major","10"
"7","7","1","Aug 29, 2013","","Thu","Middle Tennessee State","45","","Non-Major","24"
"8","8","1","Aug 29, 2013","","Thu","Minnesota","51","","Nevada-Las Vegas","23"
"9","9","1","Aug 29, 2013","","Thu","Mississippi","39","@","Vanderbilt","35"
"10","10","1","Aug 29, 2013","","Thu","San Jose State","24","","Non-Major","0"
"11","11","1","Aug 29, 2013","","Thu","South Carolina","27","","North Carolina","10"
"12","12","1","Aug 29, 2013","","Thu","Southern California","30","@","Hawaii","13"
"13","13","1","Aug 29, 2013","","Thu","Non-Major","22","@","South Alabama","21"
"14","14","1","Aug 29, 2013","","Thu","Non-Major","33","@","Connecticut","18"
"15","15","1","Aug 29, 2013","","Thu","Tulane","34","","Non-Major","7"
"16","16","1","Aug 29, 2013","","Thu","Utah","30","","Utah State","26"
"17","17","1","Aug 29, 2013","","Thu","Wake Forest","31","","Non-Major","7"
"18","18","1","Aug 30, 2013","","Fri","Arizona","35","","Non-Major","0"
"19","19","1","Aug 30, 2013","","Fri","Army","28","","Non-Major","12"
"20","20","1","Aug 30, 2013","","Fri","Houston","62","","Non-Major","13"
"21","21","1","Aug 30, 2013","","Fri","Miami (FL)","34","","Florida Atlantic","6"
"22","22","1","Aug 30, 2013","","Fri","Michigan State","26","","Western Michigan","13"
"23","23","1","Aug 30, 2013","","Fri","Non-Major","24","@","Kansas State","21"
"24","24","1","Aug 30, 2013","","Fri","Non-Major","31","@","Georgia State","21"
"25","25","1","Aug 30, 2013","","Fri","Texas Tech","41","@","Southern Methodist","23"
"26","26","1","Aug 31, 2013","","Sat","Air Force","38","","Non-Major","13"
"27","27","1","Aug 31, 2013","","Sat","Alabama","35","","Virginia Tech","10"
"28","28","1","Aug 31, 2013","","Sat","Arkansas","34","","Louisiana","14"
"29","29","1","Aug 31, 2013","","Sat","Arkansas State","62","","Non-Major","11"
"30","30","1","Aug 31, 2013","","Sat","Auburn","31","","Washington State","24"
"31","31","1","Aug 31, 2013","","Sat","Baylor","69","","Non-Major","3"
"32","32","1","Aug 31, 2013","","Sat","Boston College","24","","Non-Major","14"
"33","33","1","Aug 31, 2013","","Sat","Cincinnati","42","","Purdue","7"
"34","34","1","Aug 31, 2013","","Sat","Clemson","38","","Georgia","35"
"35","35","1","Aug 31, 2013","","Sat","Duke","45","","Non-Major","0"
"36","36","1","Aug 31, 2013","","Sat","East Carolina","52","","Non-Major","38"
"37","37","1","Aug 31, 2013","","Sat","Non-Major","40","@","San Diego State","19"
"38","38","1","Aug 31, 2013","","Sat","Eastern Michigan","34","","Non-Major","24"
"39","39","1","Aug 31, 2013","","Sat","Non-Major","49","@","Oregon State","46"
"40","40","1","Aug 31, 2013","","Sat","Florida","24","","Toledo","6"
"41","41","1","Aug 31, 2013","","Sat","Georgia Tech","70","","Non-Major","0"
"42","42","1","Aug 31, 2013","","Sat","Illinois","42","","Non-Major","34"
"43","43","1","Aug 31, 2013","","Sat","Louisiana State","37","","Texas Christian","27"
"44","44","1","Aug 31, 2013","","Sat","Marshall","52","","Miami (OH)","14"
"45","45","1","Aug 31, 2013","","Sat","Maryland","43","","Florida International","10"
"46","46","1","Aug 31, 2013","","Sat","Non-Major","53","@","South Florida","21"
"47","47","1","Aug 31, 2013","","Sat","Michigan","59","","Central Michigan","9"
"48","48","1","Aug 31, 2013","","Sat","Missouri","58","","Non-Major","14"
"49","49","1","Aug 31, 2013","","Sat","Nebraska","37","","Wyoming","34"
"50","50","1","Aug 31, 2013","","Sat","North Carolina State","40","","Louisiana Tech","14"
"51","51","1","Aug 31, 2013","","Sat","North Texas","40","","Idaho","6"
"52","52","1","Aug 31, 2013","","Sat","Northern Illinois","30","@","Iowa","27"
"53","53","1","Aug 31, 2013","","Sat","Non-Major","28","@","Iowa State","20"
"54","54","1","Aug 31, 2013","","Sat","Northwestern","44","@","California","30"
"55","55","1","Aug 31, 2013","","Sat","Notre Dame","28","","Temple","6"
"56","56","1","Aug 31, 2013","","Sat","Ohio State","40","","Buffalo","20"
"57","57","1","Aug 31, 2013","","Sat","Oklahoma","34","","Louisiana-Monroe","0"
"58","58","1","Aug 31, 2013","","Sat","Oklahoma State","21","","Mississippi State","3"
"59","59","1","Aug 31, 2013","","Sat","Oregon","66","","Non-Major","3"
"60","60","1","Aug 31, 2013","","Sat","Penn State","23","","Syracuse","17"
"61","61","1","Aug 31, 2013","","Sat","Tennessee","45","","Non-Major","0"
"62","62","1","Aug 31, 2013","","Sat","Texas","56","","New Mexico State","7"
"63","63","1","Aug 31, 2013","","Sat","Texas A&M","52","","Rice","31"
"64","64","1","Aug 31, 2013","","Sat","Texas State","22","@","Southern Mississippi","15"
"65","65","1","Aug 31, 2013","","Sat","Texas-San Antonio","21","@","New Mexico","13"
"66","66","1","Aug 31, 2013","","Sat","Troy","34","","Alabama-Birmingham","31"
"67","67","1","Aug 31, 2013","","Sat","UCLA","58","","Nevada","20"
"68","68","1","Aug 31, 2013","","Sat","Virginia","19","","Brigham Young","16"
"69","69","1","Aug 31, 2013","","Sat","Washington","38","","Boise State","6"
"70","70","1","Aug 31, 2013","","Sat","West Virginia","24","","Non-Major","17"
"71","71","1","Aug 31, 2013","","Sat","Western Kentucky","35","","Kentucky","26"
"72","72","1","Aug 31, 2013","","Sat","Wisconsin","45","","Massachusetts","0"
"73","73","1","Sep 1, 2013","","Sun","Colorado","41","","Colorado State","27"
"74","74","1","Sep 1, 2013","","Sun","Louisville","49","","Ohio","7"
"75","75","1","Sep 2, 2013","","Mon","Florida State","41","@","Pittsburgh","13"
"77","76","2","Sep 5, 2013","","Thu","Arizona State","55","","Non-Major","0"
"78","77","2","Sep 5, 2013","","Thu","East Carolina","31","","Florida Atlantic","13"
