"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"1","1","1","Aug 26, 2016","","Fri","California","51","","Hawaii","31","ESPN"
"3","2","2","Sep 1, 2016","","Thu","Central Michigan","49","","Non-Major","3","ESPN3"
"4","3","2","Sep 1, 2016","","Thu","Cincinnati","28","","Non-Major","7","ESPN3"
"5","4","2","Sep 1, 2016","","Thu","Connecticut","24","","Non-Major","21","ESPN3"
"6","5","2","Sep 1, 2016","","Thu","Idaho","20","","Non-Major","17","ESPN3"
"7","6","2","Sep 1, 2016","","Thu","Indiana","34","@","Florida International","13","ESPNU"
"8","7","2","Sep 1, 2016","","Thu","Louisville","70","","Non-Major","14","ESPN3"
"9","8","2","Sep 1, 2016","","Thu","Minnesota","30","","Oregon State","23","BTN"
"10","9","2","Sep 1, 2016","","Thu","Nevada-Las Vegas","63","","Non-Major","13",""
"11","10","2","Sep 1, 2016","","Thu","New Mexico","48","","Non-Major","21",""
"12","11","2","Sep 1, 2016","","Thu","North Carolina State","48","","Non-Major","14",""
"13","12","2","Sep 1, 2016","","Thu","South Carolina","13","@","Vanderbilt","10","ESPN"
"14","13","2","Sep 1, 2016","","Thu","Tennessee","20","","Appalachian State","13","SECN"
"15","14","2","Sep 1, 2016","","Thu","Utah","24","","Non-Major","0","PAC12"
"16","15","2","Sep 1, 2016","","Thu","Utah State","45","","Non-Major","6",""
"17","16","2","Sep 1, 2016","","Thu","Wake Forest","7","","Tulane","3","ESPN3"
"18","17","2","Sep 1, 2016","","Thu","Western Kentucky","46","","Rice","14","CBSSN"
"19","18","2","Sep 2, 2016","","Fri","Non-Major","22","@","Buffalo","16","ESPN3"
"20","19","2","Sep 2, 2016","","Fri","Army","28","@","Temple","13","CBSSN"
"21","20","2","Sep 2, 2016","","Fri","Ball State","31","@","Georgia State","21","ESPN3"
"22","21","2","Sep 2, 2016","","Fri","Baylor","55","","Non-Major","7",""
"23","22","2","Sep 2, 2016","","Fri","Colorado","44","","Colorado State","7","ESPN"
"24","23","2","Sep 2, 2016","","Fri","Eastern Michigan","61","","Non-Major","14","ESPN3"
"25","24","2","Sep 2, 2016","","Fri","Michigan State","28","","Non-Major","13","BTN"
"26","25","2","Sep 2, 2016","","Fri","Nevada","30","","Non-Major","27",""
"27","26","2","Sep 2, 2016","","Fri","Stanford","26","","Kansas State","13","FS1"
"28","27","2","Sep 2, 2016","","Fri","Syracuse","33","","Non-Major","7",""
"29","28","2","Sep 2, 2016","","Fri","Toledo","31","@","Arkansas State","10","ESPNU"
"30","29","2","Sep 3, 2016","","Sat","Air Force","37","","Non-Major","21","CAMP"
"31","30","2","Sep 3, 2016","","Sat","Akron","47","","Non-Major","24","ESPN3"
"32","31","2","Sep 3, 2016","","Sat","Alabama","52","","Southern California","6","ABC"
"33","32","2","Sep 3, 2016","","Sat","Arizona State","44","","Non-Major","13","PAC12"
"34","33","2","Sep 3, 2016","","Sat","Arkansas","21","","Louisiana Tech","20","SECN"
"35","34","2","Sep 3, 2016","","Sat","Boise State","45","@","Louisiana","10","ESPN3"
"36","35","2","Sep 3, 2016","","Sat","Brigham Young","18","","Arizona","16","FS1"
"37","36","2","Sep 3, 2016","","Sat","Central Florida","38","","Non-Major","0","ESPN3"
"38","37","2","Sep 3, 2016","","Sat","Clemson","19","@","Auburn","13","ESPN"
"39","38","2","Sep 3, 2016","","Sat","Duke","49","","Non-Major","6",""
"40","39","2","Sep 3, 2016","","Sat","East Carolina","52","","Non-Major","7","ESPN3"
"41","40","2","Sep 3, 2016","","Sat","Non-Major","45","@","Washington State","42","PAC12"
"42","41","2","Sep 3, 2016","","Sat","Florida","24","","Massachusetts","7","SECN"
"43","42","2","Sep 3, 2016","","Sat","Florida Atlantic","38","","Non-Major","30",""
"44","43","2","Sep 3, 2016","","Sat","Georgia","33","","North Carolina","24","ESPN"
"45","44","2","Sep 3, 2016","","Sat","Georgia Southern","54","","Non-Major","0","ESPN3"
"46","45","2","Sep 3, 2016","","Sat","Georgia Tech","17","","Boston College","14","ESPN2"
"47","46","2","Sep 3, 2016","","Sat","Houston","33","","Oklahoma","23","ABC"
"48","47","2","Sep 3, 2016","","Sat","Illinois","52","","Non-Major","3","BTN"
"49","48","2","Sep 3, 2016","","Sat","Iowa","45","","Miami (OH)","21","ESPNU"
"50","49","2","Sep 3, 2016","","Sat","Kansas","55","","Non-Major","6","ESPN3"
"51","50","2","Sep 3, 2016","","Sat","Louisiana-Monroe","38","","Non-Major","21","ESPN3"
"52","51","2","Sep 3, 2016","","Sat","Maryland","52","","Non-Major","13","BTN"
"53","52","2","Sep 3, 2016","","Sat","Memphis","35","","Non-Major","17","ESPN3"
"54","53","2","Sep 3, 2016","","Sat","Miami (FL)","70","","Non-Major","3",""
"55","54","2","Sep 3, 2016","","Sat","Michigan","63","","Hawaii","3","ESPN"
"56","55","2","Sep 3, 2016","","Sat","Middle Tennessee State","55","","Non-Major","0",""
"57","56","2","Sep 3, 2016","","Sat","Navy","52","","Non-Major","16","CBSSN"
"58","57","2","Sep 3, 2016","","Sat","Nebraska","43","","Fresno State","10","BTN"
"59","58","2","Sep 3, 2016","","Sat","Non-Major","25","@","Iowa State","20",""
"60","59","2","Sep 3, 2016","","Sat","Ohio State","77","","Bowling Green State","10","BTN"
"61","60","2","Sep 3, 2016","","Sat","Oklahoma State","61","","Non-Major","7",""
"62","61","2","Sep 3, 2016","","Sat","Oregon","53","","Non-Major","28","PAC12"
"63","62","2","Sep 3, 2016","","Sat","Penn State","33","","Kent State","13","BTN"
"64","63","2","Sep 3, 2016","","Sat","Pittsburgh","28","","Non-Major","7",""
"65","64","2","Sep 3, 2016","","Sat","Purdue","45","","Non-Major","24","ESPNN"
"66","65","2","Sep 3, 2016","","Sat","Non-Major","37","@","Virginia","20",""
"67","66","2","Sep 3, 2016","","Sat","San Diego State","31","","Non-Major","0",""
"68","67","2","Sep 3, 2016","","Sat","South Alabama","21","@","Mississippi State","20","SECN"
"69","68","2","Sep 3, 2016","","Sat","South Florida","56","","Non-Major","20","ESPN3"
"70","69","2","Sep 3, 2016","","Sat","Southern Methodist","34","@","North Texas","21",""
"71","70","2","Sep 3, 2016","","Sat","Southern Mississippi","44","@","Kentucky","35","ESPNU"
"72","71","2","Sep 3, 2016","","Sat","Texas A&M","31","","UCLA","24","CBS"
"73","72","2","Sep 3, 2016","","Sat","Texas Christian","59","","Non-Major","41",""
"74","73","2","Sep 3, 2016","","Sat","Texas State","56","@","Ohio","54","CBSSN"
"75","74","2","Sep 3, 2016","","Sat","Texas Tech","69","","Non-Major","17",""
"76","75","2","Sep 3, 2016","","Sat","Texas-El Paso","38","","New Mexico State","22",""
"77","76","2","Sep 3, 2016","","Sat","Texas-San Antonio","26","","Non-Major","13",""
"78","77","2","Sep 3, 2016","","Sat","Troy","57","","Non-Major","17","ESPN3"
"79","78","2","Sep 3, 2016","","Sat","Tulsa","45","","San Jose State","10","CBSSN"
"80","79","2","Sep 3, 2016","","Sat","Virginia Tech","36","","Non-Major","13","ESPN3"
"81","80","2","Sep 3, 2016","","Sat","Washington","48","","Rutgers","13","PAC12"
"82","81","2","Sep 3, 2016","","Sat","West Virginia","26","","Missouri","11","FS1"
"83","82","2","Sep 3, 2016","","Sat","Western Michigan","22","@","Northwestern","21","ESPNU"
"84","83","2","Sep 3, 2016","","Sat","Wisconsin","16","","Louisiana State","14","ABC"
"85","84","2","Sep 3, 2016","","Sat","Wyoming","40","","Northern Illinois","34","CBSSN"
"86","85","2","Sep 4, 2016","","Sun","Old Dominion","54","","Non-Major","21",""
"87","86","2","Sep 4, 2016","","Sun","Texas","50","","Notre Dame","47","ABC"
"88","87","2","Sep 5, 2016","","Mon","Florida State","45","","Mississippi","34","ESPN"
"90","88","3","Sep 9, 2016","","Fri","Louisville","62","@","Syracuse","28","ESPN2"
"91","89","3","Sep 9, 2016","","Fri","Maryland","41","@","Florida International","14",""
"92","90","3","Sep 10, 2016","","Sat","Air Force","48","","Georgia State","14","CAMP"
"93","91","3","Sep 10, 2016","","Sat","Alabama","38","","Western Kentucky","10","ESPN2"
"94","92","3","Sep 10, 2016","","Sat","Appalachian State","31","","Old Dominion","7","ESPN3"
"95","93","3","Sep 10, 2016","","Sat","Arizona","31","","Non-Major","21","PAC12"
"96","94","3","Sep 10, 2016","","Sat","Arizona State","68","","Texas Tech","55","FS1"
"97","95","3","Sep 10, 2016","","Sat","Arkansas","41","@","Texas Christian","38","ESPN"
"98","96","3","Sep 10, 2016","","Sat","Army","31","","Rice","14","CBSSN"
"99","97","3","Sep 10, 2016","","Sat","Auburn","51","","Arkansas State","14","SECN"
"100","98","3","Sep 10, 2016","","Sat","Baylor","40","","Southern Methodist","13","FS1"
"101","99","3","Sep 10, 2016","","Sat","Boise State","31","","Washington State","28","ESPN2"
"102","100","3","Sep 10, 2016","","Sat","Boston College","26","@","Massachusetts","7","ESPN3"
"103","101","3","Sep 10, 2016","","Sat","Bowling Green State","27","","Non-Major","26","ESPN3"
"104","102","3","Sep 10, 2016","","Sat","Central Michigan","30","@","Oklahoma State","27","FS1"
"105","103","3","Sep 10, 2016","","Sat","Non-Major","47","","Non-Major","14",""
"106","104","3","Sep 10, 2016","","Sat","Cincinnati","38","@","Purdue","20","BTN"
"107","105","3","Sep 10, 2016","","Sat","Clemson","30","","Troy","24","ESPN3"
"108","106","3","Sep 10, 2016","","Sat","Colorado","56","","Non-Major","7",""
"109","107","3","Sep 10, 2016","","Sat","Colorado State","23","","Texas-San Antonio","14","CAMP"
"110","108","3","Sep 10, 2016","","Sat","East Carolina","33","","North Carolina State","30","ESPNU"
"111","109","3","Sep 10, 2016","","Sat","Non-Major","21","@","Miami (OH)","17","ESPN3"
