"Team","X","Opponent","Date","Game.ID","Off.Pct","Off.Pass.Avg","Off.Rush.Avg","Off.Tot.Avg","Off.X1stDowns.PerPos","Off.X1stDowns.Avg","Off.Tot.TD","Off.TD.PossPct","Off.Points","Off.Points.PerPos","Off.FG.","Off.FGA.PossPct","Off.FGM.PossPct","Off.FGF.PossPct","Off.XP.","Off.XPM.PossPct","Off.XPF.PossPct","Off.Scoring.PossPct","Off.NonScoring.PossPct","Off.Negative.PossPct","Off.X3rdDown..Conversion..","Off.X4thDown..Conversion..","Off.RedZone..TD..","Off.Minus.Def.Points.Margin","Off.Minus.Def.Points.Margin.PerPos","Off.Minus.Def.TD.Margin","Off.Minus.Def.TD.Margin.PerPos","Off.Minus.Def.Yds.Margin.Avg","Def.Sfty","Def.Sfty.PossPct","Def.QB.Hurries","Def.QB.Hurries.PerPos","Def.QB.Hurries.Avg","Def.KicksPunts.Blocked","Def.KicksPunts.Blocked.Pct","Def.Tackles.Solo.Avg","Def.Tackles.Ast.Avg","Def.Tackles.Tot.Avg","Def.Tackles.Loss","Def.Tackles.Sk","Def.Tackles.Loss.PerPos","Def.Tackles.Sk.PerPos","Def.Tackles.Loss.Avg","Def.Tackles.Sk.Avg","Def.QB.Hurries.To.Pass.Att.Ratio","Def.Tackles.Sk.To.Pass.Att.Ratio","Def.Int.PD.PerPos","Def.Int.PD.Avg","Def.Fumbles.FF","Def.Fumbles.FF.PerPos","Def.Fumbles.FF.Avg","Def.Tot.TD.PossPct","Def.Tot.Pts.PerPos","Off.ST.Punting.Punts","Off_w_ST.Punt.PossPct","Off_w_ST.Punt.Sfty.PossPct","Off.ST.Punting.Avg","Off.ST.Return.TD","Off.ST.Return.Yds","Off.ST.Return.TD.PerRet","Off.ST.Return.Yds.PerRet","Off.ST.Return.TD.PossPct","Off.ST.Return.Yds.PerPos","Off_w_ST.Tot.TO","Off_w_ST.Tot.TO.PossPct","Off_w_ST.Tot.TO.NonScoring","Off_w_ST.Tot.TO.NonScoring.PossPct","Off_w_ST.Pts","Off_w_ST.Pts.PerPos","Off_w_ST.Yds.Avg","Off_w_ST.Yds","Off_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Pts.PerPos","Def_w_ST.TD","Def_w_ST.TD.PossPct","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin.Avg","Off_w_ST.TD.TO.Diff","Off_w_ST.Scoring.PossPct","Off_w_ST.FGM.PossPct","Off_w_ST.TD.PossPct","Off_w_ST.Empty.PossPct","Off_w_ST.FGF.PossPct","Off_w_ST.Negative.PossPct","Off_w_ST.Plays.PerPos","Homefield"
"Air Force","","Non-Major","2017-09-02",1,71.4,13.6,7.06,8,2.90909090909091,0.395061728395062,9,0.818181818181818,62,5.63636363636364,0,0,0,0,0.888888888888889,0.727272727272727,0.0909090909090909,0.818181818181818,0.181818181818182,0,70,100,100,62,5.63636363636364,9,0.818181818181818,7.93827160493827,0,0,0,0,0,0,0,0.555555555555556,0.54320987654321,1.16883116883117,3,1,0.272727272727273,0.0909090909090909,0.038961038961039,0.0123456790123457,0,0.0714285714285714,0.181818181818182,0.142857142857143,0,0,0,0,0,2,0.181818181818182,0.181818181818182,41.5,0,9,0,4.5,0,0.818181818181818,0,0,0,0,62,5.63636363636364,7.90361445783132,656,9,0,0,0,0,62,5.63636363636364,9,0.818181818181818,652,7.85542168674699,9,0.818181818181818,0,0.818181818181818,0.181818181818182,0,0,7.54545454545455,""
"Air Force","@","Michigan","2017-09-16",2,11.1,7.1,3.43,4,1.36363636363636,0.258620689655172,1,0.0909090909090909,13,1.18181818181818,0.666666666666667,0.272727272727273,0.181818181818182,0.0909090909090909,1,0.0909090909090909,0,0.272727272727273,0.727272727272727,0,23.08,100,0,13,1.18181818181818,1,0.0909090909090909,4,0,0,3,0.272727272727273,0.0517241379310345,0,0,0.53448275862069,0.689655172413793,1.42,9,3,0.818181818181818,0.272727272727273,0.18,0.0517241379310345,0.333333333333333,0.333333333333333,0.181818181818182,0.222222222222222,1,0.0909090909090909,0.02,0,0,6,0.545454545454545,0.545454545454545,38.5,0,45,0,15,0,4.09090909090909,1,0.0909090909090909,1,0.0909090909090909,13,1.18181818181818,4.54098360655738,277,1,0,0,0,0,13,1.18181818181818,1,0.0909090909090909,277,4.54098360655738,0,0.272727272727273,0.181818181818182,0.0909090909090909,0.727272727272727,0.0909090909090909,0,5.54545454545455,"@"
"Air Force","","San Diego State","2017-09-23",3,33.3,5.5,3.67,3.8,1.07692307692308,0.212121212121212,3,0.230769230769231,24,1.84615384615385,1,0.0769230769230769,0.0769230769230769,0,1,0.0769230769230769,0,0.307692307692308,0.692307692307692,0,40,0,100,24,1.84615384615385,3,0.230769230769231,3.83333333333333,0,0,0,0,0,0,0,0.575757575757576,0.666666666666667,1.32258064516129,5,0,0.384615384615385,0,0.0806451612903226,0,0,0,0,0,0,0,0,0,0,6,0.461538461538462,0.461538461538462,47.83,0,85,0,14.1666666666667,0,6.53846153846154,1,0.0769230769230769,1,0.0769230769230769,24,1.84615384615385,4.69444444444444,338,3,0,0,0,0,24,1.84615384615385,3,0.230769230769231,338,4.69444444444444,2,0.307692307692308,0.0769230769230769,0.230769230769231,0.692307692307692,0,0,5.53846153846154,""
"Air Force","@","New Mexico","2017-09-30",4,50,8.8,3.78,4.9,2.16666666666667,0.320987654320988,5,0.416666666666667,38,3.16666666666667,1,0.0833333333333333,0.0833333333333333,0,1,0.416666666666667,0,0.5,0.5,0,46.67,100,75,38,3.16666666666667,5,0.416666666666667,4.88888888888889,0,0,2,0.166666666666667,0.0246913580246914,0,0,0.555555555555556,0.54320987654321,1.23611111111111,11,4,0.916666666666667,0.333333333333333,0.152777777777778,0.0493827160493827,0.111111111111111,0.222222222222222,0.0833333333333333,0.0555555555555556,3,0.25,0.0416666666666667,0,0,4,0.333333333333333,0.333333333333333,47.75,0,10,0,10,0,0.833333333333333,2,0.166666666666667,2,0.166666666666667,38,3.16666666666667,4.95121951219512,406,5,0,0,0,0,38,3.16666666666667,5,0.416666666666667,406,4.95121951219512,3,0.5,0.0833333333333333,0.416666666666667,0.5,0,0,6.83333333333333,"@"
"Air Force","@","Navy","2017-10-07",5,58.8,16.5,6.18,8.6,2.25,0.375,6,0.5,45,3.75,1,0.0833333333333333,0.0833333333333333,0,1,0.5,0,0.583333333333333,0.416666666666667,0,70,0,66.67,45,3.75,6,0.5,8.625,0,0,1,0.0833333333333333,0.0138888888888889,0,0,0.583333333333333,0.5,1.2,5,2,0.416666666666667,0.166666666666667,0.0769230769230769,0.0277777777777778,0.0588235294117647,0.117647058823529,0.25,0.176470588235294,2,0.166666666666667,0.0307692307692308,0,0,3,0.25,0.25,35,0,103,0,14.7142857142857,0,8.58333333333333,2,0.166666666666667,2,0.166666666666667,45,3.75,9.16455696202532,724,6,0,0,0,0,45,3.75,6,0.5,724,9.16455696202532,4,0.583333333333333,0.0833333333333333,0.5,0.416666666666667,0,0,6.58333333333333,"@"
"Air Force","","Nevada-Las Vegas","2017-10-14",6,50,9,5.14,5.5,2.5,0.348837209302326,5,0.416666666666667,34,2.83333333333333,0,0.0833333333333333,0,0.0833333333333333,1,0.333333333333333,0,0.416666666666667,0.583333333333333,0,50,75,83.33,34,2.83333333333333,5,0.416666666666667,5.5,0,0,0,0,0,0,0,0.686046511627907,0.302325581395349,1.03658536585366,7,0,0.583333333333333,0,0.0853658536585366,0,0,0,0,0,5,0.416666666666667,0.0609756097560976,0,0,1,0.0833333333333333,0.0833333333333333,42,0,83,0,27.6666666666667,0,6.91666666666667,4,0.333333333333333,4,0.333333333333333,34,2.83333333333333,6.24719101123596,556,5,0,0,0,0,34,2.83333333333333,5,0.416666666666667,556,6.24719101123596,1,0.416666666666667,0,0.416666666666667,0.583333333333333,0.0833333333333333,0,7.41666666666667,""
"Air Force","@","Nevada","2017-10-20",7,57.1,5.9,6.04,6.2,3.27272727272727,0.375,6,0.545454545454545,45,4.09090909090909,1,0.0909090909090909,0.0909090909090909,0,1,0.545454545454545,0,0.636363636363636,0.363636363636364,0,66.67,100,83.33,45,4.09090909090909,6,0.545454545454545,6.05208333333333,0,0,0,0,0,0,0,0.5,0.833333333333333,1.34736842105263,5,2,0.454545454545455,0.181818181818182,0.0526315789473684,0.0208333333333333,0,0.285714285714286,0,0,3,0.272727272727273,0.0315789473684211,0,0,2,0.181818181818182,0.181818181818182,33,0,62,0,15.5,0,5.63636363636364,2,0.181818181818182,2,0.181818181818182,45,4.09090909090909,6.55,655,6,0,0,0,0,45,4.09090909090909,6,0.545454545454545,643,6.43,4,0.636363636363636,0.0909090909090909,0.545454545454545,0.363636363636364,0,0,9.09090909090909,"@"
"Air Force","@","Colorado State","2017-10-28",8,50,16,5.58,6.1,3.75,0.384615384615385,5,0.625,39,4.875,1,0.125,0.125,0,1,0.75,0,0.75,0.25,0,61.54,100,75,39,4.875,5,0.625,6.05128205128205,0,0,1,0.125,0.0128205128205128,0,0,0.5,0.615384615384615,1.14473684210526,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.125,0.125,69,0,6,0,6,0,0.75,1,0.125,1,0.125,39,4.875,6.11392405063291,483,5,0,0,0,0,39,4.875,5,0.625,478,6.05063291139241,4,0.75,0.125,0.625,0.25,0,0,9.875,"@"
"Air Force","","Army","2017-11-04",9,46.2,7.3,2.79,4,2,0.25531914893617,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,1,0,27.27,66.67,0,0,0,0,0,4.04255319148936,0,0,2,0.333333333333333,0.0425531914893617,0,0,0.425531914893617,0.808510638297872,1.45,5,3,0.833333333333333,0.5,0.125,0.0638297872340425,0.153846153846154,0.230769230769231,0.166666666666667,0.0769230769230769,0,0,0,0,0,4,0.666666666666667,0.666666666666667,36.25,0,0,0,0,0,0,0,0,0,0,0,0,4.04255319148936,190,0,0,0,0,0,0,0,0,0,190,4.04255319148936,0,0,0,0,1,0.166666666666667,0,7.83333333333333,""
"Air Force","","Wyoming","2017-11-11",10,45.5,8,3.33,4.6,1.69230769230769,0.265060240963855,2,0.153846153846154,14,1.07692307692308,0,0,0,0,1,0.153846153846154,0,0.153846153846154,0.846153846153846,0,33.33,33.33,50,14,1.07692307692308,2,0.153846153846154,4.18072289156626,0,0,2,0.153846153846154,0.0240963855421687,0,0,0.590361445783133,0.530120481927711,1.30985915492958,4,2,0.307692307692308,0.153846153846154,0.0563380281690141,0.0240963855421687,0.0909090909090909,0.0909090909090909,0.153846153846154,0.0909090909090909,1,0.0769230769230769,0.0140845070422535,0,0,4,0.307692307692308,0.307692307692308,40.5,0,72,0,14.4,0,5.53846153846154,3,0.230769230769231,3,0.230769230769231,14,1.07692307692308,5.11363636363636,450,2,0,0,0,0,14,1.07692307692308,2,0.153846153846154,419,4.76136363636364,-1,0.153846153846154,0,0.153846153846154,0.846153846153846,0,0,6.76923076923077,""
"Air Force","@","Boise State","2017-11-18",11,53.8,8.8,3.55,4.6,1.8,0.28125,2,0.2,19,1.9,1,0.2,0.2,0,1,0.1,0,0.4,0.6,0.1,45.45,100,100,13,1.3,1,0.1,4.625,0,0,0,0,0,0,0,0.671875,0.34375,1.12068965517241,6,4,0.6,0.4,0.103448275862069,0.0625,0,0.307692307692308,0.3,0.230769230769231,3,0.3,0.0517241379310345,0.1,0.6,3,0.3,0.3,46.33,0,49,0,16.3333333333333,0,4.9,3,0.3,2,0.2,19,1.9,5.14925373134328,345,2,6,0.6,1,0.1,13,1.3,1,0.1,345,5.14925373134328,-1,0.4,0.2,0.2,0.6,0,0.1,6.7,"@"
"Air Force","","Utah State","2017-11-25",12,33.3,2.8,4.96,4.7,2.33333333333333,0.297872340425532,4,0.333333333333333,32,2.66666666666667,1,0.0833333333333333,0.0833333333333333,0,1,0.416666666666667,0,0.416666666666667,0.583333333333333,0,55,50,66.67,32,2.66666666666667,4,0.333333333333333,4.41489361702128,0,0,0,0,0,0,0,0.51063829787234,0.659574468085106,1.27906976744186,5,1,0.416666666666667,0.0833333333333333,0.0581395348837209,0.0106382978723404,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,1,0.0833333333333333,0.0116279069767442,0,0,5,0.416666666666667,0.416666666666667,41.6,0,13,0,13,0,1.08333333333333,1,0.0833333333333333,1,0.0833333333333333,32,2.66666666666667,4.76842105263158,453,4,0,0,0,0,32,2.66666666666667,4,0.333333333333333,428,4.50526315789474,3,0.416666666666667,0.0833333333333333,0.333333333333333,0.583333333333333,0,0,7.91666666666667,""
"Akron","@","Penn State","2017-09-02",13,48.3,3,2.15,2.5,1,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.53,0,0,0,0,0,0,2.52380952380952,0,0,4,0.333333333333333,0.0634920634920635,0,0,0.349206349206349,0.888888888888889,1.625,14,3,1.16666666666667,0.25,0.291666666666667,0.0476190476190476,0.137931034482759,0.103448275862069,0.0833333333333333,0.0344827586206897,1,0.0833333333333333,0.0208333333333333,0,0,11,0.916666666666667,0.916666666666667,39.55,0,77,0,19.25,0,6.41666666666667,1,0.0833333333333333,1,0.0833333333333333,0,0,3.52238805970149,236,0,0,0,0,0,0,0,0,0,236,3.52238805970149,-1,0,0,0,1,0,0,5.58333333333333,"@"
"Akron","","Non-Major","2017-09-09",14,65.4,7.6,6.07,6.6,2.7,0.385714285714286,6,0.6,46,4.6,1,0.1,0.1,0,1,0.7,0,0.7,0.3,0,54.55,100,85.71,46,4.6,6,0.6,6.62857142857143,0,0,1,0.1,0.0142857142857143,0,0,0.542857142857143,0.471428571428571,1.16393442622951,3,1,0.3,0.1,0.0491803278688525,0.0142857142857143,0.0384615384615385,0.0384615384615385,0.2,0.0769230769230769,0,0,0,0,0,3,0.3,0.3,29.67,0,30,0,10,0,3,0,0,0,0,46,4.6,6.76712328767123,494,6,0,0,0,0,46,4.6,6,0.6,494,6.76712328767123,6,0.7,0.1,0.6,0.3,0,0,7.3,""
