,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,1,08/25/18,07:30:00 PM,Sat,Hawaii,43,@,Colorado State,34,Sonny Lubick Field at Canvas Stadium - Fort Collins Colorado
2,2,1,08/25/18,05:30:00 PM,Sat,Massachusetts,63,,Duquesne,15,Warren McGuirk Alumni Stadium - Amherst Massachusetts
3,3,1,08/25/18,07:00:00 PM,Sat,Rice,31,,Prairie View A&M,28,Rice Stadium - Houston Texas
4,4,1,08/25/18,10:00:00 PM,Sat,Wyoming,29,@,New Mexico State,7,Aggie Memorial Stadium - Las Cruces New Mexico
5,5,2,08/30/18,08:00:00 PM,Thu,Alabama-Birmingham,52,,Savannah State,0,Legion Field - Birmingham Alabama
6,6,2,08/30/18,07:00:00 PM,Thu,Ball State,42,,Central Connecticut State,6,Scheumann Stadium - Muncie Indiana
7,7,2,08/30/18,10:00:00 PM,Thu,California-Davis,44,@,San Jose State,38,CEFCU Stadium - San Jose California
8,8,2,08/30/18,07:00:00 PM,Thu,(21) Central Florida,56,@,Connecticut,17,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
9,9,2,08/30/18,07:00:00 PM,Thu,Georgia State,24,,Kennesaw State,20,Georgia State Stadium - Atlanta Georgia
10,10,2,08/30/18,08:00:00 PM,Thu,Louisiana-Monroe,34,,Southeastern Louisiana,31,Malone Stadium - Monroe Louisiana
11,11,2,08/30/18,07:00:00 PM,Thu,Minnesota,48,,New Mexico State,10,TCF Bank Stadium - Minneapolis Minnesota
12,12,2,08/30/18,08:00:00 PM,Thu,Northwestern,31,@,Purdue,27,Ross-Ade Stadium - West Lafayette Indiana
13,13,2,08/30/18,08:00:00 PM,Thu,Oklahoma State,58,,Missouri State,17,Boone Pickens Stadium - Stillwater Oklahoma
14,14,2,08/30/18,08:30:00 PM,Thu,Texas A&M,59,,Northwestern State,7,Kyle Field - College Station Texas
15,15,2,08/30/18,08:00:00 PM,Thu,Utah,41,,Weber State,10,Rice-Eccles Stadium - Salt Lake City Utah
16,16,2,08/30/18,08:00:00 PM,Thu,Wake Forest,23,@,Tulane,17,Yulman Stadium - New Orleans Louisiana
17,17,2,08/31/18,09:30:00 PM,Fri,Colorado,45,,Colorado State,13,Broncos Stadium at Mile High - Denver Colorado
18,18,2,08/31/18,07:00:00 PM,Fri,Duke,34,,Army,14,Wallace Wade Stadium - Durham North Carolina
19,19,2,08/31/18,06:30:00 PM,Fri,Eastern Michigan,51,,Monmouth,17,Rynearson Stadium - Ypsilanti Michigan
20,20,2,08/31/18,,Fri,(11) Michigan State,38,,Utah State,31,Spartan Stadium - East Lansing Michigan
21,21,2,08/31/18,09:00:00 PM,Fri,Nevada,72,,Portland State,19,MacKay Stadium - Reno Nevada
22,22,2,08/31/18,09:00:00 PM,Fri,(13) Stanford,31,,San Diego State,10,Stanford Stadium - Stanford California
23,23,2,08/31/18,06:00:00 PM,Fri,Syracuse,55,@,Western Michigan,42,Waldo Stadium - Kalamazoo Michigan
24,24,2,08/31/18,09:00:00 PM,Fri,(4) Wisconsin,34,,Western Kentucky,3,Camp Randall Stadium - Madison Wisconsin
25,25,2,09/01/18,02:00:00 PM,Sat,Air Force,38,,Stony Brook,0,Falcon Stadium - Colorado Springs Colorado
26,26,2,09/01/18,08:00:00 PM,Sat,(1) Alabama,51,,Louisville,14,Camping World Stadium - Orlando Florida
27,27,2,09/01/18,,Sat,Arizona State,49,,Texas-San Antonio,7,Sun Devil Stadium - Tempe Arizona
28,28,2,09/01/18,04:00:00 PM,Sat,Arkansas,55,,Eastern Illinois,20,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
29,29,2,09/01/18,,Sat,Arkansas State,48,,Southeast Missouri State,21,Centennial Bank Stadium - Jonesboro Arkansas
