"Team","Value","Rank"
"Air Force",13.0838090875022,9
"Akron",28.3767214837031,85
"Alabama",7.93457104975736,3
"Alabama-Birmingham",32.2424988545123,103
"Arizona",20.1557624508256,35
"Arizona State",14.696658873426,16
"Arkansas",23.3764210950578,62
"Arkansas State",22.6218882964426,52
"Army",29.0549760848108,88
"Auburn",25.0679469501293,74
"Ball State",31.7337363089097,102
"Baylor",22.4584422674318,51
"Boise State",16.1034109743892,22
"Boston College",16.8288923515499,27
"Bowling Green State",30.0323508903382,93
"Brigham Young",21.6407193246409,42
"Buffalo",28.4914149788157,86
"California",23.304256513777,61
"Central Florida",20.8122545496166,38
"Central Michigan",18.7704272870296,30
"Cincinnati",17.8262986250744,29
"Clemson",12.0228349130692,8
"Colorado",26.6490660476782,82
"Colorado State",29.936825252265,92
"Connecticut",23.1964784909376,58
"Duke",22.090183878981,47
"East Carolina",24.97245601039,71
"Eastern Michigan",40.1520691346578,117
"Florida",6.48140243420001,2
"Florida Atlantic",39.9827439871669,116
"Florida International",34.7976832792483,111
"Florida State",24.9757050299942,72
"Fresno State",21.8859438946618,45
"Georgia",22.0756700221376,46
"Georgia Tech",23.9588434108121,64
"Hawaii",32.849970535643,105
"Houston",30.3687453111789,97
"Idaho",34.1314695762639,109
"Illinois",24.6059328503674,67
"Indiana",30.3227157411797,95
"Iowa",13.1043359730139,10
"Iowa State",24.8568696303231,68
"Kansas",22.2580835285442,50
"Kansas State",23.2955690670363,60
"Kent State",25.657051434128,76
"Kentucky",21.3382474865891,41
"Louisiana",30.4369521485142,98
"Louisiana State",11.1823352315006,7
"Louisiana Tech",24.0499419773424,65
"Louisiana-Monroe",26.0876168271553,79
"Louisville",23.1718693151972,57
"Marshall",23.7949523124046,63
"Maryland",29.9303480807513,91
"Memphis",35.5618084898922,112
"Miami (FL)",19.4057941516503,33
"Miami (OH)",31.2898313717697,101
"Michigan",28.7680853476884,87
"Michigan State",23.2015572665988,59
"Middle Tennessee State",26.2010784540749,80
"Minnesota",24.3290142337791,66
"Mississippi",15.2131570705603,19
"Mississippi State",15.7604158464536,21
"Missouri",21.7002235592605,43
"Navy",22.2512725814254,49
"Nebraska",5.84390435244087,1
"Nevada",29.5247587431237,89
"Nevada-Las Vegas",32.3034817917683,104
"New Mexico",36.7587080068686,114
"New Mexico State",30.0441224822624,94
"Non-Major",38.2723573813124,115
"North Carolina",14.1320841077537,13
"North Carolina State",30.6741909075735,100
"North Texas",40.6478474792757,118
"Northern Illinois",20.393426369606,36
"Northwestern",25.8695068983108,77
"Notre Dame",19.3773012237955,31
"Ohio",21.8142678814025,44
"Ohio State",10.5988236819729,6
"Oklahoma",8.10462242976625,4
"Oklahoma State",15.1454940590451,17
"Oregon",14.5408249842686,15
"Oregon State",21.0105227767088,40
"Penn State",13.850638947936,11
"Pittsburgh",16.5931662902248,26
"Purdue",25.2731431082821,75
"Rice",43.04885995077,120
"Rutgers",16.177984291315,23
"San Diego State",30.3462890523121,96
"San Jose State",33.0100261513749,106
"South Carolina",16.3706466832149,24
"South Florida",16.4234903809146,25
"Southern California",15.1628877052815,18
"Southern Methodist",25.0559709851261,73
"Southern Mississippi",24.9637999280211,70
"Stanford",22.8210047852075,55
"Syracuse",27.3134685719371,84
"Temple",26.297004580289,81
"Tennessee",17.6502594188602,28
"Texas",10.5336439428388,5
"Texas A&M",29.5548840020123,90
"Texas Christian",13.8761791695055,12
"Texas Tech",19.4012407995675,32
"Texas-El Paso",34.5574674277038,110
"Toledo",41.3467905866976,119
"Troy",26.0843978497953,78
"Tulane",36.100463695629,113
"Tulsa",24.9478071579485,69
"UCLA",14.262637563106,14
"Utah",19.4354085589477,34
"Utah State",33.322012755403,107
"Vanderbilt",23.071976286448,56
"Virginia",22.1152097353429,48
"Virginia Tech",15.7402909705014,20
"Wake Forest",20.4835543176221,37
"Washington",22.6789969041026,53
"Washington State",33.7761437105159,108
"West Virginia",22.8121737174725,54
"Western Kentucky",46.418794000547,121
"Western Michigan",30.5300177097891,99
"Wisconsin",20.937546507472,39
"Wyoming",26.8153778240294,83
