"Team","Value","Rank"
"Air Force",14.0326043492641,14
"Akron",26.9720838528818,84
"Alabama",6.81236374043626,2
"Alabama-Birmingham",33.8025673151017,111
"Arizona",20.186702393271,37
"Arizona State",15.70067689173,20
"Arkansas",24.0983423800782,66
"Arkansas State",19.2856353421107,32
"Army",29.2407218702741,94
"Auburn",23.1781166412958,55
"Ball State",29.8473333384024,96
"Baylor",22.0508618599521,46
"Boise State",15.2115482940562,19
"Boston College",16.5144555283494,24
"Bowling Green State",30.0916159501967,99
"Brigham Young",22.8583007164331,53
"Buffalo",27.5221681952798,87
"California",24.4160292273128,69
"Central Florida",22.2354787884932,49
"Central Michigan",19.8786294468126,35
"Cincinnati",16.775325363936,25
"Clemson",12.7371219537959,10
"Colorado",23.9275600680377,65
"Colorado State",29.9443446724276,97
"Connecticut",21.3686409895465,42
"Duke",22.4001003996002,50
"East Carolina",27.4803181729103,86
"Eastern Michigan",39.3162932206168,117
"Florida",5.72199008887531,1
"Florida Atlantic",36.1157983641644,115
"Florida International",32.485615397059,107
"Florida State",24.8681824751443,71
"Fresno State",22.6100859354491,51
"Georgia",22.0801090799057,47
"Georgia Tech",23.8408636011991,63
"Hawaii",28.4034658862485,90
"Houston",30.2966091301503,103
"Idaho",35.3991505583344,113
"Illinois",24.9319000991476,72
"Indiana",30.9834654247541,104
"Iowa",13.2447932375885,11
"Iowa State",23.1196745746342,54
"Kansas",24.1626807491151,67
"Kansas State",26.4879352808987,80
"Kent State",23.4287745294459,57
"Kentucky",19.581508693106,33
"Louisiana",30.1294496070435,101
"Louisiana State",12.0711515160768,8
"Louisiana Tech",25.2845813102023,73
"Louisiana-Monroe",27.1972636246625,85
"Louisville",23.5008382640656,59
"Marshall",23.4385259822308,58
"Maryland",30.1114630249978,100
"Memphis",33.5035080866776,109
"Miami (FL)",19.6931488115874,34
"Miami (OH)",28.3049990318596,89
"Michigan",26.4212132629927,79
"Michigan State",23.2717442968829,56
"Middle Tennessee State",26.064457380704,78
"Minnesota",21.962689621906,45
"Mississippi",12.4727423752173,9
"Mississippi State",14.7868933996328,17
"Missouri",20.2289466668476,38
"Navy",25.3513140735974,74
"Nebraska",6.8311303866113,3
"Nevada",30.1756344937011,102
"Nevada-Las Vegas",33.6931491566012,110
"New Mexico",35.4603963364318,114
"New Mexico State",28.7567393634861,91
"Non-Major",37.8052944411484,116
"North Carolina",13.798273344968,13
"North Carolina State",29.9635405792025,98
"North Texas",41.0097686784516,119
"Northern Illinois",22.1511832375481,48
"Northwestern",26.9024647225905,82
"Notre Dame",21.5196767452582,43
"Ohio",21.2984396911963,40
"Ohio State",11.3496101430456,6
"Oklahoma",9.11961742110915,4
"Oklahoma State",16.8503932090193,26
"Oregon",11.6748377739552,7
"Oregon State",25.6965637128394,76
"Penn State",13.3111471605242,12
"Pittsburgh",19.0839126933133,31
"Purdue",23.8144636038421,62
"Rice",44.8837987631036,120
"Rutgers",18.2981361430531,29
"San Diego State",28.8549293415539,92
"San Jose State",29.2382451826796,93
"South Carolina",15.9686883748089,21
"South Florida",15.9806765046447,22
"Southern California",16.4024870308071,23
"Southern Methodist",24.7044879027686,70
"Southern Mississippi",25.7575459067678,77
"Stanford",22.7914722681126,52
"Syracuse",26.7684342605726,81
"Temple",23.7050173826027,61
"Tennessee",15.038249916192,18
"Texas",10.2780866418204,5
"Texas A&M",29.7425535623076,95
"Texas Christian",14.65454774305,16
"Texas Tech",18.7449641626477,30
"Texas-El Paso",32.5156826199682,108
"Toledo",40.9086872107404,118
"Troy",24.3813614467262,68
"Tulane",35.0583758158041,112
"Tulsa",25.5104918305716,75
"UCLA",14.1947398302066,15
"Utah",18.1881780158379,28
"Utah State",32.3312858827726,106
"Vanderbilt",23.9174454631782,64
"Virginia",20.9333735492391,39
"Virginia Tech",17.9694860787441,27
"Wake Forest",21.329454664746,41
"Washington",21.8694769098619,44
"Washington State",31.409998534649,105
"West Virginia",23.6231278431055,60
"Western Kentucky",44.9519314246555,121
"Western Michigan",27.8442807620217,88
"Wisconsin",19.8796077760181,36
"Wyoming",26.9305770363087,83
