"Team","Value","Rank"
"Air Force",17.6023922356824,23
"Akron",28.3032805542046,87
"Alabama",8.72505142280566,3
"Alabama-Birmingham",35.6757350777798,112
"Arizona",21.7195764464778,41
"Arizona State",17.401358675235,21
"Arkansas",25.509412439323,70
"Arkansas State",19.852329844355,29
"Army",29.3371145904539,92
"Auburn",26.0494743551646,73
"Ball State",30.0819040207315,98
"Baylor",24.5456949533213,60
"Boise State",17.2994827758687,20
"Boston College",17.4391156029815,22
"Bowling Green State",30.9031216293019,103
"Brigham Young",23.5839035272509,48
"Buffalo",27.057291889514,80
"California",25.3399373814279,68
"Central Florida",22.382091682947,44
"Central Michigan",19.4050047418565,28
"Cincinnati",16.8645183378445,17
"Clemson",13.5460824102394,8
"Colorado",24.9666232417131,66
"Colorado State",30.7553024502105,102
"Connecticut",22.3707191579964,43
"Duke",25.7897290545648,71
"East Carolina",27.0417654769908,79
"Eastern Michigan",39.374599807603,117
"Florida",7.21016565990958,1
"Florida Atlantic",36.8096757621502,115
"Florida International",32.4851458387071,106
"Florida State",27.3081424999785,84
"Fresno State",24.1814169765145,58
"Georgia",23.3970864100027,47
"Georgia Tech",24.4172742443774,59
"Hawaii",28.7295599175452,89
"Houston",29.6058712260451,95
"Idaho",36.0782770029216,113
"Illinois",24.7232230858217,63
"Indiana",30.7059893741228,101
"Iowa",13.8125350466561,10
"Iowa State",22.858195204634,46
"Kansas",25.4061220964502,69
"Kansas State",26.8396998557528,77
"Kent State",23.8816697986866,54
"Kentucky",21.1050720178794,37
"Louisiana",31.1498972230223,104
"Louisiana State",12.8872120433281,6
"Louisiana Tech",26.3533987659228,75
"Louisiana-Monroe",27.3821615885153,86
"Louisville",24.6699432910144,62
"Marshall",23.7360106294608,51
"Maryland",30.0922061525534,99
"Memphis",33.3154413762487,108
"Miami (FL)",20.6809305415316,35
"Miami (OH)",29.3254746088891,91
"Michigan",26.7441529718202,76
"Michigan State",23.6874050527302,50
"Middle Tennessee State",26.2267016923943,74
"Minnesota",23.9688582896702,57
"Mississippi",14.6936400025003,13
"Mississippi State",18.0397437589415,26
"Missouri",20.6187114505502,34
"Navy",24.9114791645381,65
"Nebraska",8.36106737388838,2
"Nevada",30.5621706393886,100
"Nevada-Las Vegas",34.2855719702195,110
"New Mexico",36.5831443883598,114
"New Mexico State",29.2601958319825,90
"Non-Major",38.3501202747568,116
"North Carolina",15.6155478820949,14
"North Carolina State",29.9261321595425,96
"North Texas",41.1331452430598,119
"Northern Illinois",22.3498066251821,42
"Northwestern",27.3277645151499,85
"Notre Dame",21.6835913967502,40
"Ohio",22.813815096028,45
"Ohio State",12.9876571775756,7
"Oklahoma",10.6794051453075,4
"Oklahoma State",17.9565590228239,25
"Oregon",14.3895687730926,12
"Oregon State",25.8181795088369,72
"Penn State",13.7130654988217,9
"Pittsburgh",19.9607049010489,31
"Purdue",23.8594104912833,53
"Rice",44.5332751816842,120
"Rutgers",21.138779240275,38
"San Diego State",29.5774898686364,93
"San Jose State",29.6035315605211,94
"South Carolina",16.897455914018,18
"South Florida",17.7197109157113,24
"Southern California",16.9075521458564,19
"Southern Methodist",27.260077081207,82
"Southern Mississippi",27.2851481699538,83
"Stanford",23.8540614288638,52
"Syracuse",27.2157920004677,81
"Temple",23.9655741334191,56
"Tennessee",15.8090919345651,15
"Texas",12.1388548837963,5
"Texas A&M",29.9809572324156,97
"Texas Christian",14.1895508701765,11
"Texas Tech",19.9126068419918,30
"Texas-El Paso",33.7896805138533,109
"Toledo",40.4934243095489,118
"Troy",25.1801805955606,67
"Tulane",35.1854951279611,111
"Tulsa",24.7840429751808,64
"UCLA",16.6554226936862,16
"Utah",20.0491281812502,32
"Utah State",32.1907815500759,105
"Vanderbilt",23.6763595229371,49
"Virginia",21.6038755687339,39
"Virginia Tech",18.7712716441614,27
"Wake Forest",20.8819616107801,36
"Washington",24.6079975021372,61
"Washington State",33.3060097725972,107
"West Virginia",23.9180354623977,55
"Western Kentucky",44.9798189205614,121
"Western Michigan",28.4066760219045,88
"Wisconsin",20.2169778933401,33
"Wyoming",27.009041429414,78
