"Team","Value","Rank"
"Air Force",414.76862730902,19
"Akron",482.689446571821,64
"Alabama",375.516234426473,4
"Alabama-Birmingham",577.677113330284,114
"Arizona",446.239199921499,33
"Arizona State",404.002130117149,13
"Arkansas",513.99339860317,85
"Arkansas State",455.623525697192,40
"Army",469.046990850805,52
"Auburn",493.648039827281,73
"Ball State",525.609123144891,99
"Baylor",500.626720779522,78
"Boise State",402.807704884266,12
"Boston College",417.603280911707,21
"Bowling Green State",521.750707875974,96
"Brigham Young",429.516457878125,26
"Buffalo",492.905562738001,72
"California",516.380857496952,91
"Central Florida",435.368089853908,29
"Central Michigan",469.06986461864,53
"Cincinnati",427.48536195866,24
"Clemson",434.308351239173,28
"Colorado",470.028310859505,54
"Colorado State",517.272860030661,93
"Connecticut",470.061465273616,55
"Duke",494.276660094049,74
"East Carolina",548.548239821571,105
"Eastern Michigan",540.248456255393,102
"Florida",344.701343917112,2
"Florida Atlantic",548.326809921198,104
"Florida International",580.948258462397,115
"Florida State",516.041206545981,90
"Fresno State",505.912260628387,81
"Georgia",456.127114775028,42
"Georgia Tech",515.871386746167,89
"Hawaii",482.886752436676,65
"Houston",584.261886341363,116
"Idaho",561.172336603056,109
"Illinois",468.889832710856,51
"Indiana",560.621929334475,108
"Iowa",404.788829339376,14
"Iowa State",506.188618377939,82
"Kansas",462.226388714807,46
"Kansas State",444.231448127627,32
"Kent State",457.036740316465,43
"Kentucky",455.550725781227,39
"Louisiana",542.522237674043,103
"Louisiana State",369.255273889966,3
"Louisiana Tech",480.303640019703,62
"Louisiana-Monroe",477.816157837279,59
"Louisville",480.926631197459,63
"Marshall",514.875202046302,87
"Maryland",527.970393817731,100
"Memphis",586.767927787402,118
"Miami (FL)",455.841530233275,41
"Miami (OH)",478.405319563576,60
"Michigan",519.011305529176,95
"Michigan State",474.745482029471,57
"Middle Tennessee State",515.631015116246,88
"Minnesota",504.317266592708,80
"Mississippi",416.259561835693,20
"Mississippi State",459.853241406323,44
"Missouri",446.783455895451,35
"Navy",483.824525385729,66
"Nebraska",339.49681163893,1
"Nevada",446.598977873951,34
"Nevada-Las Vegas",557.679714565344,107
"New Mexico",564.902732850849,111
"New Mexico State",500.777265189096,79
"Non-Major",564.394276832693,110
"North Carolina",410.594967208915,18
"North Carolina State",508.062781756671,84
"North Texas",574.402645711203,113
"Northern Illinois",461.99224234986,45
"Northwestern",514.211612753273,86
"Notre Dame",495.113873728847,75
"Ohio",465.511268224762,49
"Ohio State",386.27129463358,7
"Oklahoma",389.873858603492,8
"Oklahoma State",397.686371176722,10
"Oregon",419.75531147789,22
"Oregon State",462.941088832692,48
"Penn State",408.451876865885,15
"Pittsburgh",429.718008844338,27
"Purdue",467.359383505074,50
"Rice",612.212168412753,120
"Rutgers",478.643214556425,61
"San Diego State",516.909855659445,92
"San Jose State",518.906971586087,94
"South Carolina",399.204323403226,11
"South Florida",448.812133385022,36
"Southern California",425.451880697196,23
"Southern Methodist",529.374533569718,101
"Southern Mississippi",499.064776821178,77
"Stanford",477.478764878248,58
"Syracuse",507.727488428647,83
"Temple",484.875039433864,67
"Tennessee",410.299317388752,16
"Texas",392.455052781195,9
"Texas A&M",523.773178054453,98
"Texas Christian",381.249556411997,5
"Texas Tech",440.593026466984,31
"Texas-El Paso",585.900850596788,117
"Toledo",566.946667484564,112
"Troy",498.415693809562,76
"Tulane",553.506833165686,106
"Tulsa",454.417246313309,38
"UCLA",410.460723567152,17
"Utah",382.21333313448,6
"Utah State",488.00174872908,68
"Vanderbilt",473.954255390046,56
"Virginia",440.555919648151,30
"Virginia Tech",427.665177287902,25
"Wake Forest",449.859475789663,37
"Washington",491.618066256745,70
"Washington State",587.439944582658,119
"West Virginia",491.45665474971,69
"Western Kentucky",658.995848783627,121
"Western Michigan",522.894906740682,97
"Wisconsin",462.385216541401,47
"Wyoming",492.874507467165,71
