"Team","Value","Rank"
"Air Force",15.0769230769231,9
"Akron",28.5833333333333,91
"Alabama",11.5714285714286,2.5
"Alabama-Birmingham",32.3333333333333,103
"Arizona",23,50
"Arizona State",19.5833333333333,24
"Arkansas",25.0769230769231,64
"Arkansas State",22.25,44
"Army",20.9166666666667,36
"Auburn",27.5384615384615,86
"Ball State",27.1666666666667,83
"Baylor",26.25,73.5
"Boise State",16.5714285714286,14
"Boston College",17.9230769230769,17
"Bowling Green State",27,80.5
"Brigham Young",21.0769230769231,37
"Buffalo",22.75,46
"California",25,63
"Central Florida",21.1538461538462,38.5
"Central Michigan",18.0714285714286,18
"Cincinnati",22.9230769230769,49
"Clemson",19.1428571428571,20
"Colorado",27.6666666666667,87
"Colorado State",29.8333333333333,98
"Connecticut",23.4615384615385,52
"Duke",26.3333333333333,77
"East Carolina",20.6428571428571,34
"Eastern Michigan",36.0833333333333,116
"Florida",11.5714285714286,2.5
"Florida Atlantic",33.75,110
"Florida International",34.3333333333333,112.5
"Florida State",30,99
"Fresno State",27.9230769230769,88
"Georgia",24.3846153846154,56.5
"Georgia Tech",24.6428571428571,59
"Hawaii",29,92
"Houston",29.2142857142857,95
"Idaho",35.5384615384615,115
"Illinois",29.1666666666667,93.5
"Indiana",28,89
"Iowa",13.0769230769231,7
"Iowa State",21.6666666666667,41
"Kansas",27.25,84
"Kansas State",23.3636363636364,51
"Kent State",21.9166666666667,43
"Kentucky",21.7692307692308,42
"Louisiana",29.1666666666667,93.5
"Louisiana State",15.9230769230769,12
"Louisiana Tech",24.75,60.5
"Louisiana-Monroe",25.5,68
"Louisville",26.25,73.5
"Marshall",23.8461538461538,54
"Maryland",29.25,96
"Memphis",34.3333333333333,112.5
"Miami (FL)",20.3076923076923,31.5
"Miami (OH)",33.1666666666667,107
"Michigan",26.8333333333333,78
"Michigan State",26.3076923076923,76
"Middle Tennessee State",23.6923076923077,53
"Minnesota",22.8461538461538,48
"Mississippi",16.3076923076923,13
"Mississippi State",24.75,60.5
"Missouri",24.4615384615385,58
"Navy",18.5714285714286,19
"Nebraska",9.42857142857143,1
"Nevada",28.5384615384615,90
"Nevada-Las Vegas",31.4166666666667,102
"New Mexico",33.4166666666667,108
"New Mexico State",30.2307692307692,101
"Non-Major",39.2978723404255,120
"North Carolina",16.9230769230769,15
"North Carolina State",30.1666666666667,100
"North Texas",33.9166666666667,111
"Northern Illinois",20.6923076923077,35
"Northwestern",24,55
"Notre Dame",25.0833333333333,65
"Ohio",20.2857142857143,30
"Ohio State",12.5384615384615,6
"Oklahoma",14.5384615384615,8
"Oklahoma State",19.8461538461538,28
"Oregon",22.6923076923077,45
"Oregon State",24.3846153846154,56.5
"Penn State",12.0769230769231,5
"Pittsburgh",19.3076923076923,22.5
"Purdue",27.0833333333333,82
"Rice",41.0833333333333,121
"Rutgers",17.3076923076923,16
"San Diego State",27.5,85
"San Jose State",32.5,104
"South Carolina",19.7692307692308,27
"South Florida",19.6153846153846,25
"Southern California",19.2307692307692,21
"Southern Methodist",26.2307692307692,71
"Southern Mississippi",25.3846153846154,67
"Stanford",25.6153846153846,69
"Syracuse",26.25,73.5
"Temple",20.3076923076923,31.5
"Tennessee",21.1538461538462,38.5
"Texas",15.8571428571429,11
"Texas A&M",32.6153846153846,105
"Texas Christian",11.8461538461538,4
"Texas Tech",20.6153846153846,33
"Texas-El Paso",32.8333333333333,106
"Toledo",37.1666666666667,117
"Troy",29.3076923076923,97
"Tulane",34.6666666666667,114
"Tulsa",24.8333333333333,62
"UCLA",19.6923076923077,26
"Utah",19.3076923076923,22.5
"Utah State",33.6666666666667,109
"Vanderbilt",22.8333333333333,47
"Virginia",25.3333333333333,66
"Virginia Tech",15.1538461538462,10
"Wake Forest",26.25,73.5
"Washington",26.1666666666667,70
"Washington State",38.3333333333333,118
"West Virginia",21.2307692307692,40
"Western Kentucky",38.9166666666667,119
"Western Michigan",27,80.5
"Wisconsin",19.9230769230769,29
"Wyoming",26.8461538461538,79
