"Team","Value","Rank"
"Air Force",393.389037225755,14
"Akron",490.835793305122,81
"Alabama",342.535319740545,4
"Alabama-Birmingham",534.949293801038,106
"Arizona",429.15371998893,31
"Arizona State",384.521320290415,11
"Arkansas",486.009976272712,73
"Arkansas State",444.293620293671,40
"Army",461.739791255831,51
"Auburn",473.388028804029,59
"Ball State",522.108955416516,102
"Baylor",474.478151856658,60
"Boise State",407.02692825161,21
"Boston College",408.094286262186,22
"Bowling Green State",515.547987867825,98
"Brigham Young",411.841225391383,23
"Buffalo",455.128824952133,47
"California",476.918037654784,63
"Central Florida",444.684434733146,42
"Central Michigan",486.638528155859,76
"Cincinnati",467.697845440851,56
"Clemson",416.27578678557,25
"Colorado",444.039826672964,39
"Colorado State",486.270066703903,74
"Connecticut",484.702667009298,71
"Duke",499.425473607715,87
"East Carolina",487.699545316765,78
"Eastern Michigan",538.637768316139,107
"Florida",334.43122144801,2
"Florida Atlantic",567.277388398235,116
"Florida International",576.396278421586,117
"Florida State",495.518578161536,83
"Fresno State",514.107135754487,96
"Georgia",427.862315153504,29
"Georgia Tech",489.663622046477,79
"Hawaii",496.770357135692,85
"Houston",594.550043313919,120
"Idaho",544.720985751507,109
"Illinois",452.615929251136,46
"Indiana",514.162113670003,97
"Iowa",354.443444339565,6
"Iowa State",505.928272006535,88
"Kansas",481.463381526444,68
"Kansas State",414.916993062731,24
"Kent State",477.368751375087,64
"Kentucky",431.800111562924,34
"Louisiana",517.049955550504,100
"Louisiana State",386.248352748149,13
"Louisiana Tech",446.797517890473,44
"Louisiana-Monroe",452.601897647244,45
"Louisville",476.673422231035,62
"Marshall",483.205993921923,70
"Maryland",516.537928723291,99
"Memphis",563.471480851703,115
"Miami (FL)",429.192452127405,32
"Miami (OH)",480.251383672352,66
"Michigan",509.507919033891,91
"Michigan State",475.934542713964,61
"Middle Tennessee State",478.556277579745,65
"Minnesota",457.408739746502,49
"Mississippi",406.698747111101,20
"Mississippi State",423.112711916961,27
"Missouri",471.46979687075,58
"Navy",470.318389134625,57
"Nebraska",317.352301034768,1
"Nevada",482.492463849996,69
"Nevada-Las Vegas",558.763827217419,113
"New Mexico",532.126298750349,105
"New Mexico State",498.915567969031,86
"Non-Major",549.825368080691,110
"North Carolina",353.540024969144,5
"North Carolina State",512.998641472099,94
"North Texas",553.786854196805,111
"Northern Illinois",462.850905614476,52
"Northwestern",486.523846167051,75
"Notre Dame",484.855608726426,72
"Ohio",456.150931041139,48
"Ohio State",356.501004286981,7
"Oklahoma",340.794437390518,3
"Oklahoma State",396.904114283027,18
"Oregon",437.150923298278,36
"Oregon State",430.592750956699,33
"Penn State",386.081524753349,12
"Pittsburgh",435.401319573325,35
"Purdue",481.298869249967,67
"Rice",587.129778711641,119
"Rutgers",442.165273674114,38
"San Diego State",513.383439862301,95
"San Jose State",507.969650619566,90
"South Carolina",394.158635062307,16
"South Florida",422.629986620913,26
"Southern California",400.282600256553,19
"Southern Methodist",512.672541723706,93
"Southern Mississippi",507.293984639951,89
"Stanford",491.862291523511,82
"Syracuse",464.537579475563,53
"Temple",490.406267567252,80
"Tennessee",428.066283475762,30
"Texas",362.398714488522,8
"Texas A&M",520.77358706427,101
"Texas Christian",375.271837710168,9
"Texas Tech",427.791088289606,28
"Texas-El Paso",556.987020999456,112
"Toledo",540.893337221152,108
"Troy",527.766023813428,104
"Tulane",561.935844187448,114
"Tulsa",495.722991672719,84
"UCLA",394.075511791572,15
"Utah",377.286172871507,10
"Utah State",510.017642810927,92
"Vanderbilt",465.386203939113,54
"Virginia",444.308520487057,41
"Virginia Tech",394.170116637243,17
"Wake Forest",466.001973529409,55
"Washington",457.446419855437,50
"Washington State",578.690872126713,118
"West Virginia",438.922523730837,37
"Western Kentucky",612.045814696149,121
"Western Michigan",525.099555176553,103
"Wisconsin",446.359429908483,43
"Wyoming",487.425786924127,77
