"Team","Value","Rank"
"Air Force",18.550672587857,21
"Akron",31.5975490284932,104
"Alabama",9.35403003527841,2
"Alabama-Birmingham",34.0625806652926,108
"Arizona",22.7131706013767,42
"Arizona State",18.3035491397845,19
"Arkansas",24.274079744707,53
"Arkansas State",24.8376171203034,59
"Army",26.5004809430311,72
"Auburn",26.5536676805836,74
"Ball State",29.4475842052847,90
"Baylor",23.4281227877594,46
"Boise State",19.6561973275501,26
"Boston College",17.6039627316992,17
"Bowling Green State",30.2085003410039,94
"Brigham Young",21.6966129030834,37
"Buffalo",26.4273556802561,71
"California",25.9663345377398,64
"Central Florida",23.0447708867736,44
"Central Michigan",22.2486155897863,38
"Cincinnati",24.5146120195659,55
"Clemson",17.3071070613543,16
"Colorado",25.458493551617,63
"Colorado State",29.9730709315511,93
"Connecticut",24.7183375196952,57
"Duke",27.9350160280642,83
"East Carolina",21.6402226801025,36
"Eastern Michigan",38.2974385632436,118
"Florida",9.84559609985532,3
"Florida Atlantic",37.3614567608372,114
"Florida International",35.0997169181014,111
"Florida State",26.776655839289,76
"Fresno State",28.6356576551625,86
"Georgia",20.7921183497835,31
"Georgia Tech",23.9430017452007,50
"Hawaii",29.2774578098433,88
"Houston",31.4179767937762,100
"Idaho",37.8297022752612,116
"Illinois",27.9300544592687,82
"Indiana",29.7580174493505,91
"Iowa",12.8724715839467,5
"Iowa State",22.9188748399199,43
"Kansas",26.3407983771401,70
"Kansas State",23.7202111946218,47
"Kent State",26.5388273182584,73
"Kentucky",21.4249700710931,35
"Louisiana",31.5118580683306,102
"Louisiana State",14.6707119302245,11
"Louisiana Tech",26.925883506608,77
"Louisiana-Monroe",26.3137017354634,68
"Louisville",25.1442729611342,60
"Marshall",26.2974150170579,67
"Maryland",28.4347463227317,85
"Memphis",33.8448372640891,107
"Miami (FL)",19.4634912315809,24
"Miami (OH)",31.4510370552574,101
"Michigan",27.5309321839277,79
"Michigan State",26.2482448809165,66
"Middle Tennessee State",26.314630773694,69
"Minnesota",22.5385030611499,40
"Mississippi",15.4416344095156,13
"Mississippi State",19.1018546650387,23
"Missouri",24.5592468128088,56
"Navy",22.2922128135198,39
"Nebraska",8.03817462701663,1
"Nevada",30.4722869244067,95
"Nevada-Las Vegas",33.0285974870093,105
"New Mexico",33.4573327417573,106
"New Mexico State",30.8430500080637,98
"Non-Major",37.8385666345993,117
"North Carolina",14.5963985616453,9
"North Carolina State",30.5261168060624,96
"North Texas",37.4541285366499,115
"Northern Illinois",25.3942195309444,62
"Northwestern",25.3915541649233,61
"Notre Dame",23.1321245870918,45
"Ohio",23.8515086813831,49
"Ohio State",13.1965453536647,6
"Oklahoma",10.5787152578767,4
"Oklahoma State",16.9928342366075,15
"Oregon",21.3825339160235,34
"Oregon State",24.1835183829676,52
"Penn State",14.6141135893269,10
"Pittsburgh",20.4374269045324,28
"Purdue",24.8046938007932,58
"Rice",41.1665493646844,121
"Rutgers",21.205922903125,32
"San Diego State",30.8273982842829,97
"San Jose State",31.5184890646692,103
"South Carolina",15.8689596473679,14
"South Florida",19.472130143708,25
"Southern California",18.48086254696,20
"Southern Methodist",27.9460863375486,84
"Southern Mississippi",28.8198067566748,87
"Stanford",26.084718387775,65
"Syracuse",26.6175838422706,75
"Temple",27.6720764777664,80
"Tennessee",20.2063219388226,27
"Texas",14.1782780557548,8
"Texas A&M",30.9552336928342,99
"Texas Christian",14.0894970752065,7
"Texas Tech",18.5992016911065,22
"Texas-El Paso",35.2838195467553,112
"Toledo",39.034554694327,119
"Troy",29.321045790866,89
"Tulane",35.6844529208081,113
"Tulsa",27.062150312955,78
"UCLA",17.7219800886821,18
"Utah",21.3125261233778,33
"Utah State",34.9715712834335,110
"Vanderbilt",22.5953098224894,41
"Virginia",24.2864297497004,54
"Virginia Tech",14.8717690276156,12
"Wake Forest",23.9706515271337,51
"Washington",23.7366463797631,48
"Washington State",34.9190430935229,109
"West Virginia",20.7858848398487,30
"Western Kentucky",39.833542414378,120
"Western Michigan",29.8708434235066,92
"Wisconsin",20.7846082973698,29
"Wyoming",27.8658314206477,81
