"Team","Value","Rank"
"Air Force",417.496547056113,17
"Akron",502.361459016836,77
"Alabama",372.430351981973,4
"Alabama-Birmingham",556.16648233628,108
"Arizona",444.088626832762,31
"Arizona State",408.17939979421,13
"Arkansas",512.462032046355,84
"Arkansas State",462.283083516709,41
"Army",476.863762338873,50
"Auburn",497.507337390461,71
"Ball State",530.64927908412,98
"Baylor",490.372430992894,66
"Boise State",428.480642815533,22
"Boston College",423.597720820506,20
"Bowling Green State",522.685511697284,94
"Brigham Young",434.541857388104,24
"Buffalo",470.908395258342,46
"California",499.155908628256,73
"Central Florida",451.255523158027,34
"Central Michigan",490.899364585597,67
"Cincinnati",486.376697287453,60
"Clemson",443.006357299945,28
"Colorado",452.887038822095,36
"Colorado State",508.294788910438,79
"Connecticut",498.391856514674,72
"Duke",518.198316781799,89
"East Carolina",510.096713337963,83
"Eastern Michigan",552.189699299415,107
"Florida",353.725355379326,2
"Florida Atlantic",570.488620219988,114
"Florida International",588.39397407035,118
"Florida State",520.74439882702,91
"Fresno State",529.374455321539,97
"Georgia",444.029315034811,30
"Georgia Tech",500.816694488829,74
"Hawaii",504.862782245558,78
"Houston",601.094844931115,119
"Idaho",558.460071001032,109
"Illinois",468.48939288671,45
"Indiana",537.193003572231,104
"Iowa",379.178216745786,5
"Iowa State",512.859730737983,85
"Kansas",487.091554936869,62
"Kansas State",422.048745030832,18
"Kent State",479.864613407716,53
"Kentucky",453.977459971189,37
"Louisiana",530.989757264447,99
"Louisiana State",401.545651668541,11
"Louisiana Tech",477.586626234095,51
"Louisiana-Monroe",464.332391520508,44
"Louisville",486.030766557317,59
"Marshall",495.47543468375,69
"Maryland",534.946829049244,102
"Memphis",571.302174332961,115
"Miami (FL)",442.245634250307,27
"Miami (OH)",483.625363650019,57
"Michigan",513.008086814142,86
"Michigan State",481.671965085699,56
"Middle Tennessee State",509.76720570957,82
"Minnesota",481.080506877804,55
"Mississippi",433.985148309246,23
"Mississippi State",463.421650517063,42
"Missouri",480.998198531134,54
"Navy",487.609992565011,63
"Nebraska",340.476161248423,1
"Nevada",488.160421378798,64
"Nevada-Las Vegas",563.370692867036,112
"New Mexico",540.117351515387,105
"New Mexico State",509.538342494861,81
"Non-Major",560.602554297995,110
"North Carolina",401.308595765448,10
"North Carolina State",519.858866695576,90
"North Texas",564.323111231467,113
"Northern Illinois",473.261149108387,47
"Northwestern",493.860870223176,68
"Notre Dame",501.243180774551,75
"Ohio",486.847444861395,61
"Ohio State",381.7668713705,7
"Oklahoma",357.774979644469,3
"Oklahoma State",409.994426724261,15
"Oregon",457.871627753355,38
"Oregon State",441.165683675547,26
"Penn State",413.76815700471,16
"Pittsburgh",452.297699197567,35
"Purdue",490.003462641537,65
"Rice",584.701561220275,117
"Rutgers",463.49480647487,43
"San Diego State",534.45001258081,100
"San Jose State",523.792085260298,95
"South Carolina",408.631734647957,14
"South Florida",443.392343943922,29
"Southern California",425.930701659824,21
"Southern Methodist",522.33698125909,93
"Southern Mississippi",516.026580975966,88
"Stanford",508.618703919033,80
"Syracuse",475.595351395183,48
"Temple",514.503341297261,87
"Tennessee",446.647253751856,33
"Texas",381.688913778302,6
"Texas A&M",534.808334620596,101
"Texas Christian",386.343793129025,8
"Texas Tech",435.690186881313,25
"Texas-El Paso",571.932201225367,116
"Toledo",544.092180896992,106
"Troy",536.701155008729,103
"Tulane",562.301267818008,111
"Tulsa",502.016163896536,76
"UCLA",422.231995329818,19
"Utah",399.775335395333,9
"Utah State",521.28518755006,92
"Vanderbilt",475.94812053853,49
"Virginia",460.908826855563,39
"Virginia Tech",404.066053671459,12
"Wake Forest",478.251210464886,52
"Washington",484.204165911438,58
"Washington State",605.338492464446,120
"West Virginia",461.028118392072,40
"Western Kentucky",617.387623672039,121
"Western Michigan",528.802552642639,96
"Wisconsin",445.39926475611,32
"Wyoming",496.717453428788,70
