"Team","Value","Rank"
"Air Force",24.3,70.5
"Akron",17.7777777777778,109
"Alabama",29.5555555555556,33.5
"Alabama-Birmingham",26.2222222222222,59.5
"Arizona",30.5,28
"Arizona State",22.7777777777778,86
"Arkansas",34,12
"Arkansas State",22.5,88.5
"Army",15.1111111111111,115
"Auburn",32.4,19
"Ball State",19.6666666666667,106
"Baylor",22.3333333333333,91
"Boise State",39.8888888888889,2
"Boston College",28.1111111111111,47.5
"Bowling Green State",23.6666666666667,77
"Brigham Young",35.8888888888889,8
"Buffalo",23.5555555555556,79.5
"California",30.7777777777778,25
"Central Florida",21.1111111111111,96
"Central Michigan",30.5555555555556,26.5
"Cincinnati",39.7777777777778,3
"Clemson",31.2222222222222,23.5
"Colorado",22.5555555555556,87
"Colorado State",21.7,94
"Connecticut",28.7777777777778,39
"Duke",23.3333333333333,81.5
"East Carolina",23.8888888888889,76
"Eastern Michigan",15.6666666666667,114
"Florida",33.6666666666667,13.5
"Florida Atlantic",26,61.5
"Florida International",24,73.5
"Florida State",28.2222222222222,45.5
"Fresno State",33.4444444444444,15
"Georgia",26.2222222222222,59.5
"Georgia Tech",34.1,11
"Hawaii",24.1111111111111,72
"Houston",41.4444444444444,1
"Idaho",30.2,30
"Illinois",20,104.5
"Indiana",23.9,75
"Iowa",23.3,83
"Iowa State",21,97
"Kansas",29.4444444444444,36
"Kansas State",25.4444444444444,66
"Kent State",20,104.5
"Kentucky",25.5555555555556,65
"Louisiana",21.2222222222222,95
"Louisiana State",23.5555555555556,79.5
"Louisiana Tech",26.5555555555556,56.5
"Louisiana-Monroe",27.5555555555556,52.5
"Louisville",18.3333333333333,107.5
"Marshall",20.1111111111111,103
"Maryland",22,92
"Memphis",21.8888888888889,93
"Miami (FL)",31.4444444444444,21
"Miami (OH)",15,116
"Michigan",31.4,22
"Michigan State",29.5,35
"Middle Tennessee State",28.6666666666667,40
"Minnesota",22.5,88.5
"Mississippi",28.5555555555556,42.5
"Mississippi State",24,73.5
"Missouri",26.5555555555556,56.5
"Navy",28.6,41
"Nebraska",25,68
"Nevada",37.6666666666667,6
"Nevada-Las Vegas",25.3,67
"New Mexico",14,118
"New Mexico State",11.1111111111111,121
"Non-Major",11.3222222222222,120
"North Carolina",20.7777777777778,98
"North Carolina State",33.6666666666667,13.5
"North Texas",27.7777777777778,50.5
"Northern Illinois",30.5555555555556,26.5
"Northwestern",23.2,84
"Notre Dame",30.1111111111111,31
"Ohio",23.1111111111111,85
"Ohio State",28.1,49
"Oklahoma",28.2222222222222,45.5
"Oklahoma State",32.7777777777778,18
"Oregon",34.3333333333333,10
"Oregon State",29.3333333333333,37
"Penn State",27.5,54
"Pittsburgh",33.2222222222222,17
"Purdue",25.9,63
"Rice",16.3333333333333,112
"Rutgers",25.875,64
"San Diego State",23.3333333333333,81.5
"San Jose State",14.125,117
"South Carolina",20.5,99
"South Florida",29,38
"Southern California",27.5555555555556,52.5
"Southern Methodist",24.3333333333333,69
"Southern Mississippi",31.8888888888889,20
"Stanford",33.3333333333333,16
"Syracuse",20.3333333333333,101
"Temple",26.3333333333333,58
"Tennessee",31.2222222222222,23.5
"Texas",39,4
"Texas A&M",35.5555555555556,9
"Texas Christian",37.4444444444444,7
"Texas Tech",38.8888888888889,5
"Texas-El Paso",26,61.5
"Toledo",28.5555555555556,42.5
"Troy",30.4444444444444,29
"Tulane",16.8888888888889,110
"Tulsa",29.6666666666667,32
"UCLA",18.3333333333333,107.5
"Utah",27.3333333333333,55
"Utah State",27.7777777777778,50.5
"Vanderbilt",16.5,111
"Virginia",20.2222222222222,102
"Virginia Tech",28.3333333333333,44
"Wake Forest",24.3,70.5
"Washington",22.4444444444444,90
"Washington State",12.7777777777778,119
"West Virginia",28.1111111111111,47.5
"Western Kentucky",20.4444444444444,100
"Western Michigan",23.6,78
"Wisconsin",29.5555555555556,33.5
"Wyoming",16,113
