"Team","Value","Rank"
"Air Force",2.6,94
"Akron",2.33333333333333,103
"Alabama",3.11111111111111,65.5
"Alabama-Birmingham",3.22222222222222,61.5
"Arizona",3.75,30.5
"Arizona State",2.77777777777778,83
"Arkansas",4.33333333333333,12.5
"Arkansas State",2.75,85
"Army",1.55555555555556,117.5
"Auburn",4,22.5
"Ball State",2.22222222222222,106.5
"Baylor",2.88888888888889,79
"Boise State",4.88888888888889,6
"Boston College",3.66666666666667,37
"Bowling Green State",2.88888888888889,79
"Brigham Young",4.88888888888889,6
"Buffalo",3.11111111111111,65.5
"California",4,22.5
"Central Florida",2.55555555555556,96
"Central Michigan",4,22.5
"Cincinnati",5.22222222222222,3.5
"Clemson",3.66666666666667,37
"Colorado",2.77777777777778,83
"Colorado State",2.7,87
"Connecticut",3.66666666666667,37
"Duke",2.66666666666667,91
"East Carolina",3,72.5
"Eastern Michigan",1.77777777777778,115
"Florida",4,22.5
"Florida Atlantic",3.375,54
"Florida International",3,72.5
"Florida State",3.44444444444444,49.5
"Fresno State",4.22222222222222,14.5
"Georgia",3.11111111111111,65.5
"Georgia Tech",4.5,10
"Hawaii",3.11111111111111,65.5
"Houston",5.22222222222222,3.5
"Idaho",3.8,28
"Illinois",2.66666666666667,91
"Indiana",2.9,77
"Iowa",2.7,87
"Iowa State",2.55555555555556,96
"Kansas",3.77777777777778,29
"Kansas State",3.33333333333333,56
"Kent State",2.5,98
"Kentucky",3.33333333333333,56
"Louisiana",2.66666666666667,91
"Louisiana State",2.88888888888889,79
"Louisiana Tech",3.44444444444444,49.5
"Louisiana-Monroe",3.55555555555556,43.5
"Louisville",2.11111111111111,108
"Marshall",2.33333333333333,103
"Maryland",2.44444444444444,100
"Memphis",2.66666666666667,91
"Miami (FL)",4,22.5
"Miami (OH)",2,110
"Michigan",4.1,19
"Michigan State",3.6,42
"Middle Tennessee State",3.44444444444444,49.5
"Minnesota",2.8,81
"Mississippi",3.66666666666667,37
"Mississippi State",2.77777777777778,83
"Missouri",3,72.5
"Navy",3.7,32
"Nebraska",3,72.5
"Nevada",5.33333333333333,1.5
"Nevada-Las Vegas",3.3,59
"New Mexico",1.55555555555556,117.5
"New Mexico State",1.33333333333333,120
"Non-Major",1.28888888888889,121
"North Carolina",2.33333333333333,103
"North Carolina State",4.44444444444444,11
"North Texas",3.55555555555556,43.5
"Northern Illinois",3.66666666666667,37
"Northwestern",2.7,87
"Notre Dame",3.66666666666667,37
"Ohio",2.55555555555556,96
"Ohio State",3.3,59
"Oklahoma",3.44444444444444,49.5
"Oklahoma State",4.11111111111111,17
"Oregon",4.33333333333333,12.5
"Oregon State",3.44444444444444,49.5
"Penn State",3.5,45
"Pittsburgh",4.11111111111111,17
"Purdue",3.3,59
"Rice",2,110
"Rutgers",3,72.5
"San Diego State",3,72.5
"San Jose State",1.875,114
"South Carolina",2.3,105
"South Florida",3.75,30.5
"Southern California",3.44444444444444,49.5
"Southern Methodist",3.11111111111111,65.5
"Southern Mississippi",4.11111111111111,17
"Stanford",4.22222222222222,14.5
"Syracuse",2.44444444444444,100
"Temple",3.11111111111111,65.5
"Tennessee",4,22.5
"Texas",4.77777777777778,8
"Texas A&M",4.66666666666667,9
"Texas Christian",4.88888888888889,6
"Texas Tech",5.33333333333333,1.5
"Texas-El Paso",3.22222222222222,61.5
"Toledo",3.66666666666667,37
"Troy",3.88888888888889,26.5
"Tulane",2,110
"Tulsa",3.88888888888889,26.5
"UCLA",1.55555555555556,117.5
"Utah",3.33333333333333,56
"Utah State",3.44444444444444,49.5
"Vanderbilt",1.9,112
"Virginia",2.22222222222222,106.5
"Virginia Tech",3.44444444444444,49.5
"Wake Forest",3,72.5
"Washington",2.44444444444444,100
"Washington State",1.55555555555556,117.5
"West Virginia",3.66666666666667,37
"Western Kentucky",2.66666666666667,91
"Western Michigan",3,72.5
"Wisconsin",3.66666666666667,37
"Wyoming",1.88888888888889,113
