"Team","Value","Rank"
"Air Force",1.4365899221528,56
"Akron",0.25763453008324,94
"Alabama",2.18832786743442,26
"Alabama-Birmingham",1.43620391311332,57
"Arizona",2.01691238226945,31
"Arizona State",0.402155352657795,89
"Arkansas",3.23740010236031,6
"Arkansas State",0.622926694798592,81
"Army",0.00786612873135284,101
"Auburn",2.69340384265236,18
"Ball State",-1.62573647720219,120
"Baylor",1.84186141676428,38
"Boise State",2.98859554418218,13
"Boston College",1.99522122102147,33
"Bowling Green State",1.62065014152251,45
"Brigham Young",2.60715292745625,20
"Buffalo",0.281833547777706,93
"California",3.18667480192294,9
"Central Florida",0.689488475082927,79
"Central Michigan",2.03763619653046,30
"Cincinnati",4.60840505575428,1
"Clemson",1.54522124244711,50
"Colorado",-0.0791415398118898,106
"Colorado State",0.900260261127543,73
"Connecticut",2.12921107943218,28
"Duke",0.927910042561087,71
"East Carolina",0.867884731648178,74
"Eastern Michigan",-0.0145183184365754,103
"Florida",2.69968393536898,17
"Florida Atlantic",1.52765556984967,51
"Florida International",0.411129353733399,88
"Florida State",1.72596756197851,43
"Fresno State",1.62793515599497,44
"Georgia",1.551101433518,49
"Georgia Tech",3.82096572141629,2
"Hawaii",-0.956004702164248,119
"Houston",3.6452157418456,3
"Idaho",1.74604911921418,42
"Illinois",0.951823135326729,70
"Indiana",1.28435502006781,60
"Iowa",0.421625664914886,87
"Iowa State",0.798624772144259,75
"Kansas",1.9336849789132,34
"Kansas State",2.05242796619756,29
"Kent State",-0.746458775235394,117
"Kentucky",1.8220610352953,41
"Louisiana",-0.391158372195308,110
"Louisiana State",2.4321508931786,24
"Louisiana Tech",1.44863017274336,55
"Louisiana-Monroe",0.76569111195728,77
"Louisville",0.305256284691125,92
"Marshall",-0.0528665881894668,104
"Maryland",0.151685922240466,98
"Memphis",0.156657280494075,97
"Miami (FL)",3.1597913515135,10
"Miami (OH)",-0.947738946066469,118
"Michigan",1.5577001214763,48
"Michigan State",2.0050255944867,32
"Middle Tennessee State",0.502870174052591,85
"Minnesota",1.12836052234464,66
"Mississippi",0.770837358779642,76
"Mississippi State",0.366795225812994,90
"Missouri",1.47286161804495,54
"Navy",2.83033777904719,16
"Nebraska",1.17655755006984,63
"Nevada",2.61672315094279,19
"Nevada-Las Vegas",0.987526922048052,69
"New Mexico",-0.599998240794357,116
"New Mexico State",-2.06062333315924,121
"Non-Major",-0.456124064463136,112
"North Carolina",0.0292613739319911,100
"North Carolina State",1.82621404011532,39
"North Texas",0.535184427720673,84
"Northern Illinois",1.29629015272608,59
"Northwestern",0.224695865709326,95
"Notre Dame",2.59152768267751,21
"Ohio",-0.593616046933051,115
"Ohio State",1.581901309177,46
"Oklahoma",1.82423303409057,40
"Oklahoma State",1.91694180157524,35
"Oregon",3.00745750354298,12
"Oregon State",2.95093301885945,14
"Penn State",2.16586503069292,27
"Pittsburgh",3.07363838284658,11
"Purdue",0.694613768818188,78
"Rice",-0.135439219359644,107
"Rutgers",1.30920205090879,58
"San Diego State",0.321894666739725,91
"San Jose State",-0.442781406583873,111
"South Carolina",0.678240835794139,80
"South Florida",1.10325114764677,67
"Southern California",2.54067112395263,22
"Southern Methodist",0.0729329753472612,99
"Southern Mississippi",1.85537409306704,37
"Stanford",3.37282646686702,5
"Syracuse",-0.0784962966053917,105
"Temple",0.166030462752067,96
"Tennessee",2.35514664473009,25
"Texas",3.20944517530227,7
"Texas A&M",2.87664594788945,15
"Texas Christian",3.62457086697798,4
"Texas Tech",2.51986159250945,23
"Texas-El Paso",1.18951425646728,62
"Toledo",1.089262488501,68
"Troy",0.927496258664461,72
"Tulane",-0.49034439240384,113
"Tulsa",1.4926600377084,52
"UCLA",-0.147318797339697,108
"Utah",1.1372883788958,64
"Utah State",1.55925739044802,47
"Vanderbilt",0.600008072381451,82
"Virginia",0.597601937214231,83
"Virginia Tech",3.19566180258723,8
"Wake Forest",1.21471602071691,61
"Washington",1.48806493216004,53
"Washington State",-0.581393502187842,114
"West Virginia",1.13374541692843,65
"Western Kentucky",-0.28344937622627,109
"Western Michigan",0.0058021421141401,102
"Wisconsin",1.85781794281258,36
"Wyoming",0.422395960749347,86
