"Team","Value","Rank"
"Air Force",1.71091417694983,48
"Akron",-0.0738493939249316,106
"Alabama",3.08053853530768,10
"Alabama-Birmingham",1.6331862688926,49
"Arizona",2.20890798262545,31
"Arizona State",0.422675907861228,94
"Arkansas",3.52429372863705,4
"Arkansas State",0.0245571036413339,104
"Army",-0.746358230507366,114
"Auburn",2.73197144656035,17
"Ball State",-1.11103899575252,120
"Baylor",1.24450108040938,66
"Boise State",3.10588149045751,9
"Boston College",1.2411822757921,67
"Bowling Green State",1.90865534642836,40
"Brigham Young",2.4529338755428,23
"Buffalo",0.344548857134844,98
"California",2.53191589820651,21
"Central Florida",1.08726232790315,74
"Central Michigan",2.46083465416272,22
"Cincinnati",4.33931888416724,1
"Clemson",2.11411983618379,34
"Colorado",0.361561881791022,97
"Colorado State",0.671037727986401,84
"Connecticut",2.56630593667109,20
"Duke",1.25758969621481,65
"East Carolina",0.985006432384975,75
"Eastern Michigan",-0.790971605877443,115
"Florida",3.42610486154188,6
"Florida Atlantic",1.91211480352072,39
"Florida International",0.847019440209868,80
"Florida State",1.84151006650052,42
"Fresno State",1.56357811061372,51
"Georgia",2.00536922804337,37
"Georgia Tech",3.65488022252787,2
"Hawaii",-0.633972940575007,113
"Houston",3.19237301948776,7
"Idaho",1.80245024384078,43
"Illinois",1.49837830740421,53
"Indiana",0.853442750969285,79
"Iowa",0.376916068989743,95
"Iowa State",0.368341715390715,96
"Kansas",2.30874382648151,28
"Kansas State",1.34091288386422,61
"Kent State",-0.924955261925314,116
"Kentucky",2.10985472124132,35
"Louisiana",0.0723881301298408,102
"Louisiana State",2.40908588374772,25
"Louisiana Tech",1.71299512850717,47
"Louisiana-Monroe",0.139128811257704,101
"Louisville",0.669651821725893,85
"Marshall",0.531548568424307,91
"Maryland",0.53715078972501,90
"Memphis",0.564866835552345,88
"Miami (FL)",2.79380719979034,16
"Miami (OH)",-1.05419139068009,118
"Michigan",1.41350642937456,57
"Michigan State",2.29268401910292,30
"Middle Tennessee State",1.27942080370853,62
"Minnesota",0.275514432918592,99
"Mississippi",1.44183650535113,56
"Mississippi State",0.716503020305878,83
"Missouri",1.74973221508668,44
"Navy",2.2990618303022,29
"Nebraska",1.46141994388593,55
"Nevada",3.0391487260566,12
"Nevada-Las Vegas",1.34997632004035,60
"New Mexico",-0.404254920200907,109
"New Mexico State",-1.66293485960838,121
"Non-Major",-0.429154101255148,111
"North Carolina",0.203672819419737,100
"North Carolina State",2.31522854850657,27
"North Texas",0.74001139340206,82
"Northern Illinois",1.16545673597425,71
"Northwestern",0.511513979585772,92
"Notre Dame",2.4400100447461,24
"Ohio",-0.0116593617868452,105
"Ohio State",1.57845804151788,50
"Oklahoma",1.8653604421443,41
"Oklahoma State",1.12061881791637,72
"Oregon",3.15025820577987,8
"Oregon State",3.06644165973622,11
"Penn State",2.11806551214207,33
"Pittsburgh",2.66729558812343,18
"Purdue",0.923404354846338,77
"Rice",0.0460074922989673,103
"Rutgers",1.54449306347747,52
"San Diego State",0.55251535159778,89
"San Jose State",-1.10808688315899,119
"South Carolina",1.21113472066132,69
"South Florida",1.16619580930402,70
"Southern California",1.98868128757502,38
"Southern Methodist",0.657308772478858,86
"Southern Mississippi",2.19252070957543,32
"Stanford",3.62641257903195,3
"Syracuse",0.456169718318628,93
"Temple",1.11835822968759,73
"Tennessee",2.58948006236975,19
"Texas",2.92672863127476,14
"Texas A&M",2.82433561026186,15
"Texas Christian",2.95695575231036,13
"Texas Tech",2.38418841633906,26
"Texas-El Paso",1.27078905594615,63
"Toledo",0.588835485244176,87
"Troy",1.38979365511006,58
"Tulane",-0.426650232243412,110
"Tulsa",1.21825102319508,68
"UCLA",-0.0895144989306693,107
"Utah",1.48627417969054,54
"Utah State",1.74947970274642,45
"Vanderbilt",0.873197973601633,78
"Virginia",0.947322152994009,76
"Virginia Tech",3.42632006341782,5
"Wake Forest",1.71434861493609,46
"Washington",1.26857808377396,64
"Washington State",-0.957849296539294,117
"West Virginia",1.38727044569836,59
"Western Kentucky",-0.511038434458052,112
"Western Michigan",-0.310461627209142,108
"Wisconsin",2.0109971990698,36
"Wyoming",0.757710779353123,81
