"Team","Value","Rank"
"Air Force",22.4444444444444,56.5
"Akron",35,112
"Alabama",11.75,5
"Alabama-Birmingham",28.375,89
"Arizona",12.625,6.5
"Arizona State",21,49.5
"Arkansas",20.75,48
"Arkansas State",29.625,94.5
"Army",21,49.5
"Auburn",23.6666666666667,64
"Ball State",28.3333333333333,88
"Baylor",22.4444444444444,56.5
"Boise State",10,2
"Boston College",20.125,46
"Bowling Green State",29,91.5
"Brigham Young",26.25,77.5
"Buffalo",25.875,76
"California",19.375,36
"Central Florida",12.75,8
"Central Michigan",22,54
"Cincinnati",24.375,68.5
"Clemson",16.625,18
"Colorado",29,91.5
"Colorado State",33.625,108
"Connecticut",18.375,29
"Duke",36.25,114
"East Carolina",34,109
"Eastern Michigan",43.1111111111111,121
"Florida",17.25,24
"Florida Atlantic",22.5,58
"Florida International",25.4285714285714,73
"Florida State",16.875,22
"Fresno State",25.8571428571429,75
"Georgia",20.1111111111111,45
"Georgia Tech",22.875,60
"Hawaii",19.4444444444444,37
"Houston",25.5,74
"Idaho",22.125,55
"Illinois",14.5,10
"Indiana",26.875,80.5
"Iowa",11.5,3
"Iowa State",27.6666666666667,86
"Kansas",31.625,102
"Kansas State",23.375,63
"Kent State",17.5,25.5
"Kentucky",30.1111111111111,98
"Louisiana",36.625,115
"Louisiana State",15.625,14.5
"Louisiana Tech",29.375,93
"Louisiana-Monroe",27.25,84
"Louisville",18,27
"Marshall",28.875,90
"Maryland",16.75,20
"Memphis",40.75,120
"Miami (FL)",17.5,25.5
"Miami (OH)",25.2222222222222,72
"Michigan",30,96.5
"Michigan State",19.625,39
"Middle Tennessee State",24.4285714285714,70
"Minnesota",33.2222222222222,107
"Mississippi",32.875,104
"Mississippi State",15.6666666666667,16.5
"Missouri",14.625,11
"Navy",20,43.5
"Nebraska",15.5,13
"Nevada",21.25,51
"Nevada-Las Vegas",34.875,111
"New Mexico",39.625,119
"New Mexico State",35.875,113
"Non-Major",38.1428571428571,117
"North Carolina",19,32.5
"North Carolina State",21.5,52
"North Texas",24.25,67
"Northern Illinois",16.6666666666667,19
"Northwestern",19.5,38
"Notre Dame",23.3333333333333,62
"Ohio",19.8888888888889,42
"Ohio State",11.5555555555556,4
"Oklahoma",20,43.5
"Oklahoma State",26.25,77.5
"Oregon",15.625,14.5
"Oregon State",26.2857142857143,79
"Penn State",18.5,30
"Pittsburgh",18.25,28
"Purdue",26.875,80.5
"Rice",31.375,101
"Rutgers",19,32.5
"San Diego State",20.25,47
"San Jose State",32.5555555555556,103
"South Carolina",17,23
"South Florida",16.8571428571429,21
"Southern California",27.125,82.5
"Southern Methodist",23,61
"Southern Mississippi",24.375,68.5
"Stanford",19.75,40
"Syracuse",15.25,12
"Temple",15.6666666666667,16.5
"Tennessee",27.5,85
"Texas",19.875,41
"Texas A&M",19.25,34.5
"Texas Christian",6.66666666666667,1
"Texas Tech",31.125,100
"Texas-El Paso",21.7777777777778,53
"Toledo",23.8888888888889,66
"Troy",27.8571428571429,87
"Tulane",30,96.5
"Tulsa",27.125,82.5
"UCLA",29.625,94.5
"Utah",12.625,6.5
"Utah State",33.125,105.5
"Vanderbilt",24.875,71
"Virginia",22.75,59
"Virginia Tech",19.25,34.5
"Wake Forest",37.75,116
"Washington",33.125,105.5
"Washington State",38.7777777777778,118
"West Virginia",13.625,9
"Western Kentucky",34.125,110
"Western Michigan",23.75,65
"Wisconsin",18.75,31
"Wyoming",30.2222222222222,99
