"Team","Value","Rank"
"Air Force",452.555555555556,54
"Akron",499,88
"Alabama",387.5,15
"Alabama-Birmingham",458.75,59
"Arizona",388.125,16
"Arizona State",459.625,60
"Arkansas",451.375,53
"Arkansas State",536.5,111
"Army",397.625,20
"Auburn",487.333333333333,77
"Ball State",500.666666666667,89
"Baylor",494.111111111111,83
"Boise State",389.857142857143,17
"Boston College",366.25,10
"Bowling Green State",478.777777777778,75
"Brigham Young",429.375,33
"Buffalo",429.5,34
"California",428.25,31
"Central Florida",361.25,6
"Central Michigan",426.333333333333,29
"Cincinnati",428.75,32
"Clemson",442.375,43.5
"Colorado",512.857142857143,95
"Colorado State",517.375,98
"Connecticut",461.375,65
"Duke",544.375,114
"East Carolina",552.25,117
"Eastern Michigan",523.444444444444,104
"Florida",372.75,12
"Florida Atlantic",449.166666666667,51
"Florida International",449.857142857143,52
"Florida State",363,7
"Fresno State",460,61
"Georgia",419.444444444444,27
"Georgia Tech",445,46
"Hawaii",468.666666666667,70
"Houston",490,79
"Idaho",466.75,68
"Illinois",352.375,4
"Indiana",515.5,97
"Iowa",382.625,13
"Iowa State",522.666666666667,102
"Kansas",504.625,91
"Kansas State",517.75,99
"Kent State",349.75,3
"Kentucky",464.222222222222,66
"Louisiana",515.125,96
"Louisiana State",364.75,8
"Louisiana Tech",536,110
"Louisiana-Monroe",456.25,56
"Louisville",406.75,24
"Marshall",492.25,80
"Maryland",448.375,49
"Memphis",568.625,119
"Miami (FL)",402.375,22
"Miami (OH)",448.777777777778,50
"Michigan",534.125,109
"Michigan State",429.875,35
"Middle Tennessee State",437.857142857143,41
"Minnesota",504.888888888889,92
"Mississippi",529.125,107
"Mississippi State",432,37
"Missouri",447,48
"Navy",460.625,62
"Nebraska",396.375,18
"Nevada",502.75,90
"Nevada-Las Vegas",474,72
"New Mexico",574,120
"New Mexico State",549.375,116
"Non-Major",522.892857142857,103
"North Carolina",442.75,45
"North Carolina State",482.625,76
"North Texas",457.5,57
"Northern Illinois",419.111111111111,26
"Northwestern",445.375,47
"Notre Dame",476.555555555556,74
"Ohio",434.444444444444,38
"Ohio State",365.888888888889,9
"Oklahoma",471.125,71
"Oklahoma State",495.5,85
"Oregon",476.125,73
"Oregon State",546.714285714286,115
"Penn State",397.375,19
"Pittsburgh",383.375,14
"Purdue",436.625,39.5
"Rice",524.75,106
"Rutgers",406.714285714286,23
"San Diego State",440.25,42
"San Jose State",498.666666666667,87
"South Carolina",461,63
"South Florida",430.428571428571,36
"Southern California",542.625,112
"Southern Methodist",487.444444444444,78
"Southern Mississippi",461.25,64
"Stanford",436.625,39.5
"Syracuse",398.125,21
"Temple",408.111111111111,25
"Tennessee",494.375,84
"Texas",353,5
"Texas A&M",442.375,43.5
"Texas Christian",339.333333333333,1
"Texas Tech",520.25,100
"Texas-El Paso",465.333333333333,67
"Toledo",428.222222222222,30
"Troy",510.571428571429,94
"Tulane",505.5,93
"Tulsa",521.875,101
"UCLA",493.25,82
"Utah",367.75,11
"Utah State",543,113
"Vanderbilt",493,81
"Virginia",458,58
"Virginia Tech",424.625,28
"Wake Forest",574.5,121
"Washington",554.875,118
"Washington State",531.888888888889,108
"West Virginia",341.625,2
"Western Kentucky",496.875,86
"Western Michigan",467.875,69
"Wisconsin",455.5,55
"Wyoming",524.444444444444,105
