"Team","Value","Rank"
"Air Force",22.4444444444444,52
"Akron",35.6666666666667,111
"Alabama",12.5,2
"Alabama-Birmingham",28.375,84
"Arizona",13.375,4.5
"Arizona State",21.75,48.5
"Arkansas",21.5,46
"Arkansas State",30.375,96
"Army",21.75,48.5
"Auburn",24.3333333333333,64.5
"Ball State",29,88
"Baylor",23.1111111111111,57
"Boise State",13.4285714285714,6
"Boston College",21.625,47
"Bowling Green State",31.6666666666667,100
"Brigham Young",26.25,74
"Buffalo",26.625,76
"California",20.875,43
"Central Florida",15.75,11
"Central Michigan",23.3333333333333,58.5
"Cincinnati",24.375,66
"Clemson",18.125,22
"Colorado",29,88
"Colorado State",33.625,108
"Connecticut",20.625,40.5
"Duke",36.25,112
"East Carolina",34.75,109
"Eastern Michigan",43.1111111111111,121
"Florida",19.5,29.5
"Florida Atlantic",23.5,60
"Florida International",26.2857142857143,75
"Florida State",16.875,14
"Fresno State",25.8571428571429,71
"Georgia",20.7777777777778,42
"Georgia Tech",23.625,61
"Hawaii",22.1111111111111,51
"Houston",27,78
"Idaho",22.875,55
"Illinois",16.75,12.5
"Indiana",27.625,80
"Iowa",13.75,8
"Iowa State",29.6666666666667,93
"Kansas",31.625,99
"Kansas State",24.125,62
"Kent State",19.75,32
"Kentucky",30.1111111111111,95
"Louisiana",37.375,115
"Louisiana State",15.625,10
"Louisiana Tech",29.375,90
"Louisiana-Monroe",28.75,86
"Louisville",18,21
"Marshall",29.625,91.5
"Maryland",19,26.5
"Memphis",40.75,119
"Miami (FL)",19,26.5
"Miami (OH)",25.8888888888889,72
"Michigan",30,94
"Michigan State",19.625,31
"Middle Tennessee State",26.1428571428571,73
"Minnesota",33.2222222222222,107
"Mississippi",32.875,104
"Mississippi State",17,15
"Missouri",15.375,9
"Navy",20,34.5
"Nebraska",17.75,19
"Nevada",22.75,53.5
"Nevada-Las Vegas",36.375,113
"New Mexico",41.125,120
"New Mexico State",36.625,114
"Non-Major",38.5,116
"North Carolina",20.5,39
"North Carolina State",23,56
"North Texas",24.25,63
"Northern Illinois",17.3333333333333,16
"Northwestern",20.25,37.5
"Notre Dame",23.3333333333333,58.5
"Ohio",21.2222222222222,44
"Ohio State",12.8888888888889,3
"Oklahoma",20,34.5
"Oklahoma State",27.75,81
"Oregon",17.875,20
"Oregon State",27.1428571428571,79
"Penn State",18.5,23.5
"Pittsburgh",19,26.5
"Purdue",26.875,77
"Rice",32.125,101
"Rutgers",19,26.5
"San Diego State",20.25,37.5
"San Jose State",32.5555555555556,102
"South Carolina",18.5,23.5
"South Florida",17.7142857142857,18
"Southern California",27.875,83
"Southern Methodist",24.3333333333333,64.5
"Southern Mississippi",25.125,68
"Stanford",21.25,45
"Syracuse",16.75,12.5
"Temple",17.6666666666667,17
"Tennessee",29,88
"Texas",20.625,40.5
"Texas A&M",20,34.5
"Texas Christian",8.66666666666667,1
"Texas Tech",32.625,103
"Texas-El Paso",21.7777777777778,50
"Toledo",24.5555555555556,67
"Troy",27.8571428571429,82
"Tulane",30.75,97
"Tulsa",28.625,85
"UCLA",29.625,91.5
"Utah",13.375,4.5
"Utah State",33.125,105.5
"Vanderbilt",25.625,70
"Virginia",22.75,53.5
"Virginia Tech",20,34.5
"Wake Forest",39.25,117
"Washington",33.125,105.5
"Washington State",39.4444444444444,118
"West Virginia",13.625,7
"Western Kentucky",35.625,110
"Western Michigan",25.25,69
"Wisconsin",19.5,29.5
"Wyoming",30.8888888888889,98
