"Team","Value","Rank"
"Air Force",0.949320949664342,47
"Akron",4.21040998858554,117
"Alabama",-0.637057576032882,5
"Alabama-Birmingham",2.2889430151479,87
"Arizona",-0.788867566680817,3
"Arizona State",-0.002592022877,17
"Arkansas",0.799309857694232,42
"Arkansas State",2.54338647673086,99
"Army",1.57594652923689,68
"Auburn",1.3174632005112,59
"Ball State",2.40242075301488,92
"Baylor",1.40421030857268,61
"Boise State",-0.0697221930299512,16
"Boston College",-0.616017504289356,6
"Bowling Green State",1.83388287953217,77
"Brigham Young",1.44477515585528,64
"Buffalo",1.55769651254315,67
"California",0.0698978838759203,18
"Central Florida",1.54113057064985,66
"Central Michigan",1.78949718164921,75
"Cincinnati",2.54245462816827,97
"Clemson",0.716245284712535,37
"Colorado",0.444831966022197,27
"Colorado State",3.51837496082332,114
"Connecticut",1.00736540824086,49
"Duke",2.93262489831726,108
"East Carolina",2.58325364520506,101
"Eastern Michigan",5.17188966703782,121
"Florida",-0.381870512482928,10
"Florida Atlantic",1.93511545926396,80
"Florida International",1.77275793435316,73
"Florida State",0.4403194199608,26
"Fresno State",2.7276115950521,103
"Georgia",0.735341946477646,39
"Georgia Tech",1.78875806559845,74
"Hawaii",0.107452496482384,19
"Houston",2.65872516342106,102
"Idaho",0.398731858836986,25
"Illinois",-0.396678217111668,9
"Indiana",2.29361032838684,88
"Iowa",-0.449178340165305,7
"Iowa State",0.946912135063931,46
"Kansas",3.73153056693366,116
"Kansas State",1.16638891078516,53
"Kent State",1.16931073112806,54
"Kentucky",2.34825076192726,90
"Louisiana",2.92835236339521,107
"Louisiana State",-0.14309062989548,14
"Louisiana Tech",1.70219762004735,70
"Louisiana-Monroe",2.54875337180583,100
"Louisville",0.650899091514374,35
"Marshall",2.82005986956268,105
"Maryland",1.02564564264509,50
"Memphis",4.74930751287011,120
"Miami (FL)",-1.21263786545748,1
"Miami (OH)",1.87956724942493,78
"Michigan",2.96825441227718,109
"Michigan State",-0.433629574572774,8
"Middle Tennessee State",3.26037999991087,113
"Minnesota",2.85151789893049,106
"Mississippi",2.43419067790549,94
"Mississippi State",-0.342452595455322,11
"Missouri",-0.210681439151382,12
"Navy",0.817828967194811,43
"Nebraska",0.164866500034121,21
"Nevada",1.43298818359243,63
"Nevada-Las Vegas",2.75448567842131,104
"New Mexico",3.21545975026484,112
"New Mexico State",4.72679720829591,119
"Non-Major",3.08302660188045,110
"North Carolina",0.248125825780518,22
"North Carolina State",0.768317725637069,40
"North Texas",2.46758484684493,95
"Northern Illinois",1.12492252343033,52
"Northwestern",1.31555376481555,58
"Notre Dame",0.557856690639678,31
"Ohio",1.24312415101744,56
"Ohio State",-0.731325636481043,4
"Oklahoma",0.27355044322976,23
"Oklahoma State",0.679226704487313,36
"Oregon",-1.1593781484061,2
"Oregon State",0.643134306322023,34
"Penn State",0.723417291151429,38
"Pittsburgh",0.838554729370883,44
"Purdue",2.39318323000137,91
"Rice",3.15926958447508,111
"Rutgers",0.967306779483194,48
"San Diego State",1.76230892179399,72
"San Jose State",2.25423715807445,86
"South Carolina",0.10811435840792,20
"South Florida",1.22559637917286,55
"Southern California",0.538430371609655,30
"Southern Methodist",1.90217333777957,79
"Southern Mississippi",2.10640533849898,82
"Stanford",-0.0758912594153527,15
"Syracuse",0.882993327339361,45
"Temple",1.52362034508472,65
"Tennessee",1.6133232923837,69
"Texas",0.773310357218611,41
"Texas A&M",0.569413445034563,32
"Texas Christian",-0.165373961016948,13
"Texas Tech",2.40583046823981,93
"Texas-El Paso",2.48096282627552,96
"Toledo",0.460071873091815,28
"Troy",1.32696545254154,60
"Tulane",2.11234590437872,83
"Tulsa",2.16088892385544,85
"UCLA",0.591661048334564,33
"Utah",0.527828932134761,29
"Utah State",2.3411031775659,89
"Vanderbilt",1.80446396040085,76
"Virginia",1.08259493147306,51
"Virginia Tech",1.30830302459327,57
"Wake Forest",3.54172488970947,115
"Washington",2.08908238556491,81
"Washington State",2.54311757923653,98
"West Virginia",0.284840070950658,24
"Western Kentucky",4.36382054174528,118
"Western Michigan",1.41705093568657,62
"Wisconsin",1.72947461515478,71
"Wyoming",2.1493187569195,84
