"Team","Value","Rank"
"Air Force",2.61538461538462,35.5
"Akron",4,98
"Alabama",1.46153846153846,2.5
"Alabama-Birmingham",3.58333333333333,78
"Arizona",2.61538461538462,35.5
"Arizona State",2.75,46
"Arkansas",2.69230769230769,43
"Arkansas State",3.75,86.5
"Army",3.07692307692308,57
"Auburn",3,54.5
"Ball State",3.75,86.5
"Baylor",3.53846153846154,75.5
"Boise State",1.61538461538462,4.5
"Boston College",1.76923076923077,6
"Bowling Green State",4.08333333333333,100.5
"Brigham Young",2.61538461538462,35.5
"Buffalo",3.33333333333333,66
"California",2.66666666666667,41
"Central Florida",2.14285714285714,15
"Central Michigan",3.25,63
"Cincinnati",3.66666666666667,83
"Clemson",2,10
"Colorado",3.81818181818182,92
"Colorado State",4.45454545454545,111
"Connecticut",2.30769230769231,22
"Duke",4.41666666666667,109
"East Carolina",5.53846153846154,120
"Eastern Michigan",5.83333333333333,121
"Florida",2.46153846153846,30
"Florida Atlantic",3.45454545454545,68
"Florida International",3.46153846153846,70.5
"Florida State",2.07142857142857,12
"Fresno State",3.76923076923077,90
"Georgia",2.92307692307692,51.5
"Georgia Tech",3.15384615384615,58
"Hawaii",3.21428571428571,60
"Houston",4.08333333333333,100.5
"Idaho",3.23076923076923,61.5
"Illinois",2.61538461538462,35.5
"Indiana",4,98
"Iowa",2,10
"Iowa State",3.33333333333333,66
"Kansas",4.25,105
"Kansas State",3.46153846153846,70.5
"Kent State",2.75,46
"Kentucky",3.53846153846154,75.5
"Louisiana",4.16666666666667,103.5
"Louisiana State",2.38461538461538,26
"Louisiana Tech",3.75,86.5
"Louisiana-Monroe",3.83333333333333,93
"Louisville",2.38461538461538,26
"Marshall",3.16666666666667,59
"Maryland",2.46153846153846,30
"Memphis",5.16666666666667,118
"Miami (FL)",2.23076923076923,19
"Miami (OH)",3,54.5
"Michigan",4.30769230769231,106
"Michigan State",2.75,46
"Middle Tennessee State",3.46153846153846,70.5
"Minnesota",4.41666666666667,109
"Mississippi",3.91666666666667,95
"Mississippi State",2.30769230769231,22
"Missouri",1.92307692307692,8
"Navy",2.92307692307692,51.5
"Nebraska",1.85714285714286,7
"Nevada",2.42857142857143,28
"Nevada-Las Vegas",5,116
"New Mexico",5.5,119
"New Mexico State",4.91666666666667,115
"Non-Major",5.10112359550562,117
"North Carolina",2.69230769230769,43
"North Carolina State",2.69230769230769,43
"North Texas",3.66666666666667,83
"Northern Illinois",2.21428571428571,17
"Northwestern",3.76923076923077,90
"Notre Dame",2.07692307692308,13.5
"Ohio",2.92307692307692,51.5
"Ohio State",1.61538461538462,4.5
"Oklahoma",2.35714285714286,24
"Oklahoma State",3.23076923076923,61.5
"Oregon",2,10
"Oregon State",3.5,73.5
"Penn State",2.61538461538462,35.5
"Pittsburgh",2.23076923076923,19
"Purdue",3.58333333333333,78
"Rice",4.66666666666667,113
"Rutgers",3.33333333333333,66
"San Diego State",2.61538461538462,35.5
"San Jose State",4.15384615384615,102
"South Carolina",2.64285714285714,39.5
"South Florida",2.07692307692308,13.5
"Southern California",3.30769230769231,64
"Southern Methodist",3.07142857142857,56
"Southern Mississippi",3.76923076923077,90
"Stanford",2.23076923076923,19
"Syracuse",2.30769230769231,22
"Temple",2.16666666666667,16
"Tennessee",2.92307692307692,51.5
"Texas",2.91666666666667,49
"Texas A&M",2.53846153846154,32
"Texas Christian",1.46153846153846,2.5
"Texas Tech",3.84615384615385,94
"Texas-El Paso",3.46153846153846,70.5
"Toledo",3.61538461538462,80.5
"Troy",3.92307692307692,96
"Tulane",4.5,112
"Tulsa",4,98
"UCLA",3.58333333333333,78
"Utah",2.38461538461538,26
"Utah State",4.16666666666667,103.5
"Vanderbilt",3.66666666666667,83
"Virginia",3.5,73.5
"Virginia Tech",2.64285714285714,39.5
"Wake Forest",4.41666666666667,109
"Washington",3.61538461538462,80.5
"Washington State",4.75,114
"West Virginia",1.23076923076923,1
"Western Kentucky",4.33333333333333,107
"Western Michigan",2.83333333333333,48
"Wisconsin",2.46153846153846,30
"Wyoming",3.75,86.5
