"Team","Value","Rank"
"Air Force",444.307692307692,30
"Akron",499.833333333333,74
"Alabama",416.538461538462,14
"Alabama-Birmingham",500.166666666667,76
"Arizona",442.153846153846,29
"Arizona State",498,71
"Arkansas",493,65
"Arkansas State",536.25,102
"Army",441.769230769231,27
"Auburn",498.5,72
"Ball State",495.583333333333,68
"Baylor",552.461538461538,111
"Boise State",414.846153846154,12
"Boston College",396.923076923077,4
"Bowling Green State",516.166666666667,87
"Brigham Young",418.153846153846,16
"Buffalo",428,21
"California",441.833333333333,28
"Central Florida",417.214285714286,15
"Central Michigan",476.083333333333,49
"Cincinnati",457.833333333333,37
"Clemson",425.692307692308,20
"Colorado",513.454545454545,82
"Colorado State",510.181818181818,79
"Connecticut",496.846153846154,70
"Duke",552.916666666667,112
"East Carolina",611,121
"Eastern Michigan",537.75,103
"Florida",412.461538461538,10
"Florida Atlantic",480.090909090909,52
"Florida International",494.692307692308,66
"Florida State",423.714285714286,19
"Fresno State",500.076923076923,75
"Georgia",435.153846153846,26
"Georgia Tech",472.230769230769,44
"Hawaii",506.071428571429,77
"Houston",563.083333333333,116
"Idaho",519.384615384615,93
"Illinois",465.384615384615,40
"Indiana",547.666666666667,108
"Iowa",432.384615384615,25
"Iowa State",508.583333333333,78
"Kansas",518.166666666667,89.5
"Kansas State",543,106
"Kent State",390.833333333333,3
"Kentucky",464.230769230769,39
"Louisiana",513,81
"Louisiana State",432.307692307692,24
"Louisiana Tech",571.5,118
"Louisiana-Monroe",470.5,42
"Louisville",416.153846153846,13
"Marshall",480.583333333333,53
"Maryland",485.230769230769,59
"Memphis",564.833333333333,117
"Miami (FL)",423.076923076923,18
"Miami (OH)",444.428571428571,31
"Michigan",555.615384615385,113
"Michigan State",469.5,41
"Middle Tennessee State",488.307692307692,63
"Minnesota",483.75,57
"Mississippi",535.416666666667,101
"Mississippi State",475.615384615385,47
"Missouri",475,46
"Navy",515.769230769231,86
"Nebraska",404.214285714286,6
"Nevada",518.214285714286,91
"Nevada-Las Vegas",521.769230769231,95
"New Mexico",594.833333333333,120
"New Mexico State",557.333333333333,115
"Non-Major",538.910112359551,104
"North Carolina",471.384615384615,43
"North Carolina State",479.846153846154,50
"North Texas",513.75,83
"Northern Illinois",451.285714285714,34
"Northwestern",518.923076923077,92
"Notre Dame",451,33
"Ohio",452,36
"Ohio State",408.769230769231,8
"Oklahoma",491.714285714286,64
"Oklahoma State",527.615384615385,97
"Oregon",495.384615384615,67
"Oregon State",521.416666666667,94
"Penn State",431.923076923077,23
"Pittsburgh",411.461538461538,9
"Purdue",451.916666666667,35
"Rice",556.416666666667,114
"Rutgers",480,51
"San Diego State",485.384615384615,60
"San Jose State",542.307692307692,105
"South Carolina",480.714285714286,54
"South Florida",421,17
"Southern California",516.461538461538,88
"Southern Methodist",462.928571428571,38
"Southern Mississippi",515.307692307692,85
"Stanford",447.230769230769,32
"Syracuse",414.461538461538,11
"Temple",407.583333333333,7
"Tennessee",488.153846153846,62
"Texas",397.5,5
"Texas A&M",475.769230769231,48
"Texas Christian",367.538461538462,2
"Texas Tech",547.384615384615,107
"Texas-El Paso",525.769230769231,96
"Toledo",484.461538461538,58
"Troy",535.307692307692,100
"Tulane",549.166666666667,110
"Tulsa",579.307692307692,119
"UCLA",514,84
"Utah",431.846153846154,22
"Utah State",531.166666666667,98
"Vanderbilt",499.333333333333,73
"Virginia",481.416666666667,56
"Virginia Tech",474.785714285714,45
"Wake Forest",547.75,109
"Washington",512.923076923077,80
"Washington State",534.833333333333,99
"West Virginia",360.769230769231,1
"Western Kentucky",496.833333333333,69
"Western Michigan",481.083333333333,55
"Wisconsin",488,61
"Wyoming",518.166666666667,89.5
