"Team","Value","Rank"
"Air Force",0.973803362484744,44
"Akron",3.60139192384155,114
"Alabama",-0.708836668310802,5
"Alabama-Birmingham",2.76549702994844,98
"Arizona",0.256280281558255,22
"Arizona State",0.369284427207743,29
"Arkansas",0.465992191267866,34
"Arkansas State",2.238255096705,81
"Army",1.27493416838209,57
"Auburn",1.00051973024637,45
"Ball State",2.55062544343576,92
"Baylor",1.87539627595701,69
"Boise State",-0.473109983013087,7
"Boston College",-1.05912245114298,2
"Bowling Green State",2.46288396045385,88
"Brigham Young",0.594948770710202,39
"Buffalo",2.17357398091502,78
"California",0.025823259244858,18
"Central Florida",1.07891744754932,49
"Central Michigan",2.21088598373511,79
"Cincinnati",2.72357281583698,96
"Clemson",0.347009906214497,28
"Colorado",1.66351989703503,67
"Colorado State",3.1751378740994,111
"Connecticut",0.30330885555458,25
"Duke",2.8706760448813,102
"East Carolina",3.84862227995857,117
"Eastern Michigan",5.37456478667276,121
"Florida",0.114999993900678,20
"Florida Atlantic",3.12221160027895,108
"Florida International",2.25293083584717,84
"Florida State",-0.0815304699592481,16
"Fresno State",2.78458421112614,99
"Georgia",0.720951305329904,41
"Georgia Tech",1.61832016626493,63
"Hawaii",0.587183639146226,38
"Houston",2.82384822302239,101
"Idaho",1.13452185288889,50
"Illinois",0.283601577973662,23
"Indiana",2.89588011194307,103
"Iowa",-0.189645423401482,15
"Iowa State",1.02071084035026,46
"Kansas",3.10919184540953,107
"Kansas State",2.00411311878769,74
"Kent State",1.62856348493264,65
"Kentucky",2.24856549080283,82
"Louisiana",2.96669297756298,105
"Louisiana State",-0.290640710028277,10
"Louisiana Tech",1.87811389194647,70
"Louisiana-Monroe",2.76319773629889,97
"Louisville",1.24327858968796,54
"Marshall",2.40650176373767,87
"Maryland",0.324997473854822,26
"Memphis",4.3337027641979,120
"Miami (FL)",-0.209031967392886,13
"Miami (OH)",1.52373126936426,60
"Michigan",2.71282948044899,95
"Michigan State",0.50792015726224,36
"Middle Tennessee State",3.1599683956949,110
"Minnesota",2.51150658816015,90
"Mississippi",2.24920644844653,83
"Mississippi State",-0.317015328751406,8
"Missouri",-0.557384625139123,6
"Navy",1.23285344609829,53
"Nebraska",0.0365870861313775,19
"Nevada",1.26475035082775,56
"Nevada-Las Vegas",3.22272522711477,113
"New Mexico",3.65304367052916,115
"New Mexico State",4.14006864560679,119
"Non-Major",3.15013831330595,109
"North Carolina",0.733432442719558,42
"North Carolina State",0.341310353920047,27
"North Texas",3.21017101312518,112
"Northern Illinois",1.39040887270176,59
"Northwestern",2.02625093564793,75
"Notre Dame",-0.255711698180908,12
"Ohio",2.23463121363041,80
"Ohio State",-0.733794774127027,4
"Oklahoma",-0.263372175980276,11
"Oklahoma State",0.392948986792256,30
"Oregon",-1.52722508979371,1
"Oregon State",0.475045398429774,35
"Penn State",1.06702583883153,48
"Pittsburgh",0.699535294061049,40
"Purdue",1.54417231008759,61
"Rice",3.9408448974965,118
"Rutgers",1.97357891501488,73
"San Diego State",1.6692753603285,68
"San Jose State",2.49735836133187,89
"South Carolina",-0.0145729073116232,17
"South Florida",1.0424504843875,47
"Southern California",0.293366360357213,24
"Southern Methodist",1.93685872258696,72
"Southern Mississippi",2.3348729959473,86
"Stanford",-0.927818975294789,3
"Syracuse",1.38209472287779,58
"Temple",1.64109346310882,66
"Tennessee",0.585453576709279,37
"Texas",1.2154849097291,52
"Texas A&M",0.439525090274963,32
"Texas Christian",-0.195595973821476,14
"Texas Tech",2.15090199772778,77
"Texas-El Paso",3.09508020771007,106
"Toledo",1.58276045221305,62
"Troy",2.60153816511647,93
"Tulane",2.91222463614314,104
"Tulsa",1.62003089179066,64
"UCLA",0.951784059433245,43
"Utah",0.428022318762096,31
"Utah State",2.7859574948405,100
"Vanderbilt",2.12604204245403,76
"Virginia",2.28944679903297,85
"Virginia Tech",0.244912853718384,21
"Wake Forest",2.6395855235776,94
"Washington",1.25610228438333,55
"Washington State",1.89025283758804,71
"West Virginia",-0.315589015783748,9
"Western Kentucky",3.725051807122,116
"Western Michigan",1.14142562344438,51
"Wisconsin",0.465980096094416,33
"Wyoming",2.51396858817579,91
