"Team","Value","Rank"
"Air Force",530.970383818657,31
"Akron",344.467380665403,121
"Alabama",566.433370795693,16
"Alabama-Birmingham",550.770349172575,21
"Arizona",539.693220461966,27
"Arizona State",571.189830463777,13
"Arkansas",617.846215702433,3
"Arkansas State",510.972344351704,40
"Army",417.65071789485,99
"Auburn",635.050814770829,2
"Ball State",393.566824684068,114
"Baylor",599.830661904863,8
"Boise State",588.539484104838,9
"Boston College",397.584791166834,109
"Bowling Green State",399.104964695199,108
"Brigham Young",416.218753360032,100
"Buffalo",412.064596173677,104
"California",461.169064782449,70
"Central Florida",435.79591801071,90
"Central Michigan",444.024396047294,84
"Cincinnati",530.553617410817,32
"Clemson",452.766735414711,78
"Colorado",471.395808197813,64
"Colorado State",525.141909705128,34
"Connecticut",468.315511970462,67
"Duke",527.649459810744,33
"East Carolina",544.097697283608,24
"Eastern Michigan",454.023563028591,77
"Florida",503.619135384366,47
"Florida Atlantic",394.973035080139,112
"Florida International",481.616758731421,56
"Florida State",511.011687984423,39
"Fresno State",468.331968917637,66
"Georgia",509.91109881931,43
"Georgia Tech",458.142076599021,73
"Hawaii",537.609331628059,28
"Houston",581.412584561824,10
"Idaho",483.368011968766,53
"Illinois",408.216417097037,106
"Indiana",495.378952729042,51
"Iowa",451.848559525423,79
"Iowa State",442.496516697811,85
"Kansas",415.226591829808,101
"Kansas State",480.61150539058,58
"Kent State",388.446202218292,116
"Kentucky",568.529620762995,15
"Louisiana",438.984317420314,87
"Louisiana State",475.733823884227,62
"Louisiana Tech",523.912409075344,35
"Louisiana-Monroe",435.862867587824,89
"Louisville",508.850060400921,44
"Marshall",428.766383512568,94
"Maryland",445.338092871167,82
"Memphis",372.558846553458,119
"Miami (FL)",490.513551252323,52
"Miami (OH)",413.213899235899,103
"Michigan",608.494428011972,7
"Michigan State",517.022416804607,36
"Middle Tennessee State",457.133834028093,74
"Minnesota",481.587641514263,57
"Mississippi",536.416920567249,29
"Mississippi State",482.169148291936,54
"Missouri",505.268127852493,45
"Navy",432.550174492966,92
"Nebraska",551.616833506317,19
"Nevada",610.923862620829,6
"Nevada-Las Vegas",413.993560566793,102
"New Mexico",368.608427283947,120
"New Mexico State",404.021849166206,107
"Non-Major",393.72985028573,113
"North Carolina",444.283668104655,83
"North Carolina State",541.404889108709,26
"North Texas",450.570851139877,80
"Northern Illinois",459.818250535933,71
"Northwestern",472.474850372186,63
"Notre Dame",501.032892581375,48
"Ohio",424.874169369603,97
"Ohio State",555.556302756341,18
"Oklahoma",576.296237610664,11
"Oklahoma State",616.256849369877,5
"Oregon",693.001971250228,1
"Oregon State",551.396982810475,20
"Penn State",481.841240983094,55
"Pittsburgh",500.749364536191,49
"Purdue",390.024286125024,115
"Rice",459.513931346548,72
"Rutgers",396.535817585597,111
"San Diego State",505.149784379282,46
"San Jose State",387.053939431117,117
"South Carolina",511.910488880364,38
"South Florida",456.502235805348,75
"Southern California",617.410450441545,4
"Southern Methodist",513.420359127499,37
"Southern Mississippi",510.009376415297,41
"Stanford",531.405511868786,30
"Syracuse",448.812612265622,81
"Temple",397.539786258374,110
"Tennessee",467.375852873345,69
"Texas",435.459946435237,91
"Texas A&M",559.588564181761,17
"Texas Christian",570.453084477558,14
"Texas Tech",548.349412587949,22
"Texas-El Paso",455.906004203151,76
"Toledo",421.620089731685,98
"Troy",509.977725604994,42
"Tulane",431.162215494225,93
"Tulsa",542.174527283121,25
"UCLA",425.809834718397,95
"Utah",574.327887196117,12
"Utah State",469.906016496241,65
"Vanderbilt",409.724002135284,105
"Virginia",480.062772543298,59
"Virginia Tech",499.557309446959,50
"Wake Forest",477.213566932363,61
"Washington",478.502726674478,60
"Washington State",425.165673596378,96
"West Virginia",437.470250737453,88
"Western Kentucky",440.124804168114,86
"Western Michigan",467.971514922803,68
"Wisconsin",545.088660948806,23
"Wyoming",374.700237433195,118
