"Team","Value","Rank"
"Air Force",4.15384615384615,22
"Akron",1.41666666666667,118
"Alabama",4,26.5
"Alabama-Birmingham",3.08333333333333,63
"Arizona",3.38461538461538,50
"Arizona State",3.58333333333333,41
"Arkansas",4.30769230769231,16
"Arkansas State",3.83333333333333,29.5
"Army",2.92307692307692,72
"Auburn",5.14285714285714,5
"Ball State",2.25,105.5
"Baylor",3.69230769230769,33.5
"Boise State",5.46153846153846,2
"Boston College",1.53846153846154,116
"Bowling Green State",2.33333333333333,99
"Brigham Young",3,68.5
"Buffalo",1.25,120.5
"California",2.75,82
"Central Florida",3.78571428571429,31
"Central Michigan",3,68.5
"Cincinnati",3.41666666666667,47.5
"Clemson",2.76923076923077,80.5
"Colorado",2.72727272727273,83
"Colorado State",1.72727272727273,113
"Connecticut",2.30769230769231,103
"Duke",2.5,89
"East Carolina",4.38461538461539,14.5
"Eastern Michigan",2.5,89
"Florida",3.53846153846154,44.5
"Florida Atlantic",1.90909090909091,111
"Florida International",3.38461538461538,50
"Florida State",3.57142857142857,42.5
"Fresno State",3.15384615384615,60.5
"Georgia",3.61538461538462,38.5
"Georgia Tech",3,68.5
"Hawaii",4.57142857142857,11
"Houston",4.41666666666667,13
"Idaho",2.76923076923077,80.5
"Illinois",3.53846153846154,44.5
"Indiana",2.91666666666667,74
"Iowa",3.30769230769231,54
"Iowa State",2.33333333333333,99
"Kansas",1.91666666666667,109.5
"Kansas State",4.23076923076923,18
"Kent State",2.33333333333333,99
"Kentucky",4,26.5
"Louisiana",2.41666666666667,94.5
"Louisiana State",3.15384615384615,60.5
"Louisiana Tech",3.16666666666667,57
"Louisiana-Monroe",2.33333333333333,99
"Louisville",3.07692307692308,65
"Marshall",2.25,105.5
"Maryland",3.69230769230769,33.5
"Memphis",1.5,117
"Miami (FL)",3.15384615384615,60.5
"Miami (OH)",2.28571428571429,104
"Michigan",4.38461538461539,14.5
"Michigan State",3.66666666666667,36
"Middle Tennessee State",3.07692307692308,65
"Minnesota",2.83333333333333,78
"Mississippi",3.41666666666667,47.5
"Mississippi State",3.61538461538462,38.5
"Missouri",3.46153846153846,46
"Navy",3.84615384615385,28
"Nebraska",3.57142857142857,42.5
"Nevada",5.35714285714286,3
"Nevada-Las Vegas",2,108
"New Mexico",1.58333333333333,115
"New Mexico State",1.25,120.5
"Non-Major",1.25842696629213,119
"North Carolina",2.84615384615385,76
"North Carolina State",3.61538461538462,38.5
"North Texas",2.83333333333333,78
"Northern Illinois",4.64285714285714,10
"Northwestern",3,68.5
"Notre Dame",2.92307692307692,72
"Ohio",3.38461538461538,50
"Ohio State",4.46153846153846,12
"Oklahoma",4.21428571428571,20
"Oklahoma State",5.07692307692308,6.5
"Oregon",5.92307692307692,1
"Oregon State",3.16666666666667,57
"Penn State",2.46153846153846,92
"Pittsburgh",3.07692307692308,65
"Purdue",1.91666666666667,109.5
"Rice",3.33333333333333,53
"Rutgers",2.33333333333333,99
"San Diego State",4.23076923076923,18
"San Jose State",1.69230769230769,114
"South Carolina",3.35714285714286,52
"South Florida",2.61538461538462,86
"Southern California",3.69230769230769,33.5
"Southern Methodist",2.85714285714286,75
"Southern Mississippi",4.07692307692308,24
"Stanford",5.07692307692308,6.5
"Syracuse",2.46153846153846,92
"Temple",2.83333333333333,78
"Tennessee",2.92307692307692,72
"Texas",2.33333333333333,99
"Texas A&M",3.69230769230769,33.5
"Texas Christian",5.30769230769231,4
"Texas Tech",4.23076923076923,18
"Texas-El Paso",3.23076923076923,55
"Toledo",3.61538461538462,38.5
"Troy",4.15384615384615,22
"Tulane",2.66666666666667,84.5
"Tulsa",5,8.5
"UCLA",2.16666666666667,107
"Utah",4.15384615384615,22
"Utah State",2.58333333333333,87
"Vanderbilt",1.83333333333333,112
"Virginia",3.16666666666667,57
"Virginia Tech",4.07142857142857,25
"Wake Forest",2.5,89
"Washington",2.46153846153846,92
"Washington State",2.41666666666667,94.5
"West Virginia",3.15384615384615,60.5
"Western Kentucky",2.66666666666667,84.5
"Western Michigan",3.83333333333333,29.5
"Wisconsin",5,8.5
"Wyoming",2.33333333333333,99
