"Team","Value","Rank"
"Air Force",30.3846153846154,35.5
"Akron",15.0833333333333,116
"Alabama",35.5384615384615,15.5
"Alabama-Birmingham",26.3333333333333,59
"Arizona",27.6153846153846,51
"Arizona State",31.0833333333333,28
"Arkansas",35.5384615384615,15.5
"Arkansas State",29.5,39.5
"Army",25.5384615384615,64
"Auburn",40.2142857142857,4
"Ball State",21,96
"Baylor",30.6923076923077,32
"Boise State",43.2307692307692,2
"Boston College",17.5384615384615,109
"Bowling Green State",19.25,104
"Brigham Young",25.3846153846154,65.5
"Buffalo",13.6666666666667,120
"California",23.8333333333333,82
"Central Florida",29.5,39.5
"Central Michigan",23.25,86
"Cincinnati",26.9166666666667,55
"Clemson",23.0769230769231,88
"Colorado",23.4545454545455,85
"Colorado State",17.1818181818182,110
"Connecticut",23.9230769230769,79
"Duke",24.5833333333333,74
"East Carolina",36.3076923076923,13
"Eastern Michigan",19,106
"Florida",27.5384615384615,52
"Florida Atlantic",16.2727272727273,114
"Florida International",27.8461538461538,50
"Florida State",30.9285714285714,30
"Fresno State",28.3846153846154,46.5
"Georgia",30.0769230769231,37
"Georgia Tech",25.0769230769231,69.5
"Hawaii",37.4285714285714,10
"Houston",36.1666666666667,14
"Idaho",25.6923076923077,63
"Illinois",31,29
"Indiana",26.6666666666667,56
"Iowa",26.9230769230769,54
"Iowa State",20.1666666666667,100
"Kansas",16.5833333333333,112
"Kansas State",33.1538461538462,21
"Kent State",19.3333333333333,103
"Kentucky",31.2307692307692,26
"Louisiana",21.3333333333333,94
"Louisiana State",28.4615384615385,45
"Louisiana Tech",26.5833333333333,57
"Louisiana-Monroe",20.1666666666667,100
"Louisville",25.3076923076923,68
"Marshall",19.6666666666667,102
"Maryland",30.3846153846154,35.5
"Memphis",14.4166666666667,118
"Miami (FL)",25.3846153846154,65.5
"Miami (OH)",20.7142857142857,98
"Michigan",32.1538461538462,25
"Michigan State",29.4166666666667,41
"Middle Tennessee State",25.0769230769231,69.5
"Minnesota",23.1666666666667,87
"Mississippi",30.5833333333333,34
"Mississippi State",28.3846153846154,46.5
"Missouri",28.6153846153846,44
"Navy",29.2307692307692,42
"Nebraska",29.1428571428571,43
"Nevada",40.1428571428571,5
"Nevada-Las Vegas",17,111
"New Mexico",14.8333333333333,117
"New Mexico State",14,119
"Non-Major",12.5168539325843,121
"North Carolina",24.3846153846154,76.5
"North Carolina State",30.7692307692308,31
"North Texas",23.9166666666667,80.5
"Northern Illinois",37.1428571428571,11
"Northwestern",25,72
"Notre Dame",25.8461538461538,61
"Ohio",26.5384615384615,58
"Ohio State",36.7692307692308,12
"Oklahoma",35.5,17
"Oklahoma State",42.3846153846154,3
"Oregon",45.6153846153846,1
"Oregon State",23.9166666666667,80.5
"Penn State",24.3846153846154,76.5
"Pittsburgh",25.8461538461538,61
"Purdue",18.5,108
"Rice",28.1666666666667,49
"Rutgers",20.8333333333333,97
"San Diego State",34.5384615384615,19
"San Jose State",16.0769230769231,115
"South Carolina",28.3571428571429,48
"South Florida",23.4615384615385,84
"Southern California",29.6153846153846,38
"Southern Methodist",24.4285714285714,75
"Southern Mississippi",35.3076923076923,18
"Stanford",39.3846153846154,9
"Syracuse",21.6923076923077,92
"Temple",23.5,83
"Tennessee",25,72
"Texas",22.75,89
"Texas A&M",30.6153846153846,33
"Texas Christian",40.0769230769231,6
"Texas Tech",32.4615384615385,24
"Texas-El Paso",25.8461538461538,61
"Toledo",27,53
"Troy",34.0769230769231,20
"Tulane",24.25,78
"Tulsa",39.5384615384615,8
"UCLA",20.1666666666667,100
"Utah",32.6153846153846,23
"Utah State",22,90
"Vanderbilt",16.4166666666667,113
"Virginia",25.3333333333333,67
"Virginia Tech",32.8571428571429,22
"Wake Forest",21.75,91
"Washington",21.2307692307692,95
"Washington State",19.0833333333333,105
"West Virginia",25,72
"Western Kentucky",21.6666666666667,93
"Western Michigan",31.1666666666667,27
"Wisconsin",39.6153846153846,7
"Wyoming",18.6666666666667,107
