"Team","Value","Rank"
"Air Force",4.0412169604462,27
"Akron",0.894124228771639,119
"Alabama",4.46917286519199,12
"Alabama-Birmingham",2.51649493603822,84
"Arizona",3.94887488771029,28
"Arizona State",4.07991874938913,26
"Arkansas",4.77349810428776,10
"Arkansas State",3.21694612070485,56
"Army",2.36827788596499,89
"Auburn",5.66655901970752,2
"Ball State",1.47773582180367,116
"Baylor",3.64154301902166,41
"Boise State",5.21740212083191,4
"Boston College",1.71788831262127,110
"Bowling Green State",1.75040514033399,108
"Brigham Young",2.8845571785226,69
"Buffalo",0.599351869939219,121
"California",3.25026708020341,54
"Central Florida",2.89189124628544,68
"Central Michigan",2.35673570127636,91
"Cincinnati",3.72816365288521,36
"Clemson",3.20454319817883,58
"Colorado",3.15629497959988,60
"Colorado State",1.7568290490739,106
"Connecticut",2.33925324470348,92
"Duke",2.82984973985075,73
"East Carolina",4.27493737010542,16
"Eastern Michigan",2.21035437477472,97
"Florida",4.09859061329751,25
"Florida Atlantic",1.23483543513101,117
"Florida International",2.84268941832418,72
"Florida State",4.18230018804905,20
"Fresno State",2.81611832899187,75
"Georgia",3.90725758959989,30
"Georgia Tech",2.96098629027505,65
"Hawaii",4.13062454831555,24
"Houston",3.8540485812475,34
"Idaho",2.40548328812575,86
"Illinois",3.37283058427484,50
"Indiana",2.75183586104089,78
"Iowa",3.27666795949544,53
"Iowa State",2.60973327772475,80
"Kansas",1.8687143547716,103
"Kansas State",4.39874462342896,13
"Kent State",1.85745320270868,104
"Kentucky",4.15622651203344,22
"Louisiana",1.75258865062727,107
"Louisiana State",3.64436708105166,40
"Louisiana Tech",2.87500135171101,71
"Louisiana-Monroe",1.71374761925907,111
"Louisville",2.90360308087604,67
"Marshall",1.7738808107184,105
"Maryland",3.6848447691469,39
"Memphis",1.14873965767542,118
"Miami (FL)",3.69284961835912,37
"Miami (OH)",1.71989165074587,109
"Michigan",4.85533389863441,9
"Michigan State",3.8262065435975,35
"Middle Tennessee State",2.02229898861647,101
"Minnesota",3.13284278162938,63
"Mississippi",3.49470082548553,46
"Mississippi State",3.46219077099303,47
"Missouri",3.62371492812368,42
"Navy",3.46004133457848,48
"Nebraska",3.60979950280183,43
"Nevada",5.15019779781669,5
"Nevada-Las Vegas",2.27691790170063,96
"New Mexico",1.5784590089211,115
"New Mexico State",0.87438506124683,120
"Non-Major",1.58813472088376,114
"North Carolina",2.88152836326371,70
"North Carolina State",3.8916173951926,31
"North Texas",2.0447897284406,99
"Northern Illinois",3.85926892977646,33
"Northwestern",2.81435508477367,76
"Notre Dame",3.24884801948846,55
"Ohio",2.56039447853969,82
"Ohio State",4.26113980764762,17
"Oklahoma",4.5821456236281,11
"Oklahoma State",5.00769387171462,7
"Oregon",6.3435691787548,1
"Oregon State",4.24431929388671,18
"Penn State",2.57346479304717,81
"Pittsburgh",3.36342580139157,51
"Purdue",1.70142631713432,112
"Rice",2.66007675465146,79
"Rutgers",2.39054242613922,87
"San Diego State",3.94377763964964,29
"San Jose State",1.63251958353733,113
"South Carolina",3.68627053536756,38
"South Florida",2.78787243881267,77
"Southern California",4.36105327127892,14
"Southern Methodist",2.2793203697129,95
"Southern Mississippi",3.37653314292826,49
"Stanford",5.66121016469039,3
"Syracuse",2.46463531169787,85
"Temple",2.37351024739154,88
"Tennessee",3.1444034649153,61
"Texas",2.36266834941808,90
"Texas A&M",3.8616724250095,32
"Texas Christian",5.11800583761215,6
"Texas Tech",4.20979780061902,19
"Texas-El Paso",2.32356747368145,93
"Toledo",3.21634866261785,57
"Troy",3.5293471932491,44
"Tulane",2.02525055201254,100
"Tulsa",4.1755258072128,21
"UCLA",2.82767025494476,74
"Utah",4.33293429784501,15
"Utah State",2.52281721817074,83
"Vanderbilt",1.87403728236611,102
"Virginia",3.11370169870208,64
"Virginia Tech",4.14275969056932,23
"Wake Forest",2.95537564970168,66
"Washington",3.50250429690402,45
"Washington State",3.2017377888142,59
"West Virginia",3.2818274483412,52
"Western Kentucky",2.12205240240093,98
"Western Michigan",3.13677628038972,62
"Wisconsin",4.89334824699584,8
"Wyoming",2.31887148464779,94
