"Team","Value","Rank"
"Air Force",509.773634902245,40
"Akron",336.067555608478,121
"Alabama",581.029839959381,13
"Alabama-Birmingham",515.271392457217,36
"Arizona",564.26566990523,19
"Arizona State",597.80448839542,8
"Arkansas",624.857317415903,5
"Arkansas State",487.342211009588,57
"Army",386.562785750286,113
"Auburn",650.387371388785,2
"Ball State",379.100911782672,116
"Baylor",579.075092140439,15
"Boise State",634.253110789484,4
"Boston College",404.703808502347,107
"Bowling Green State",373.889632320023,118
"Brigham Young",468.216209294271,76
"Buffalo",371.861629026815,119
"California",471.863939535077,72
"Central Florida",465.816595870219,79
"Central Michigan",451.883310302422,91
"Cincinnati",542.016495692069,25
"Clemson",460.671183931455,84
"Colorado",471.993441564912,71
"Colorado State",463.572454205144,82
"Connecticut",479.203956736994,66
"Duke",509.438883395866,41
"East Carolina",553.490800771043,23
"Eastern Michigan",396.905864613697,110
"Florida",538.478127773525,26
"Florida Atlantic",397.488549453273,109
"Florida International",492.158627826987,50
"Florida State",520.804751138158,32
"Fresno State",469.997106171185,74
"Georgia",505.576201182841,44
"Georgia Tech",489.749693758924,52
"Hawaii",568.43071960776,18
"Houston",582.688798454023,12
"Idaho",471.76286139343,73
"Illinois",474.672663747141,69
"Indiana",486.297770385083,59
"Iowa",466.100495899602,78
"Iowa State",440.714986405215,92
"Kansas",386.849735049048,112
"Kansas State",480.011463996533,63
"Kent State",417.841411141689,101
"Kentucky",562.262420364096,20
"Louisiana",435.812452656614,94
"Louisiana State",518.018512425579,33
"Louisiana Tech",508.471796558758,42
"Louisiana-Monroe",458.062458994358,85
"Louisville",487.00417051145,58
"Marshall",423.103990140917,99
"Maryland",483.620442627926,60
"Memphis",357.398960992632,120
"Miami (FL)",533.009757549028,30
"Miami (OH)",414.442123750026,104
"Michigan",620.513674207608,6
"Michigan State",495.17106013798,49
"Middle Tennessee State",464.192462453336,81
"Minnesota",466.525168143803,77
"Mississippi",533.117060935458,29
"Mississippi State",517.353931261708,34
"Missouri",483.013981688868,61
"Navy",465.455463524784,80
"Nebraska",491.806608547081,51
"Nevada",605.275009131313,7
"Nevada-Las Vegas",404.434389878601,108
"New Mexico",391.956585828777,111
"New Mexico State",376.913698281589,117
"Non-Major",379.798917819362,115
"North Carolina",479.775979009079,64
"North Carolina State",500.052867230919,46
"North Texas",454.525045473612,89
"Northern Illinois",505.46932646474,45
"Northwestern",476.959408244046,68
"Notre Dame",488.931829792493,54
"Ohio",415.214872744629,103
"Ohio State",580.808892797173,14
"Oklahoma",586.076333052203,11
"Oklahoma State",648.795540731962,3
"Oregon",698.89889218699,1
"Oregon State",514.521563323003,37
"Penn State",499.157335509257,47
"Pittsburgh",512.994069540934,39
"Purdue",408.423973818122,106
"Rice",487.513445109541,56
"Rutgers",426.219406654061,97
"San Diego State",534.510215436974,28
"San Jose State",409.1458143023,105
"South Carolina",513.464099530133,38
"South Florida",455.550822412216,86
"Southern California",578.67824818776,16
"Southern Methodist",497.586636832317,48
"Southern Mississippi",532.896288360165,31
"Stanford",593.586430093126,9
"Syracuse",451.88897504562,90
"Temple",420.655104789538,100
"Tennessee",482.817410216847,62
"Texas",473.359318197147,70
"Texas A&M",571.122256649614,17
"Texas Christian",590.74224643677,10
"Texas Tech",550.930444765961,24
"Texas-El Paso",461.872200948691,83
"Toledo",478.205003588425,67
"Troy",517.096155524303,35
"Tulane",455.338545728716,87
"Tulsa",558.324290989756,22
"UCLA",435.450752872418,95
"Utah",536.136567061189,27
"Utah State",455.108429600333,88
"Vanderbilt",424.231735811179,98
"Virginia",488.468955428256,55
"Virginia Tech",489.078945467096,53
"Wake Forest",438.413328919833,93
"Washington",507.601706175572,43
"Washington State",426.453893446327,96
"West Virginia",479.414120365136,65
"Western Kentucky",416.985272367072,102
"Western Michigan",469.939652564629,75
"Wisconsin",562.019680272852,21
"Wyoming",386.413979954135,114
