"Team","Value","Rank"
"Air Force",3.8445886227882,86
"Akron",5.23951047636101,117
"Alabama",1.02619319221252,2
"Alabama-Birmingham",4.71442719504852,113
"Arizona",3.7526277910047,83
"Arizona State",2.98762438638349,53
"Arkansas",2.79164485725668,45
"Arkansas State",3.34027538007951,65
"Army",3.79352841387218,85
"Auburn",3.14997473360023,59
"Ball State",4.16460687656947,99
"Baylor",4.34895421090036,106
"Boise State",2.45358938218138,24
"Boston College",2.56470754979755,32
"Bowling Green State",3.29534857417163,62
"Brigham Young",2.53428847367156,30
"Buffalo",4.37610917329301,107
"California",2.3736069471076,22
"Central Florida",2.62467007141868,37
"Central Michigan",4.24859230266517,101
"Cincinnati",2.46098296450668,27
"Clemson",3.56770886356353,76
"Colorado",4.00926369529845,93
"Colorado State",4.29477931711444,102
"Connecticut",2.93956576337908,50
"Duke",3.9566060256623,91
"East Carolina",3.97129201215456,92
"Eastern Michigan",3.12660706069577,58
"Florida",2.61181667223997,35
"Florida Atlantic",4.61308168140997,111
"Florida International",2.92738279907438,49
"Florida State",2.02622055109952,7
"Fresno State",4.60507070135287,110
"Georgia",2.26811967424405,20
"Georgia Tech",3.46620449643978,72
"Hawaii",4.13499125671682,95
"Houston",3.34612353298844,66
"Idaho",4.13969853576184,97
"Illinois",2.33204961981295,21
"Indiana",4.48938345724353,108
"Iowa",3.00199556314855,55
"Iowa State",2.45971255781449,25
"Kansas",4.70678765162798,112
"Kansas State",2.81541270535348,46
"Kent State",2.72628414225501,43
"Kentucky",3.07950134936271,56
"Louisiana",4.31723034639715,105
"Louisiana State",0.720176085790695,1
"Louisiana Tech",2.57292154558162,33
"Louisiana-Monroe",3.76649567081166,84
"Louisville",2.71057044187665,42
"Marshall",3.51318366767377,74
"Maryland",4.16848436981357,100
"Memphis",5.02491977819954,116
"Miami (FL)",2.26464470587735,18
"Miami (OH)",2.96737886617136,52
"Michigan",2.0990038622911,13
"Michigan State",2.19308741158568,15
"Middle Tennessee State",5.57282584416935,120
"Minnesota",3.58960805803859,77
"Mississippi",3.42430111105181,69
"Mississippi State",2.20694630098631,16
"Missouri",2.09686738422407,12
"Navy",4.13547890116355,96
"Nebraska",2.94170226480698,51
"Nevada",3.32545764257448,63
"Nevada-Las Vegas",4.77914664891581,114
"New Mexico",5.66556616509015,121
"New Mexico State",5.32074532359871,119
"Non-Major",5.24112732719456,118
"North Carolina",2.86616937243794,47
"North Carolina State",2.98988407379653,54
"North Texas",4.14763835086768,98
"Northern Illinois",3.90510802654396,90
"Northwestern",3.69903154616586,81
"Notre Dame",2.09376167795535,11
"Ohio",3.24441353784551,61
"Ohio State",2.51696113009069,29
"Oklahoma",1.83400242626906,5
"Oklahoma State",2.19006165885103,14
"Oregon",2.25712585820098,17
"Oregon State",3.41267717638844,68
"Penn State",1.69335626708243,4
"Pittsburgh",2.78385334050522,44
"Purdue",3.45597578002315,71
"Rice",4.06268594255624,94
"Rutgers",2.06094343092579,8
"San Diego State",3.48176896221636,73
"San Jose State",3.7169825801374,82
"South Carolina",2.0936335195573,10
"South Florida",2.61318781939482,36
"Southern California",2.54054662066541,31
"Southern Methodist",2.49985121477819,28
"Southern Mississippi",2.70135428689335,41
"Stanford",2.07563389111405,9
"Syracuse",3.08737530804291,57
"Temple",2.45980337356691,26
"Tennessee",2.60172970731903,34
"Texas",1.47738441507729,3
"Texas A&M",2.66667610712425,39
"Texas Christian",2.6559365483722,38
"Texas Tech",4.31627152683573,104
"Texas-El Paso",3.66373021537004,78
"Toledo",4.30559840611014,103
"Troy",4.57360932272848,109
"Tulane",5.0165489995341,115
"Tulsa",3.36862385333025,67
"UCLA",3.332442758728,64
"Utah",1.87245192976543,6
"Utah State",3.67432021452083,79
"Vanderbilt",2.38920712023574,23
"Virginia",2.92210916912011,48
"Virginia Tech",2.26543815247706,19
"Wake Forest",3.44066370218117,70
"Washington",3.69748940410289,80
"Washington State",3.85788922859503,87
"West Virginia",3.24008203536871,60
"Western Kentucky",3.90271397480887,89
"Western Michigan",3.52926285488431,75
"Wisconsin",2.68497640540932,40
"Wyoming",3.85923269704192,88
