"Team","Value","Rank"
"Air Force",2.33333333333333,37.5
"Akron",0.111111111111111,111
"Alabama",3.11111111111111,18.5
"Alabama-Birmingham",-0.888888888888889,121
"Arizona",2,46
"Arizona State",3,22
"Arkansas",3.11111111111111,18.5
"Arkansas State",1.66666666666667,58.5
"Army",1.33333333333333,70
"Auburn",1.44444444444444,66.5
"Ball State",1.4,68
"Baylor",3.5,12.5
"Boise State",5.125,4
"Boston College",0,112.5
"Bowling Green State",0.888888888888889,85
"Brigham Young",0.444444444444444,104.5
"Buffalo",1.11111111111111,77
"California",1.77777777777778,54.5
"Central Florida",1.88888888888889,49.5
"Central Michigan",0.5,103
"Cincinnati",3,22
"Clemson",3.22222222222222,16.5
"Colorado",0.9,83
"Colorado State",0.625,97
"Connecticut",0.333333333333333,107
"Duke",1,81
"East Carolina",0.333333333333333,107
"Eastern Michigan",1.22222222222222,73
"Florida",0.777777777777778,89
"Florida Atlantic",-0.875,120
"Florida International",0.888888888888889,85
"Florida State",2.55555555555556,32.5
"Fresno State",1.44444444444444,66.5
"Georgia",3,22
"Georgia Tech",3.33333333333333,15
"Hawaii",2.22222222222222,40
"Houston",5.55555555555556,2
"Idaho",0.333333333333333,107
"Illinois",1.11111111111111,77
"Indiana",1.1,79
"Iowa",2.66666666666667,28.5
"Iowa State",0.444444444444444,104.5
"Kansas",1.77777777777778,54.5
"Kansas State",2.77777777777778,26
"Kent State",-0.666666666666667,119
"Kentucky",-0.111111111111111,114.5
"Louisiana",1.8,52
"Louisiana State",3.66666666666667,9.5
"Louisiana Tech",2.11111111111111,43
"Louisiana-Monroe",1.55555555555556,62.5
"Louisville",0.777777777777778,89
"Marshall",0.666666666666667,94
"Maryland",0.666666666666667,94
"Memphis",-0.111111111111111,114.5
"Miami (FL)",2.55555555555556,32.5
"Miami (OH)",1.22222222222222,73
"Michigan",2.22222222222222,40
"Michigan State",1.66666666666667,58.5
"Middle Tennessee State",1.125,75
"Minnesota",0.777777777777778,89
"Mississippi",0.555555555555556,100
"Mississippi State",1.77777777777778,54.5
"Missouri",3,22
"Navy",2.88888888888889,25
"Nebraska",2.66666666666667,28.5
"Nevada",1.625,60
"Nevada-Las Vegas",1,81
"New Mexico",-0.444444444444444,117
"New Mexico State",2,46
"Non-Major",-0.344086021505376,116
"North Carolina",1.7,57
"North Carolina State",1.22222222222222,73
"North Texas",0.555555555555556,100
"Northern Illinois",3.77777777777778,8
"Northwestern",3,22
"Notre Dame",1.88888888888889,49.5
"Ohio",1.55555555555556,62.5
"Ohio State",2,46
"Oklahoma",3.44444444444444,14
"Oklahoma State",4.88888888888889,5.5
"Oregon",4.88888888888889,5.5
"Oregon State",0,112.5
"Penn State",0.666666666666667,94
"Pittsburgh",1.33333333333333,70
"Purdue",1.88888888888889,49.5
"Rice",0.666666666666667,94
"Rutgers",0.555555555555556,100
"San Diego State",2.75,27
"San Jose State",-0.555555555555556,118
"South Carolina",0.777777777777778,89
"South Florida",1.5,65
"Southern California",2.22222222222222,40
"Southern Methodist",1.11111111111111,77
"Southern Mississippi",1.77777777777778,54.5
"Stanford",5.22222222222222,3
"Syracuse",1.88888888888889,49.5
"Temple",2.55555555555556,32.5
"Tennessee",1.33333333333333,70
"Texas",2.375,36
"Texas A&M",2.55555555555556,32.5
"Texas Christian",3.66666666666667,9.5
"Texas Tech",3.55555555555556,11
"Texas-El Paso",1,81
"Toledo",4.33333333333333,7
"Troy",0.125,110
"Tulane",0.3,109
"Tulsa",0.888888888888889,85
"UCLA",1.55555555555556,62.5
"Utah",0.555555555555556,100
"Utah State",3.5,12.5
"Vanderbilt",0.777777777777778,89
"Virginia",0.666666666666667,94
"Virginia Tech",2.44444444444444,35
"Wake Forest",2.11111111111111,43
"Washington",2.33333333333333,37.5
"Washington State",2.11111111111111,43
"West Virginia",3.22222222222222,16.5
"Western Kentucky",0.555555555555556,100
"Western Michigan",1.55555555555556,62.5
"Wisconsin",5.66666666666667,1
"Wyoming",2.625,30
