"Team","Value","Rank"
"Air Force",34.5,21
"Akron",14.625,112
"Alabama",37.875,10
"Alabama-Birmingham",10.375,119
"Arizona",28.875,47
"Arizona State",34.375,22.5
"Arkansas",34.375,22.5
"Arkansas State",29.375,42.5
"Army",28.125,53
"Auburn",23.4444444444444,78
"Ball State",21.4444444444444,87.5
"Baylor",39.7142857142857,9
"Boise State",42.4285714285714,7
"Boston College",18.375,104
"Bowling Green State",23.7777777777778,72
"Brigham Young",22.6666666666667,81
"Buffalo",18.8888888888889,101
"California",25.75,61
"Central Florida",24.625,66
"Central Michigan",21.4444444444444,87.5
"Cincinnati",36.7142857142857,15
"Clemson",35.3333333333333,18
"Colorado",16.5555555555556,109
"Colorado State",20.75,93
"Connecticut",19,99.5
"Duke",21.375,89
"East Carolina",23.375,79
"Eastern Michigan",19.25,97.5
"Florida",24.25,69
"Florida Atlantic",8.28571428571429,121
"Florida International",22,83
"Florida State",34.875,20
"Fresno State",25.625,62
"Georgia",29,44.5
"Georgia Tech",33.5555555555556,25
"Hawaii",29.75,40
"Houston",50,1
"Idaho",16.625,108
"Illinois",24.8888888888889,65
"Indiana",20.5555555555556,94
"Iowa",31.125,32
"Iowa State",23.875,70.5
"Kansas",26.375,59
"Kansas State",30,38.5
"Kent State",8.75,120
"Kentucky",14.25,114.5
"Louisiana",27.7777777777778,54
"Louisiana State",37,12.5
"Louisiana Tech",24.375,68
"Louisiana-Monroe",20.875,92
"Louisville",16.125,110
"Marshall",18.2222222222222,105
"Maryland",21,91
"Memphis",11.8888888888889,117
"Miami (FL)",25.375,63
"Miami (OH)",18.125,106
"Michigan",31.5,30
"Michigan State",23.5,76
"Middle Tennessee State",28.1428571428571,52
"Minnesota",14.25,114.5
"Mississippi",18.625,103
"Mississippi State",22,83
"Missouri",33.625,24
"Navy",27.625,55
"Nebraska",35.125,19
"Nevada",30.25,35
"Nevada-Las Vegas",15.4285714285714,111
"New Mexico",11,118
"New Mexico State",28.375,51
"Non-Major",12.1086956521739,116
"North Carolina",30,38.5
"North Carolina State",23.75,73.5
"North Texas",14.4444444444444,113
"Northern Illinois",37,12.5
"Northwestern",30.875,34
"Notre Dame",31.875,28
"Ohio",30.125,36.5
"Ohio State",24.5,67
"Oklahoma",43,6
"Oklahoma State",48.375,2
"Oregon",44.5,4
"Oregon State",21.25,90
"Penn State",21.7777777777778,85
"Pittsburgh",25,64
"Purdue",26,60
"Rice",19.25,97.5
"Rutgers",23.875,70.5
"San Diego State",29,44.5
"San Jose State",20,95
"South Carolina",27.125,57
"South Florida",31.2857142857143,31
"Southern California",29.375,42.5
"Southern Methodist",23.5,76
"Southern Mississippi",31,33
"Stanford",46.25,3
"Syracuse",26.625,58
"Temple",28.75,48
"Tennessee",21.625,86
"Texas",28.7142857142857,49
"Texas A&M",37.5,11
"Texas Christian",41.375,8
"Texas Tech",36.375,16
"Texas-El Paso",23.5,76
"Toledo",35.75,17
"Troy",18,107
"Tulane",19,99.5
"Tulsa",30.125,36.5
"UCLA",23.75,73.5
"Utah",18.75,102
"Utah State",33.2857142857143,26
"Vanderbilt",19.75,96
"Virginia",23,80
"Virginia Tech",28.8888888888889,46
"Wake Forest",29.5,41
"Washington",32.625,27
"Washington State",31.75,29
"West Virginia",36.875,14
"Western Kentucky",22,83
"Western Michigan",27.3333333333333,56
"Wisconsin",44.375,5
"Wyoming",28.5714285714286,50
