"Team","Value","Rank"
"Air Force",527.36515165412,31
"Akron",387.43707600816,108
"Alabama",597.313244280804,7
"Alabama-Birmingham",436.835618731943,92
"Arizona",552.659029257022,19
"Arizona State",581.658945435382,11
"Arkansas",528.567636527314,30
"Arkansas State",518.295392486263,36
"Army",466.510636650746,72
"Auburn",473.119022417324,66
"Ball State",432.317432276549,94
"Baylor",642.057699916475,3
"Boise State",552.08320881108,20
"Boston College",396.039889719814,105
"Bowling Green State",470.808029060454,69
"Brigham Young",512.026111959286,37
"Buffalo",432.652930922873,93
"California",510.055342586819,39
"Central Florida",458.283309908101,80
"Central Michigan",450.637919958904,87
"Cincinnati",508.089772043907,40
"Clemson",552.729984927241,18
"Colorado",425.971903106798,95
"Colorado State",410.216271067378,98
"Connecticut",337.794678680546,119
"Duke",463.398382774561,77
"East Carolina",481.600433061505,62
"Eastern Michigan",389.931180761363,106
"Florida",484.244131723498,58
"Florida Atlantic",345.584344037275,118
"Florida International",480.7113149779,64
"Florida State",497.427198923514,45
"Fresno State",533.712190028792,25
"Georgia",532.298712911926,26
"Georgia Tech",500.412839191098,44
"Hawaii",487.17299280021,54
"Houston",663.31532802548,1
"Idaho",357.078517073379,116
"Illinois",454.853247430944,83
"Indiana",450.843197221842,86
"Iowa",446.087938557638,89
"Iowa State",483.22630035949,59
"Kansas",465.831251551718,75
"Kansas State",415.330825527596,96
"Kent State",294.623569884403,121
"Kentucky",350.885961995985,117
"Louisiana",465.030617145246,76
"Louisiana State",487.98820815767,52
"Louisiana Tech",481.643267641459,61
"Louisiana-Monroe",487.379539413091,53
"Louisville",372.051079340244,110
"Marshall",410.495066102716,97
"Maryland",493.535103905882,49
"Memphis",324.22685584157,120
"Miami (FL)",472.417348687651,67
"Miami (OH)",407.875351932855,100
"Michigan",481.089898982467,63
"Michigan State",479.592419149182,65
"Middle Tennessee State",504.500909587001,41
"Minnesota",363.548607434012,114
"Mississippi",370.540032582635,111
"Mississippi State",465.842642873274,74
"Missouri",577.922532422241,12
"Navy",524.439711775725,35
"Nebraska",511.879413334501,38
"Nevada",566.673946450576,16
"Nevada-Las Vegas",374.317279534926,109
"New Mexico",365.719861468137,112
"New Mexico State",504.120099398343,42
"Non-Major",363.259663015463,115
"North Carolina",529.483300311542,29
"North Carolina State",456.892599159405,81
"North Texas",389.611243049186,107
"Northern Illinois",503.608547591875,43
"Northwestern",489.674341907672,51
"Notre Dame",530.336383098614,28
"Ohio",546.868242106503,22
"Ohio State",453.571808367291,85
"Oklahoma",654.679180996558,2
"Oklahoma State",634.069884901459,5
"Oregon",634.477442410208,4
"Oregon State",497.297023600015,46
"Penn State",467.506091360958,71
"Pittsburgh",455.065466808574,82
"Purdue",468.901909768905,70
"Rice",406.5679269287,101
"Rutgers",365.077344945737,113
"San Diego State",486.579140004208,56
"San Jose State",454.83068253658,84
"South Carolina",484.658398155244,57
"South Florida",587.613775608401,9
"Southern California",544.779311109887,23
"Southern Methodist",471.64054829649,68
"Southern Mississippi",547.625395879675,21
"Stanford",582.730914024902,10
"Syracuse",444.719170625691,90
"Temple",449.431805026117,88
"Tennessee",460.913518498637,78
"Texas",532.207297027083,27
"Texas A&M",590.048438602988,8
"Texas Christian",538.592340174976,24
"Texas Tech",562.590499831786,17
"Texas-El Paso",409.122863723542,99
"Toledo",571.067675765639,13
"Troy",404.000950491283,103
"Tulane",460.379047109891,79
"Tulsa",526.340598792981,32
"UCLA",496.799900209303,47
"Utah",400.611427953278,104
"Utah State",525.091379973169,33
"Vanderbilt",437.964793760072,91
"Virginia",482.364926772481,60
"Virginia Tech",495.961510222349,48
"Wake Forest",491.165418509039,50
"Washington",570.037477371895,14
"Washington State",524.631999839296,34
"West Virginia",602.955710305364,6
"Western Kentucky",405.20159662966,102
"Western Michigan",486.925611158018,55
"Wisconsin",569.039068158353,15
"Wyoming",466.306686073708,73
