"Team","Value","Rank"
"Air Force",33.5384615384615,16
"Akron",12,118
"Alabama",32.5384615384615,18
"Alabama-Birmingham",16.1666666666667,111
"Arizona",28.75,40
"Arizona State",31.3076923076923,25
"Arkansas",34.3076923076923,13
"Arkansas State",30.9230769230769,29
"Army",23.8333333333333,67
"Auburn",22.3076923076923,80
"Ball State",23.3333333333333,70
"Baylor",43.9230769230769,3
"Boise State",41.9230769230769,6
"Boston College",16.6666666666667,110
"Bowling Green State",24.3333333333333,62
"Brigham Young",26.6923076923077,51
"Buffalo",21.6666666666667,84
"California",26.4615384615385,52
"Central Florida",25.4166666666667,60
"Central Michigan",21.5833333333333,85
"Cincinnati",29.6153846153846,34
"Clemson",31.4285714285714,24
"Colorado",17.7692307692308,108
"Colorado State",18.75,106
"Connecticut",20.25,96
"Duke",21,92
"East Carolina",23.25,71
"Eastern Michigan",20.75,93
"Florida",23,75
"Florida Atlantic",10.4166666666667,121
"Florida International",22.2307692307692,81
"Florida State",29.2307692307692,38
"Fresno State",26.2307692307692,54
"Georgia",29.2857142857143,37
"Georgia Tech",31.0769230769231,28
"Hawaii",28.2307692307692,45
"Houston",47.1428571428571,1
"Idaho",17.0833333333333,109
"Illinois",21.2307692307692,89
"Indiana",18.9166666666667,104
"Iowa",26.1538461538462,55
"Iowa State",21.3076923076923,87.5
"Kansas",21.8333333333333,83
"Kansas State",30.3846153846154,32
"Kent State",14.4166666666667,114
"Kentucky",14.3333333333333,115
"Louisiana",28.4615384615385,43.5
"Louisiana State",32.7142857142857,17
"Louisiana Tech",25.9230769230769,56
"Louisiana-Monroe",23.4166666666667,69
"Louisville",19.6153846153846,99
"Marshall",18.9230769230769,103
"Maryland",19.0833333333333,102
"Memphis",11.75,119
"Miami (FL)",24,66
"Miami (OH)",19.6666666666667,98
"Michigan",31.1538461538462,27
"Michigan State",28.7142857142857,41
"Middle Tennessee State",21.0833333333333,91
"Minnesota",15.9166666666667,112
"Mississippi",12.5833333333333,116
"Mississippi State",23.7692307692308,68
"Missouri",31.9230769230769,19
"Navy",28.1666666666667,46
"Nebraska",28.6923076923077,42
"Nevada",29.8461538461538,33
"Nevada-Las Vegas",14.75,113
"New Mexico",10.5,120
"New Mexico State",24.0769230769231,64
"Non-Major",12.3711340206186,117
"North Carolina",27.0769230769231,50
"North Carolina State",24.0769230769231,64
"North Texas",20.6666666666667,94.5
"Northern Illinois",36.4285714285714,12
"Northwestern",28.4615384615385,43.5
"Notre Dame",27.3846153846154,48
"Ohio",29.3571428571429,35
"Ohio State",24.4615384615385,61
"Oklahoma",37.2307692307692,10
"Oklahoma State",45.4615384615385,2
"Oregon",43.0714285714286,5
"Oregon State",20.6666666666667,94.5
"Penn State",19.3076923076923,101
"Pittsburgh",22.8461538461538,77
"Purdue",25.8461538461538,57.5
"Rice",19.8333333333333,97
"Rutgers",23.1538461538462,73
"San Diego State",29.3076923076923,36
"San Jose State",22.8333333333333,78
"South Carolina",27.3076923076923,49
"South Florida",26.25,53
"Southern California",33.5833333333333,15
"Southern Methodist",23.0769230769231,74
"Southern Mississippi",31.2857142857143,26
"Stanford",40.6923076923077,7
"Syracuse",23.1666666666667,72
"Temple",30.6153846153846,31
"Tennessee",18.8333333333333,105
"Texas",25.7692307692308,59
"Texas A&M",36.9230769230769,11
"Texas Christian",38.5384615384615,9
"Texas Tech",30.6666666666667,30
"Texas-El Paso",22.9166666666667,76
"Toledo",39.9230769230769,8
"Troy",19.4166666666667,100
"Tulane",18,107
"Tulsa",31.6923076923077,21
"UCLA",21.2142857142857,90
"Utah",21.3076923076923,87.5
"Utah State",31.6153846153846,22
"Vanderbilt",22.3846153846154,79
"Virginia",21.3846153846154,86
"Virginia Tech",27.7857142857143,47
"Wake Forest",25.8461538461538,57.5
"Washington",31.5384615384615,23
"Washington State",28.8333333333333,39
"West Virginia",34.2307692307692,14
"Western Kentucky",22.0833333333333,82
"Western Michigan",31.7692307692308,20
"Wisconsin",43.2857142857143,4
"Wyoming",24.0769230769231,64
