"Team","Value","Rank"
"Air Force",43.4402809132476,123
"Akron",36.1000282658035,106
"Alabama",4.84804532939825,1
"Alabama-Birmingham",33.3436550588437,96
"Arizona",24.9015550917927,53
"Arizona State",22.9372821639641,37
"Arkansas",24.8092878132481,52
"Arkansas State",30.9936524150831,83
"Army",54.1955972841219,125
"Auburn",22.9579016978158,39
"Ball State",34.1384893843915,99
"Baylor",36.418074787738,108
"Boise State",19.402363354671,24
"Boston College",26.7675787192951,64
"Bowling Green State",22.825618643948,35
"Brigham Young",14.131572654366,8
"Buffalo",35.4051839109124,103
"California",25.2518442626795,55
"Central Florida",22.1990667353363,33
"Central Michigan",37.5315206281373,110
"Cincinnati",23.0566878517833,40
"Clemson",24.1453365333253,46
"Colorado",41.8988801560807,121
"Colorado State",32.722478121397,93
"Connecticut",23.9338056388379,45
"Duke",30.6466404345643,80
"East Carolina",29.3506324369293,76
"Eastern Michigan",42.9854212706004,122
"Florida",9.97568361028739,4
"Florida Atlantic",30.9129442997821,82
"Florida International",33.2087894664387,95
"Florida State",11.404750577011,5
"Fresno State",21.245479390848,29
"Georgia",17.895140418873,18
"Georgia Tech",36.200377363644,107
"Hawaii",40.1383682688426,118
"Houston",29.6026062940174,78
"Idaho",41.5296832356867,120
"Illinois",29.1505053244638,74
"Indiana",32.7285580588864,94
"Iowa",26.4863024553542,62
"Iowa State",12.4893460670233,6
"Kansas",27.3535828324638,66
"Kansas State",16.2513591897822,12
"Kent State",31.4222921474611,87
"Kentucky",27.7718836471053,68
"Louisiana",28.4945715957273,72
"Louisiana State",17.7068483365043,17
"Louisiana Tech",37.9819466845057,112
"Louisiana-Monroe",25.5979875758316,56
"Louisville",26.2808771846433,60
"Marshall",37.9984904584017,113
"Maryland",23.8754956369524,44
"Massachusetts",44.6133817775373,124
"Memphis",38.9323268412396,115
"Miami (FL)",24.7506075262806,51
"Miami (OH)",35.7190130120337,104
"Michigan",16.589069209316,15
"Michigan State",14.517143963385,9
"Middle Tennessee State",34.164329419749,100
"Minnesota",29.2081479651308,75
"Mississippi",23.3511904384775,43
"Mississippi State",17.4850753021035,16
"Missouri",19.6305859536487,27
"Navy",31.1109463482448,84
"Nebraska",23.0618471385914,41
"Nevada",39.2282513570921,117
"Nevada-Las Vegas",34.7071799067492,101
"New Mexico",38.633927760107,114
"New Mexico State",34.7092937374607,102
"Non-Major",40.2563718702033,119
"North Carolina",22.1872240483946,32
"North Carolina State",19.1370602002978,20
"North Texas",31.2072467237109,86
"Northern Illinois",26.2715460719484,59
"Northwestern",27.6568918620491,67
"Notre Dame",9.24592745133494,3
"Ohio",33.6286582692957,97
"Ohio State",24.1654197437177,47
"Oklahoma",8.86261135237243,2
"Oklahoma State",19.375518613772,23
"Oregon",19.2000000407878,21
"Oregon State",14.8446772935587,10
"Penn State",22.4399420683063,34
"Pittsburgh",26.3353608963591,61
"Purdue",25.874384552487,57
"Rice",34.0135182335625,98
"Rutgers",19.4416787338843,26
"San Diego State",31.9023567085624,89
"San Jose State",25.2252154191285,54
"South Alabama",31.1361939245986,85
"South Carolina",13.8091459705295,7
"South Florida",27.918563540646,70
"Southern California",16.4416575547296,13
"Southern Methodist",21.7353455250427,30
"Southern Mississippi",39.0942493089791,116
"Stanford",19.4358179477907,25
"Syracuse",28.547898355278,73
"Temple",36.8374018986099,109
"Tennessee",25.9497806200593,58
"Texas",26.6109939252196,63
"Texas A&M",16.0135194167609,11
"Texas Christian",19.2909349486754,22
"Texas State",32.4153676050271,91
"Texas Tech",16.550360215803,14
"Texas-El Paso",27.1054138422021,65
"Texas-San Antonio",37.5398475078662,111
"Toledo",30.8427678064634,81
"Troy",27.914699261259,69
"Tulane",32.4784458770117,92
"Tulsa",28.0474920479917,71
"UCLA",22.9557233914254,38
"Utah",24.7327320479964,50
"Utah State",18.6986167829735,19
"Vanderbilt",22.8633408941492,36
"Virginia",30.285872798481,79
"Virginia Tech",21.24465327864,28
"Wake Forest",31.4244501296482,88
"Washington",24.2538836305403,48
"Washington State",21.8434209797198,31
"West Virginia",29.4866273499149,77
"Western Kentucky",23.3205316219443,42
"Western Michigan",32.0958830464479,90
"Wisconsin",24.4579830635983,49
"Wyoming",35.737358253116,105
