"Team","Value","Rank"
"Air Force",453.769230769231,57
"Akron",515.583333333333,96
"Alabama",317.714285714286,2
"Alabama-Birmingham",517.583333333333,98
"Arizona",552.615384615385,113
"Arizona State",414.692307692308,24
"Arkansas",452.75,55
"Arkansas State",449.461538461538,51
"Army",470.5,67
"Auburn",429.083333333333,36
"Ball State",547.692307692308,111
"Baylor",572.846153846154,121
"Boise State",394.076923076923,15
"Boston College",527.166666666667,103
"Bowling Green State",365.846153846154,8
"Brigham Young",328.153846153846,3
"Buffalo",426,32
"California",528,104
"Central Florida",438.714285714286,43
"Central Michigan",516.692307692308,97
"Cincinnati",450.153846153846,54
"Clemson",479.923076923077,75
"Colorado",574.833333333333,122
"Colorado State",471.333333333333,68
"Connecticut",381.083333333333,13
"Duke",563.769230769231,118
"East Carolina",520.461538461538,100
"Eastern Michigan",566.833333333333,119
"Florida",330.153846153846,4
"Florida Atlantic",485.166666666667,80
"Florida International",462.5,62
"Florida State",317.285714285714,1
"Fresno State",410.153846153846,20
"Georgia",428.357142857143,34
"Georgia Tech",483.714285714286,77
"Hawaii",469.666666666667,65
"Houston",558.25,117
"Idaho",535.75,107
"Illinois",424.5,29
"Indiana",523.666666666667,101
"Iowa",421.5,28
"Iowa State",502.230769230769,88
"Kansas",555.416666666667,115
"Kansas State",459.307692307692,59
"Kent State",473.642857142857,71
"Kentucky",440.5,44
"Louisiana",508,90
"Louisiana State",358.923076923077,7
"Louisiana Tech",644.916666666667,125
"Louisiana-Monroe",488.846153846154,82
"Louisville",477.076923076923,73
"Marshall",608.583333333333,124
"Maryland",441.583333333333,46
"Massachusetts",514.75,95
"Memphis",416.416666666667,25
"Miami (FL)",568.916666666667,120
"Miami (OH)",533.416666666667,106
"Michigan",411.230769230769,21
"Michigan State",332.692307692308,5
"Middle Tennessee State",528.5,105
"Minnesota",402.307692307692,17
"Mississippi",453.230769230769,56
"Mississippi State",443.461538461538,47
"Missouri",470.416666666667,66
"Navy",486.692307692308,81
"Nebraska",413.571428571429,23
"Nevada",536.384615384615,108
"Nevada-Las Vegas",519.384615384615,99
"New Mexico",484.076923076923,78
"New Mexico State",557.25,116
"Non-Major",553.915094339623,114
"North Carolina",510.25,92
"North Carolina State",447.076923076923,49
"North Texas",477.666666666667,74
"Northern Illinois",432.428571428571,39
"Northwestern",468.230769230769,63
"Notre Dame",368,10
"Ohio",473.076923076923,70
"Ohio State",454.916666666667,58
"Oklahoma",472,69
"Oklahoma State",484.692307692308,79
"Oregon",499.538461538462,86
"Oregon State",399.307692307692,16
"Penn State",412.916666666667,22
"Pittsburgh",424.615384615385,30
"Purdue",506.769230769231,89
"Rice",459.615384615385,60
"Rutgers",366.692307692308,9
"San Diego State",434.692307692308,40
"San Jose State",431.153846153846,37
"South Alabama",449.846153846154,52
"South Carolina",353.846153846154,6
"South Florida",441.25,45
"Southern California",459.846153846154,61
"Southern Methodist",445,48
"Southern Mississippi",513.083333333333,94
"Stanford",369.357142857143,12
"Syracuse",437.384615384615,41
"Temple",468.454545454545,64
"Tennessee",549.333333333333,112
"Texas",496.615384615385,84
"Texas A&M",432.230769230769,38
"Texas Christian",368.923076923077,11
"Texas State",546.083333333333,110
"Texas Tech",449.923076923077,53
"Texas-El Paso",482.583333333333,76
"Texas-San Antonio",502,87
"Toledo",543,109
"Troy",511.166666666667,93
"Tulane",508.583333333333,91
"Tulsa",418.142857142857,26
"UCLA",437.642857142857,42
"Utah",418.916666666667,27
"Utah State",403.076923076923,18
"Vanderbilt",404.846153846154,19
"Virginia",426.583333333333,33
"Virginia Tech",425.615384615385,31
"Wake Forest",498,85
"Washington",429,35
"Washington State",475.833333333333,72
"West Virginia",586.384615384615,123
"Western Kentucky",449.076923076923,50
"Western Michigan",493.333333333333,83
"Wisconsin",386,14
"Wyoming",523.75,102
