"Team","Value","Rank"
"Air Force",25.3091246541265,68
"Akron",22.0714305542405,81
"Alabama",41.9643900244155,7
"Alabama-Birmingham",25.6011438217241,62
"Arizona",38.4072277458079,12
"Arizona State",36.4631166307776,18
"Arkansas",28.0665626963874,51
"Arkansas State",30.1998562389148,36
"Army",19.3246524380218,99
"Auburn",21.0470983574696,86
"Ball State",27.5282814108,53
"Baylor",43.9479722921161,5
"Boise State",22.9062786818839,78
"Boston College",19.8117558308961,96
"Bowling Green State",14.3819351200526,117
"Brigham Young",25.4465411794526,65
"Buffalo",17.7037928832619,105
"California",25.4903996121806,64
"Central Florida",31.7613478112032,30
"Central Michigan",22.7561922466612,79
"Cincinnati",27.3251083388233,54
"Clemson",40.1146479711567,9
"Colorado",16.4475697806605,113
"Colorado State",12.3637913430579,120
"Connecticut",11.1760478515259,122
"Duke",28.1579864621555,50
"East Carolina",23.8491111659305,75
"Eastern Michigan",17.4184276888751,106
"Florida",31.2972370648852,32
"Florida Atlantic",17.3912406366964,108
"Florida International",20.9160929476981,88
"Florida State",39.7947061573604,10
"Fresno State",28.7673965789792,48
"Georgia",38.2830565078558,13
"Georgia Tech",33.3546543906773,24
"Hawaii",15.522153816322,115
"Houston",24.7908393680113,71
"Idaho",9.77496365089763,124
"Illinois",15.5856928131891,114
"Indiana",30.2505918337731,34
"Iowa",19.3020954640885,100
"Iowa State",25.3956544225679,66
"Kansas",17.2400338595259,111
"Kansas State",44.3232433581471,4
"Kent State",25.5677469235733,63
"Kentucky",21.0461991565629,87
"Louisiana",30.2235823295862,35
"Louisiana State",32.44051965892,26
"Louisiana Tech",45.3132770414042,3
"Louisiana-Monroe",32.359990057287,27
"Louisville",29.3749905709626,41
"Marshall",30.8481205236353,33
"Maryland",15.1237661959655,116
"Massachusetts",7.22321186824718,125
"Memphis",10.5237722890006,123
"Miami (FL)",28.779195640307,47
"Miami (OH)",17.7504549166289,103
"Michigan",29.3557354345073,42
"Michigan State",19.8232355573464,95
"Middle Tennessee State",28.2795450250359,49
"Minnesota",21.2729923274924,85
"Mississippi",29.5373328815745,40
"Mississippi State",28.9477145243437,46
"Missouri",26.7462688128572,57
"Navy",20.356693212087,92
"Nebraska",38.1658458712643,14
"Nevada",32.886677924078,25
"Nevada-Las Vegas",19.1436367491893,101
"New Mexico",21.9362877190609,83
"New Mexico State",13.2098114166045,119
"Non-Major",11.9199388147959,121
"North Carolina",35.5265314238082,20
"North Carolina State",24.5040032588262,72
"North Texas",20.0923623758128,94
"Northern Illinois",31.6126656694911,31
"Northwestern",28.9482190528101,45
"Notre Dame",32.0887774064314,28
"Ohio",24.4376987739495,73
"Ohio State",36.5632954136193,17
"Oklahoma",41.8174128130772,8
"Oklahoma State",42.6466932965378,6
"Oregon",49.0982646009618,1
"Oregon State",29.601606490027,38
"Penn State",26.8906910558304,56
"Pittsburgh",25.1400391271225,69
"Purdue",23.6094940941209,76
"Rice",23.2046992852028,77
"Rutgers",17.7319680937418,104
"San Diego State",29.1245731659247,44
"San Jose State",29.2623708196871,43
"South Alabama",17.2586752376292,110
"South Carolina",34.4277728053858,23
"South Florida",21.7899156624168,84
"Southern California",35.4391542388781,21
"Southern Methodist",19.7794822232337,97
"Southern Mississippi",14.3609768733845,118
"Stanford",25.948230003418,61
"Syracuse",25.3935455977328,67
"Temple",21.9481913930129,82
"Tennessee",39.6239380360436,11
"Texas",37.5958417167293,16
"Texas A&M",45.486185266503,2
"Texas Christian",31.8421782888002,29
"Texas State",17.4039191445536,107
"Texas Tech",37.6846744277504,15
"Texas-El Paso",16.6623934740572,112
"Texas-San Antonio",20.3291607701769,93
"Toledo",23.8770512442428,74
"Troy",26.6897970057905,58
"Tulane",17.307027309708,109
"Tulsa",29.5872776592532,39
"UCLA",34.4924613942194,22
"Utah",26.0774875698288,60
"Utah State",29.8747255981785,37
"Vanderbilt",26.2753349339573,59
"Virginia",19.4367912069637,98
"Virginia Tech",24.9388667807888,70
"Wake Forest",18.308472054332,102
"Washington",20.8797605293891,89
"Washington State",20.5450004040137,91
"West Virginia",36.1162897139174,19
"Western Kentucky",27.6866144526661,52
"Western Michigan",22.6772850086784,80
"Wisconsin",27.2917458768498,55
"Wyoming",20.8777406846074,90
