"Team","Value","Rank"
"Air Force",3.50831691082143,51
"Akron",2.90286418784537,73
"Alabama",5.33754438800111,7
"Alabama-Birmingham",3.18899151342746,65
"Arizona",4.94065604947679,15
"Arizona State",4.64130638857836,19
"Arkansas",3.56125459630119,47
"Arkansas State",3.67946283944843,37
"Army",2.3172252383626,96
"Auburn",2.44019535072565,92
"Ball State",3.06861135858796,68
"Baylor",5.69921543268558,4
"Boise State",2.55324049649246,86
"Boston College",2.23081362902158,100
"Bowling Green State",1.83481778318212,113
"Brigham Young",3.29985207483346,59
"Buffalo",2.28063130475845,98
"California",2.9394722289899,72
"Central Florida",4.20340493714257,27
"Central Michigan",2.81149189269308,77
"Cincinnati",3.26996437620027,60
"Clemson",5.08367712749093,11
"Colorado",2.14224274449266,102
"Colorado State",1.43385302976911,120
"Connecticut",1.21057227182879,122
"Duke",3.1890169140288,64
"East Carolina",2.86085550150682,75
"Eastern Michigan",2.30580607062874,97
"Florida",3.65119213582081,39
"Florida Atlantic",2.12309311532302,104
"Florida International",2.81625361188694,76
"Florida State",4.93172390399188,16
"Fresno State",3.58951936486202,42
"Georgia",5.27135768123795,8
"Georgia Tech",4.62443306772071,20
"Hawaii",1.67791272732576,118
"Houston",2.61475021432839,82
"Idaho",0.671285737654954,125
"Illinois",1.86203765211583,111
"Indiana",3.77983309533731,32
"Iowa",1.94215284850724,110
"Iowa State",3.30473286313807,58
"Kansas",2.1195453561792,105
"Kansas State",5.48311007510022,6
"Kent State",2.9957645821156,70
"Kentucky",2.77310261929466,78
"Louisiana",3.56392890139478,45
"Louisiana State",3.77294185881183,34
"Louisiana Tech",5.943746354087,3
"Louisiana-Monroe",4.5526698903626,23
"Louisville",3.71736937100682,36
"Marshall",3.95578826330643,29
"Maryland",1.81729819461204,114
"Massachusetts",0.866257972403194,124
"Memphis",1.16349143424717,123
"Miami (FL)",3.4899194618651,52
"Miami (OH)",2.02420509911209,108
"Michigan",3.50876974151329,50
"Michigan State",2.15823719556782,101
"Middle Tennessee State",3.30773327016432,57
"Minnesota",2.65807658908955,80
"Mississippi",3.58447966696005,43
"Mississippi State",3.65733580990915,38
"Missouri",3.26158790166755,61
"Navy",2.48291250187532,90
"Nebraska",4.92129104380767,17
"Nevada",4.36627872237404,24
"Nevada-Las Vegas",2.25178750001905,99
"New Mexico",2.75424845011149,79
"New Mexico State",1.70166006439435,116
"Non-Major",1.2778301261775,121
"North Carolina",4.21334151627642,26
"North Carolina State",3.32339855564262,56
"North Texas",2.529500175984,88
"Northern Illinois",4.15127190585015,28
"Northwestern",3.5759656694564,44
"Notre Dame",3.79381358910314,31
"Ohio",2.55720427684761,85
"Ohio State",5.02383624646471,13
"Oklahoma",5.51205211706155,5
"Oklahoma State",5.2020855277211,9
"Oregon",6.64803687398274,1
"Oregon State",3.53314849070211,48
"Penn State",3.56372712212301,46
"Pittsburgh",2.89073228999682,74
"Purdue",3.1457337453068,66
"Rice",2.64413467338025,81
"Rutgers",2.06831243215618,106
"San Diego State",3.77228251004016,35
"San Jose State",3.40986677808684,55
"South Alabama",1.69122859331685,117
"South Carolina",4.57546887208748,22
"South Florida",2.53018182500338,87
"Southern California",4.60515012370001,21
"Southern Methodist",1.97808880772816,109
"Southern Mississippi",1.61957299971879,119
"Stanford",3.13604661624431,67
"Syracuse",3.23208382594444,62
"Temple",2.52873893255531,89
"Tennessee",5.06127772504857,12
"Texas",5.1016847604377,10
"Texas A&M",5.96692097511061,2
"Texas Christian",3.64775222761382,40
"Texas State",1.84106695792436,112
"Texas Tech",4.74369681077908,18
"Texas-El Paso",2.02876299926881,107
"Texas-San Antonio",2.13606488631224,103
"Toledo",2.55994538321491,84
"Troy",3.41356074317913,54
"Tulane",1.70348446633156,115
"Tulsa",3.77302192220256,33
"UCLA",4.30757724391507,25
"Utah",3.43230091466408,53
"Utah State",3.93204434622766,30
"Vanderbilt",3.1940164335615,63
"Virginia",2.39604859872589,94
"Virginia Tech",3.03926907677479,69
"Wake Forest",2.46440535246637,91
"Washington",2.43143744144179,93
"Washington State",2.35875889030794,95
"West Virginia",5.00678778773686,14
"Western Kentucky",3.52892978568146,49
"Western Michigan",2.96501951259291,71
"Wisconsin",3.61733316037845,41
"Wyoming",2.60456414563376,83
