"Team","Value","Rank"
"Air Force",4.375,28.5
"Akron",3.44444444444444,56.5
"Alabama",5,13
"Alabama-Birmingham",3.625,49.5
"Arizona",4.75,18.5
"Arizona State",4.75,18.5
"Arkansas",3.375,60
"Arkansas State",3.75,45
"Army",3.125,68
"Auburn",1.625,120
"Ball State",3.88888888888889,39
"Baylor",5.57142857142857,3
"Boise State",2.875,81
"Boston College",2.5,98
"Bowling Green State",2.77777777777778,86
"Brigham Young",3,73
"Buffalo",2.375,102.5
"California",2.88888888888889,77.5
"Central Florida",4.5,26
"Central Michigan",3,73
"Cincinnati",3.85714285714286,42.5
"Clemson",5,13
"Colorado",2.125,107
"Colorado State",2.125,107
"Connecticut",1.75,119
"Duke",3.33333333333333,62.5
"East Carolina",2.88888888888889,77.5
"Eastern Michigan",2.625,93.5
"Florida",3,73
"Florida Atlantic",2,114
"Florida International",3,73
"Florida State",5.44444444444444,6
"Fresno State",4.22222222222222,30
"Georgia",4.625,23.5
"Georgia Tech",4.625,23.5
"Hawaii",2,114
"Houston",3.25,64.5
"Idaho",1.375,123
"Illinois",2.125,107
"Indiana",4.125,32
"Iowa",2,114
"Iowa State",3.125,68
"Kansas",2,114
"Kansas State",5.5,4.5
"Kent State",4,36.5
"Kentucky",2.11111111111111,110.5
"Louisiana",3.85714285714286,42.5
"Louisiana State",3.5,53
"Louisiana Tech",6.75,1.5
"Louisiana-Monroe",5.125,11
"Louisville",4.125,32
"Marshall",4.625,23.5
"Maryland",2.375,102.5
"Massachusetts",0.75,125
"Memphis",1.5,121.5
"Miami (FL)",3.125,68
"Miami (OH)",2.25,104
"Michigan",2.875,81
"Michigan State",1.77777777777778,118
"Middle Tennessee State",3.625,49.5
"Minnesota",2.875,81
"Mississippi",3.75,45
"Mississippi State",4,36.5
"Missouri",2.625,93.5
"Navy",2.75,88.5
"Nebraska",4.625,23.5
"Nevada",5.22222222222222,9
"Nevada-Las Vegas",2.66666666666667,91
"New Mexico",3.44444444444444,56.5
"New Mexico State",2.75,88.5
"Non-Major",1.17525773195876,124
"North Carolina",4.88888888888889,15.5
"North Carolina State",3.625,49.5
"North Texas",2.625,93.5
"Northern Illinois",4.88888888888889,15.5
"Northwestern",3.66666666666667,47
"Notre Dame",2.75,88.5
"Ohio",3.875,40.5
"Ohio State",5,13
"Oklahoma",4.71428571428571,21
"Oklahoma State",5.14285714285714,10
"Oregon",6.75,1.5
"Oregon State",3,73
"Penn State",3.5,53
"Pittsburgh",3.375,60
"Purdue",3.5,53
"Rice",3.22222222222222,66
"Rutgers",2.75,88.5
"San Diego State",4.44444444444444,27
"San Jose State",3.75,45
"South Alabama",2.125,107
"South Carolina",4,36.5
"South Florida",3,73
"Southern California",4.375,28.5
"Southern Methodist",2.5,98
"Southern Mississippi",1.875,117
"Stanford",2.875,81
"Syracuse",3,73
"Temple",2.42857142857143,101
"Tennessee",4.125,32
"Texas",5.25,8
"Texas A&M",5.5,4.5
"Texas Christian",3.625,49.5
"Texas State",2.85714285714286,84
"Texas Tech",4.75,18.5
"Texas-El Paso",2.11111111111111,110.5
"Texas-San Antonio",2.83333333333333,85
"Toledo",3.44444444444444,56.5
"Troy",3.25,64.5
"Tulane",1.5,121.5
"Tulsa",4.75,18.5
"UCLA",3.875,40.5
"Utah",2.5,98
"Utah State",4.11111111111111,34
"Vanderbilt",2.5,98
"Virginia",2.5,98
"Virginia Tech",3.375,60
"Wake Forest",2.625,93.5
"Washington",2,114
"Washington State",2.125,107
"West Virginia",5.28571428571429,7
"Western Kentucky",4,36.5
"Western Michigan",3.44444444444444,56.5
"Wisconsin",3.33333333333333,62.5
"Wyoming",2.875,81
