"Team","Value","Rank"
"Air Force",0.68281064691267,97
"Akron",0.320659737834925,105
"Alabama",4.28919082629557,6
"Alabama-Birmingham",0.753521506350524,93
"Arizona",3.2710375009211,15
"Arizona State",3.08544578548062,20
"Arkansas",0.929157352885525,88
"Arkansas State",3.15057822024539,17
"Army",0.540123044609485,98
"Auburn",0.326160027232316,104
"Ball State",1.87350126687988,56
"Baylor",4.36747683021935,5
"Boise State",1.85060777511744,58
"Boston College",0.16956323018502,109
"Bowling Green State",0.803825810508674,92
"Brigham Young",1.75219044401903,60
"Buffalo",0.368376079972925,103
"California",0.89990800851112,89
"Central Florida",2.83670162940626,24
"Central Michigan",1.46638920800947,64
"Cincinnati",1.8682104065022,57
"Clemson",3.41711271226836,12
"Colorado",0.200921645951389,107
"Colorado State",-0.208640864200067,115
"Connecticut",-0.548913264308407,120
"Duke",2.00547766837821,50
"East Carolina",1.45328913261449,65
"Eastern Michigan",0.479046012729866,99
"Florida",2.00113309924645,53
"Florida Atlantic",0.943160320498133,86
"Florida International",1.0595755058039,82
"Florida State",2.65378651669388,29
"Fresno State",2.43874673674598,38
"Georgia",3.91775362052331,9
"Georgia Tech",3.12173994343789,19
"Hawaii",-0.434581534005494,118
"Houston",0.0640038607571622,112
"Idaho",-1.9139256983627,125
"Illinois",-0.81229744184753,122
"Indiana",2.52333728777189,35
"Iowa",1.16135876342706,78
"Iowa State",1.31520544680185,73
"Kansas",0.7333046244701,94
"Kansas State",4.13036834249828,8
"Kent State",1.65091931935427,63
"Kentucky",1.36695409047836,70
"Louisiana",2.40574953689068,40
"Louisiana State",2.49444245082128,36
"Louisiana Tech",5.19478643129708,2
"Louisiana-Monroe",2.58891400378408,33
"Louisville",2.67068308375078,28
"Marshall",3.06507848077036,21
"Maryland",-0.442410908980398,119
"Massachusetts",-1.58083759963861,124
"Memphis",0.0902940172253761,111
"Miami (FL)",2.59904704015458,32
"Miami (OH)",0.686568304825357,96
"Michigan",2.16393951664986,46
"Michigan State",1.02142552104823,84
"Middle Tennessee State",1.26844312684743,75
"Minnesota",0.88503952973908,91
"Mississippi",2.0052572677561,51
"Mississippi State",2.37545938930701,42
"Missouri",1.82311442477628,59
"Navy",1.10103238172032,80
"Nebraska",2.0506172454622,47
"Nevada",2.79176618381253,25
"Nevada-Las Vegas",0.145947192994456,110
"New Mexico",1.36755747208294,69
"New Mexico State",-0.0790273300399318,113
"Non-Major",-0.307316528327872,117
"North Carolina",2.90951632557451,23
"North Carolina State",0.702288957911614,95
"North Texas",1.22509619520765,76
"Northern Illinois",2.61536415834703,30
"Northwestern",2.71793522948455,27
"Notre Dame",2.53489676582664,34
"Ohio",1.66795450300407,62
"Ohio State",3.13468313867308,18
"Oklahoma",3.87725323523617,11
"Oklahoma State",4.17497971978716,7
"Oregon",5.68127866203235,1
"Oregon State",2.94030336241539,22
"Penn State",2.34829316361761,43
"Pittsburgh",2.40287030598666,41
"Purdue",1.39910522661908,66
"Rice",1.33169401798493,71
"Rutgers",0.179638838958174,108
"San Diego State",1.74344853815494,61
"San Jose State",1.90377924712401,55
"South Alabama",-0.946077598057318,123
"South Carolina",2.41722627846705,39
"South Florida",-0.20830208397664,114
"Southern California",1.94957579891781,54
"Southern Methodist",1.00086785596023,85
"Southern Mississippi",-0.28346418666593,116
"Stanford",2.47146089510961,37
"Syracuse",2.03792669059422,48
"Temple",1.08472504706368,81
"Tennessee",3.28932598264857,14
"Texas",3.89954406081016,10
"Texas A&M",4.66507759723405,3
"Texas Christian",1.32640466021615,72
"Texas State",1.39307892277199,67
"Texas Tech",3.19429509902261,16
"Texas-El Paso",0.474129193776697,100
"Texas-San Antonio",1.2762436685694,74
"Toledo",1.04590491905343,83
"Troy",1.13827662085345,79
"Tulane",-0.606429082885801,121
"Tulsa",2.60567695451368,31
"UCLA",2.77956092974907,26
"Utah",2.0237038937124,49
"Utah State",2.19410031859375,45
"Vanderbilt",2.21007364048196,44
"Virginia",0.412850773715718,102
"Virginia Tech",0.935540340345272,87
"Wake Forest",0.893713570505691,90
"Washington",1.37872293819057,68
"Washington State",0.463238144499052,101
"West Virginia",4.45236451256032,4
"Western Kentucky",1.16857620252507,77
"Western Michigan",0.303075580246809,106
"Wisconsin",3.3862924159158,13
"Wyoming",2.00325400130279,52
