"Team","Value","Rank"
"Air Force",25,77.5
"Akron",18.5,109
"Alabama",38.75,11
"Alabama-Birmingham",26,71
"Arizona",32.625,36
"Arizona State",44.125,6
"Arkansas",18,111.5
"Arkansas State",25.5,75
"Army",25,77.5
"Auburn",36.1111111111111,24
"Ball State",37.4444444444444,18
"Baylor",59.5714285714286,1
"Boise State",36.5555555555556,22
"Boston College",22.125,92
"Bowling Green State",29.625,52
"Brigham Young",29.875,50.5
"Buffalo",27.75,62
"California",21.8888888888889,95
"Central Florida",37,20
"Central Michigan",17.125,113.5
"Cincinnati",32.5,37
"Clemson",37.1111111111111,19
"Colorado",21.4285714285714,98
"Colorado State",32.1111111111111,38.5
"Connecticut",12.1428571428571,119
"Duke",31.375,43
"East Carolina",35.25,26
"Eastern Michigan",18.6666666666667,105
"Florida",19.25,102
"Florida Atlantic",19.5555555555556,101
"Florida International",10.625,121
"Florida State",48.625,3
"Fresno State",42.125,8
"Georgia",32.875,35
"Georgia State",15.7777777777778,116
"Georgia Tech",31.5555555555556,42
"Hawaii",17.125,113.5
"Houston",37.875,14.5
"Idaho",16.6666666666667,115
"Illinois",28.75,56
"Indiana",39.5,9
"Iowa",22.6666666666667,87.5
"Iowa State",22.375,90
"Kansas",14.875,117
"Kansas State",29.875,50.5
"Kent State",18.1,110
"Kentucky",23.75,84
"Louisiana",35.625,25
"Louisiana State",38.8888888888889,10
"Louisiana Tech",18,111.5
"Louisiana-Monroe",19.1111111111111,103
"Louisville",37.875,14.5
"Marshall",38.625,12
"Maryland",25.875,72
"Massachusetts",10.2222222222222,122
"Memphis",18.5714285714286,108
"Miami (FL)",33.375,33
"Miami (OH)",10.125,123
"Michigan",34.875,29
"Michigan State",26.4444444444444,69
"Middle Tennessee State",23.8888888888889,83
"Minnesota",28.1111111111111,61
"Mississippi",31,45
"Mississippi State",27.625,64
"Missouri",38.5555555555556,13
"Navy",29.5,53
"Nebraska",35,27.5
"Nevada",26.5555555555556,68
"Nevada-Las Vegas",26.7777777777778,66
"New Mexico",31.875,40
"New Mexico State",18.625,106.5
"Non-Major",13.234693877551,118
"North Carolina",24.5,79
"North Carolina State",22.25,91
"North Texas",26.6666666666667,67
"Northern Illinois",43.5555555555556,7
"Northwestern",24,81.5
"Notre Dame",25.6666666666667,74
"Ohio",31.125,44
"Ohio State",46.2222222222222,4
"Oklahoma",28.5,59
"Oklahoma State",36.75,21
"Oregon",54.125,2
"Oregon State",34.3333333333333,30
"Penn State",29,55
"Pittsburgh",24,81.5
"Purdue",8.5,125
"Rice",26.1111111111111,70
"Rutgers",29.375,54
"San Diego State",26.875,65
"San Jose State",28.625,57.5
"South Alabama",28.625,57.5
"South Carolina",32.1111111111111,38.5
"South Florida",7.125,126
"Southern California",22.6666666666667,87.5
"Southern Methodist",31.5714285714286,41
"Southern Mississippi",10,124
"Stanford",30.875,46
"Syracuse",25.125,76
"Temple",21.6666666666667,96.5
"Tennessee",22.4444444444444,89
"Texas",30.625,47.5
"Texas A&M",45.4444444444444,5
"Texas Christian",22.1111111111111,93
"Texas State",23,86
"Texas Tech",37.5555555555556,17
"Texas-El Paso",24.375,80
"Texas-San Antonio",23.3333333333333,85
"Toledo",29.8888888888889,49
"Troy",33.1111111111111,34
"Tulane",22,94
"Tulsa",18.625,106.5
"UCLA",36.5,23
"Utah",28.125,60
"Utah State",34.1111111111111,32
"Vanderbilt",30.625,47.5
"Virginia",21,99
"Virginia Tech",19.8888888888889,100
"Wake Forest",18.7777777777778,104
"Washington",34.25,31
"Washington State",25.7777777777778,73
"West Virginia",21.6666666666667,96.5
"Western Kentucky",27.6666666666667,63
"Western Michigan",11.3333333333333,120
"Wisconsin",37.625,16
"Wyoming",35,27.5
