"Team","Value","Rank"
"Air Force",25,80.5
"Akron",19.1,108
"Alabama",38.75,14
"Alabama-Birmingham",28.25,66
"Arizona",32.625,39
"Arizona State",44.875,6
"Arkansas",19.3333333333333,107
"Arkansas State",26.25,74
"Army",25,80.5
"Auburn",36.1111111111111,26
"Ball State",38.7777777777778,13
"Baylor",60.4285714285714,1
"Boise State",37.2222222222222,22
"Boston College",23.625,88
"Bowling Green State",29.625,55.5
"Brigham Young",30.625,50
"Buffalo",28.5,65
"California",23.2222222222222,90
"Central Florida",37,23
"Central Michigan",18.625,111.5
"Cincinnati",33.25,36
"Clemson",37.7777777777778,18
"Colorado",21.4285714285714,99
"Colorado State",32.1111111111111,42.5
"Connecticut",14.7142857142857,119
"Duke",32.875,38
"East Carolina",36,27
"Eastern Michigan",18.6666666666667,110
"Florida",20,105
"Florida Atlantic",20.8888888888889,102
"Florida International",11.375,125
"Florida State",48.625,3
"Fresno State",42.125,8
"Georgia",33.625,35
"Georgia State",16.4444444444444,116
"Georgia Tech",32.8888888888889,37
"Hawaii",20.875,103
"Houston",38.625,15
"Idaho",17,115
"Illinois",28.75,63
"Indiana",41.75,9
"Iowa",23.3333333333333,89
"Iowa State",23.125,91
"Kansas",16.375,117
"Kansas State",29.875,53
"Kent State",18.1,114
"Kentucky",23.75,87
"Louisiana",36.375,24.5
"Louisiana State",39.5555555555556,10
"Louisiana Tech",19.5,106
"Louisiana-Monroe",21.7777777777778,97
"Louisville",37.875,17
"Marshall",39.375,11
"Maryland",25.875,75
"Massachusetts",11.5555555555556,123
"Memphis",18.5714285714286,113
"Miami (FL)",34.125,33
"Miami (OH)",10.875,126
"Michigan",36.375,24.5
"Michigan State",26.4444444444444,73
"Middle Tennessee State",24.5555555555556,83
"Minnesota",28.7777777777778,62
"Mississippi",31.75,45
"Mississippi State",27.625,68.5
"Missouri",38.5555555555556,16
"Navy",29.5,57
"Nebraska",35,30
"Nevada",26.5555555555556,72
"Nevada-Las Vegas",29.4444444444444,58
"New Mexico",31.875,44
"New Mexico State",18.625,111.5
"Non-Major",14.8877551020408,118
"North Carolina",25.25,78
"North Carolina State",22.25,96
"North Texas",29.3333333333333,60
"Northern Illinois",43.5555555555556,7
"Northwestern",25.3333333333333,76.5
"Notre Dame",27,70
"Ohio",31.125,47
"Ohio State",46.8888888888889,4
"Oklahoma",29.25,61
"Oklahoma State",39,12
"Oregon",54.875,2
"Oregon State",35,30
"Penn State",29.75,54
"Pittsburgh",24,86
"Purdue",11.5,124
"Rice",26.7777777777778,71
"Rutgers",30.125,52
"San Diego State",27.625,68.5
"San Jose State",28.625,64
"South Alabama",29.375,59
"South Carolina",32.1111111111111,42.5
"South Florida",12.375,121
"Southern California",24.6666666666667,82
"Southern Methodist",32.4285714285714,40
"Southern Mississippi",12.25,122
"Stanford",30.875,48.5
"Syracuse",25.125,79
"Temple",21.6666666666667,98
"Tennessee",23.1111111111111,92
"Texas",31.375,46
"Texas A&M",46.1111111111111,5
"Texas Christian",22.7777777777778,93
"Texas State",24.3333333333333,85
"Texas Tech",37.5555555555556,20
"Texas-El Paso",24.375,84
"Texas-San Antonio",25.3333333333333,76.5
"Toledo",30.5555555555556,51
"Troy",33.7777777777778,34
"Tulane",22.6666666666667,94
"Tulsa",20.125,104
"UCLA",37.25,21
"Utah",29.625,55.5
"Utah State",35.4444444444444,28
"Vanderbilt",32.125,41
"Virginia",21,101
"Virginia Tech",21.2222222222222,100
"Wake Forest",18.7777777777778,109
"Washington",34.25,32
"Washington State",27.7777777777778,67
"West Virginia",22.3333333333333,95
"Western Kentucky",30.875,48.5
"Western Michigan",14.6666666666667,120
"Wisconsin",37.625,19
"Wyoming",35,30
