"Team","Value","Rank"
"Air Force",21.4586088241001,96
"Akron",15.8525810745889,114
"Alabama",38.1426652882118,15
"Alabama-Birmingham",23.1028960561247,88
"Arizona",32.7946433745,33
"Arizona State",42.7701302582524,6
"Arkansas",22.5388005026557,94
"Arkansas State",24.712809435284,80
"Army",20.5062347159817,100
"Auburn",42.4369834732852,7
"Ball State",32.3075207140253,36
"Baylor",50.1527612581712,1
"Boise State",32.5681717510152,35
"Boston College",29.4591383217202,52
"Bowling Green State",28.376652310504,58
"Brigham Young",32.0131333916199,37
"Buffalo",23.4387048206521,87
"California",27.3809702080277,62
"Central Florida",34.4590618050113,27
"Central Michigan",14.9634490878536,117
"Cincinnati",29.0668321581923,55
"Clemson",39.7177620919855,10
"Colorado",24.9229052894524,77
"Colorado State",30.7313335270851,45
"Connecticut",18.1237250689306,106
"Duke",33.5469230946514,31
"East Carolina",34.7391149409836,25
"Eastern Michigan",13.8861343956572,120
"Florida",20.6436365987862,99
"Florida Atlantic",20.1559805290026,101
"Florida International",5.05996543040921,126
"Florida State",48.4346683207501,2
"Fresno State",36.9686711044362,18
"Georgia",41.6551758311853,8
"Georgia State",13.9206020951071,119
"Georgia Tech",35.833229992796,21
"Hawaii",25.4319087121333,74
"Houston",31.9222835632235,38
"Idaho",16.0299093363606,113
"Illinois",30.2799048119683,49
"Indiana",40.7168239604736,9
"Iowa",25.571903812948,69
"Iowa State",26.9379870958174,64
"Kansas",15.5017505444686,115
"Kansas State",31.0231995311025,43
"Kent State",17.9148363716279,107
"Kentucky",24.3469778801666,84
"Louisiana",27.9160796703108,59
"Louisiana State",37.7818444480938,17
"Louisiana Tech",13.3011891550812,122
"Louisiana-Monroe",19.4213357316512,102
"Louisville",30.4625297106446,47
"Marshall",36.2957249164691,20
"Maryland",25.4763077099877,71
"Massachusetts",9.72656339701419,124
"Memphis",18.3778059632386,105
"Miami (FL)",36.4507345217314,19
"Miami (OH)",7.20077937819488,125
"Michigan",33.0953236016209,32
"Michigan State",27.45136065759,61
"Middle Tennessee State",22.8576391089623,90
"Minnesota",22.4446647451472,95
"Mississippi",31.0269099222983,42
"Mississippi State",29.6409261898659,50
"Missouri",38.6337578024378,13
"Navy",29.6164989515955,51
"Nebraska",29.1373287140067,53
"Nevada",24.5623994149955,82
"Nevada-Las Vegas",26.350855754333,66
"New Mexico",27.5901555577678,60
"New Mexico State",16.6178152944997,110
"Non-Major",16.7230488525333,109
"North Carolina",33.6019083507755,30
"North Carolina State",22.9909435257905,89
"North Texas",24.6604837463913,81
"Northern Illinois",34.5057228534746,26
"Northwestern",24.8444050088833,78
"Notre Dame",29.1106241277799,54
"Ohio",21.3217458082902,97
"Ohio State",43.7799232302255,4
"Oklahoma",32.7624150575791,34
"Oklahoma State",39.1163540910007,12
"Oregon",45.9229939151103,3
"Oregon State",34.3785062422821,28
"Penn State",27.3332480916071,63
"Pittsburgh",28.8729578969084,56
"Purdue",16.4425254798749,111
"Rice",24.7862700503064,79
"Rutgers",24.3059190826853,85
"San Diego State",22.6574333469394,92
"San Jose State",31.2895770352878,41
"South Alabama",25.5479297598176,70
"South Carolina",37.9909028714441,16
"South Florida",12.5082440541549,123
"Southern California",31.8164309205672,39
"Southern Methodist",25.1335714721886,76
"Southern Mississippi",14.6297515519696,118
"Stanford",34.7527381436873,24
"Syracuse",25.4410912384233,72
"Temple",22.5819881895456,93
"Tennessee",25.9606909277386,67
"Texas",30.4053676284366,48
"Texas A&M",43.5412312058112,5
"Texas Christian",25.4407370185264,73
"Texas State",15.4187927675919,116
"Texas Tech",35.8096230250184,22
"Texas-El Paso",16.1843823592016,112
"Texas-San Antonio",20.9824313204782,98
"Toledo",28.4713934879543,57
"Troy",30.6873062282163,46
"Tulane",19.3218337351887,103
"Tulsa",18.9910876085051,104
"UCLA",39.6869783571052,11
"Utah",33.6089434593495,29
"Utah State",26.5424239398882,65
"Vanderbilt",30.7954172855129,44
"Virginia",22.7370254184006,91
"Virginia Tech",23.8127782904602,86
"Wake Forest",17.589250520801,108
"Washington",38.1587947102703,14
"Washington State",31.3139649521318,40
"West Virginia",25.2713106010402,75
"Western Kentucky",25.8538126595165,68
"Western Michigan",13.8142286689314,121
"Wisconsin",34.8656474127251,23
"Wyoming",24.385616280111,83
