"Team","Value","Rank"
"Air Force",1.92244685918192,68
"Akron",1.46313949616059,58
"Alabama",-0.461767035321652,6
"Alabama-Birmingham",2.42716478226533,82
"Appalachian State",4.50792676735639,128
"Arizona",1.39486381814264,56
"Arizona State",1.08338933628874,45
"Arkansas",0.827394655851783,39
"Arkansas State",2.60017936093603,90
"Army",4.35424525310584,126
"Auburn",-0.562465046772564,3
"Ball State",2.3294109362699,80
"Baylor",1.37246670572387,54
"Boise State",0.585395158083575,29
"Boston College",1.4352645150154,57
"Bowling Green State",3.19932746601592,108
"Brigham Young",2.85842735105757,98
"Buffalo",4.32720502042951,125
"California",2.97710928161299,102
"Central Florida",0.670787533778571,35
"Central Michigan",1.8141306737303,63
"Cincinnati",2.12502735280122,74
"Clemson",-0.00754272427922231,16
"Colorado",3.14226904024458,106
"Colorado State",2.48063537456666,85
"Connecticut",2.45678720750844,84
"Duke",0.656446957204967,33
"East Carolina",2.88795433426668,99
"Eastern Michigan",3.74632162505712,116
"Florida",-0.312166297955915,8
"Florida Atlantic",2.92509722506082,101
"Florida International",-0.279362687895236,9
"Florida State",1.32491062367823,52
"Fresno State",3.21699687614362,109
"Georgia",0.144701257696571,21
"Georgia Southern",2.28068582322709,78
"Georgia State",5.25671091517963,129
"Georgia Tech",1.61877916173993,60
"Hawaii",2.04923873152005,73
"Houston",-0.41656172091894,7
"Idaho",3.46417304444062,111
"Illinois",2.36340733018171,81
"Indiana",3.70120621751659,114
"Iowa",0.450579396647589,26
"Iowa State",3.05820711162717,104
"Kansas",1.81518387139059,64
"Kansas State",0.835014366272971,41
"Kent State",2.48908229118591,86
"Kentucky",1.09255064908721,46
"Louisiana",3.57106734375339,113
"Louisiana State",-0.101503460901964,12
"Louisiana Tech",0.639550343196855,31
"Louisiana-Monroe",2.24206284820968,77
"Louisville",-0.218841657608781,10
"Marshall",1.34612195904,53
"Maryland",1.81991448980333,66
"Massachusetts",4.26068076228091,124
"Memphis",0.436838575751596,25
"Miami (FL)",-0.0216679306196728,15
"Miami (OH)",2.68750591832172,92
"Michigan",1.94489604606327,69
"Michigan State",0.113935311181046,19
"Middle Tennessee State",1.38541992880364,55
"Minnesota",0.791651245580449,38
"Mississippi",-2.95769714672382,1
"Mississippi State",-0.653417777479444,2
"Missouri",0.362463731065645,23
"Navy",2.20758965124397,76
"Nebraska",1.05307499754816,44
"Nevada",1.10192203416603,47
"Nevada-Las Vegas",3.77820744666458,117
"New Mexico",3.43688552388834,110
"New Mexico State",2.56520063328161,88
"Non-Major",3.98046998029676,122
"North Carolina",3.10313370378072,105
"North Carolina State",2.003962176702,71
"North Texas",2.81124816214255,94
"Northern Illinois",3.70449156244262,115
"Northwestern",0.374474432006271,24
"Notre Dame",0.217236920961776,22
"Ohio",2.59808734130222,89
"Ohio State",0.864972150465766,42
"Oklahoma",0.00557195905548347,17
"Oklahoma State",2.30869042992015,79
"Old Dominion",3.90743578155093,119
"Oregon",0.498477905131638,27
"Oregon State",1.81642414891801,65
"Penn State",0.73734468159127,36
"Pittsburgh",2.43903908190632,83
"Purdue",2.85297585159586,97
"Rice",2.83584013166032,96
"Rutgers",2.77033645612801,93
"San Diego State",1.12312925475001,48
"San Jose State",2.00592238149375,72
"South Alabama",1.80987157978747,62
"South Carolina",1.97478842022462,70
"South Florida",1.52996718381444,59
"Southern California",0.550361610704296,28
"Southern Methodist",3.50045395470395,112
"Southern Mississippi",2.4902860493594,87
"Stanford",-0.0924838272817008,14
"Syracuse",0.8308040800788,40
"Temple",0.644923325344831,32
"Tennessee",0.0394685360780804,18
"Texas",-0.192114604026055,11
"Texas A&M",2.13398661747495,75
"Texas Christian",-0.559944614098476,4
"Texas State",2.67181936112323,91
"Texas Tech",3.94896021762052,121
"Texas-El Paso",3.02648277084639,103
"Texas-San Antonio",1.14021345168644,49
"Toledo",3.90881599712973,120
"Troy",4.02732208046539,123
"Tulane",0.612719386827616,30
"Tulsa",4.50763203888391,127
"UCLA",1.31362515806327,51
"Utah",0.665881047474488,34
"Utah State",0.128023946220911,20
"Vanderbilt",1.8574293292185,67
"Virginia",-0.490956857944832,5
"Virginia Tech",-0.098163919263095,13
"Wake Forest",0.954064869164676,43
"Washington",0.737562419314319,37
"Washington State",3.15491270583601,107
"West Virginia",1.69312732312603,61
"Western Kentucky",3.8572678140428,118
"Western Michigan",2.90465655359437,100
"Wisconsin",1.30992833563772,50
"Wyoming",2.81759067547356,95
