"Team","Value","Rank"
"Air Force",26.4610844461808,65
"Akron",27.6961902349704,74
"Alabama",12.9146832393964,6
"Alabama-Birmingham",25.8288316920747,59
"Appalachian State",35.5321156053282,111
"Arizona",20.3147783238957,33
"Arizona State",21.0700100858755,37
"Arkansas",11.9371951867277,4
"Arkansas State",32.4435930539449,102
"Army",37.7675436035384,116
"Auburn",19.5856015359087,27
"Ball State",31.5746488774176,98
"Baylor",23.5316303610968,48
"Boise State",25.2205693285777,55
"Boston College",22.4947242693801,42
"Bowling Green State",37.1698239149341,113
"Brigham Young",28.8869289037738,85
"Buffalo",37.195175080203,114
"California",35.7139154432379,112
"Central Florida",24.6773498315368,53
"Central Michigan",28.9990138638791,88
"Cincinnati",28.2919901040853,82
"Clemson",11.6350645839986,3
"Colorado",33.0552597327397,104
"Colorado State",28.1707697531372,80
"Connecticut",28.9195481604989,86
"Duke",23.3931734138729,46
"East Carolina",27.9537851113206,76
"Eastern Michigan",41.7976205426326,127
"Florida",15.7003733760753,10
"Florida Atlantic",32.186500805636,101
"Florida International",22.8129107661625,44
"Florida State",22.5014117599949,43
"Fresno State",33.0632098859988,105
"Georgia",16.9591003928572,13
"Georgia Southern",28.9516766323428,87
"Georgia State",45.579489631424,129
"Georgia Tech",20.4325486803047,34
"Hawaii",29.7497847825568,93
"Houston",24.051118517243,50
"Idaho",40.6345687285979,125
"Illinois",28.0921635401158,78
"Indiana",31.7723149350002,100
"Iowa",23.4448811738241,47
"Iowa State",33.7334269143602,108
"Kansas",28.7763469846089,83
"Kansas State",18.736788350264,24
"Kent State",31.4727879889451,97
"Kentucky",26.5841673193897,67
"Louisiana",28.1668520287905,79
"Louisiana State",12.7664469748939,5
"Louisiana Tech",21.9181643469439,40
"Louisiana-Monroe",26.531071712388,66
"Louisville",19.973585179346,32
"Marshall",24.2589326594072,51
"Maryland",28.0226864853785,77
"Massachusetts",37.8719762445039,118
"Memphis",21.424753330862,39
"Miami (FL)",17.9857938175528,19
"Miami (OH)",35.1094846816368,110
"Michigan",18.1947476081783,20
"Michigan State",19.0193430667724,26
"Middle Tennessee State",29.6122695632122,92
"Minnesota",21.382194781641,38
"Mississippi",6.97943168973512,1
"Mississippi State",17.8137572656837,17
"Missouri",16.3045553715001,11
"Navy",26.636776047613,68
"Nebraska",25.0171003718473,54
"Nevada",26.1348485203873,61
"Nevada-Las Vegas",40.9069164911623,126
"New Mexico",38.6260354581918,120
"New Mexico State",42.1534797002129,128
"Non-Major",39.4824351186765,122
"North Carolina",33.6536521034464,107
"North Carolina State",25.6108265163791,57
"North Texas",31.7168102442136,99
"Northern Illinois",29.112062423348,89
"Northwestern",23.2864223805284,45
"Notre Dame",25.8879562234265,60
"Ohio",27.5455279339482,73
"Ohio State",16.717169186622,12
"Oklahoma",18.6675182570003,23
"Oklahoma State",26.8246294774618,70
"Old Dominion",39.7111200684016,123
"Oregon",18.3607458261978,21
"Oregon State",27.7404178742946,75
"Penn State",17.0782262018159,15
"Pittsburgh",28.2686488109674,81
"Purdue",29.3303347329339,90
"Rice",29.4649720952507,91
"Rutgers",27.5321853891616,72
"San Diego State",22.0364664083577,41
"San Jose State",31.222703033317,96
"South Alabama",26.7072383403452,69
"South Carolina",26.4330218321089,64
"South Florida",26.8247922057661,71
"Southern California",18.5767014496398,22
"Southern Methodist",37.8374440549281,117
"Southern Mississippi",32.8574686583725,103
"Stanford",11.306230535122,2
"Syracuse",19.933046789792,31
"Temple",17.024447197904,14
"Tennessee",20.5994035832487,35
"Texas",13.1139805805543,7
"Texas A&M",23.6164360877175,49
"Texas Christian",14.0501698910396,8
"Texas State",30.9998340600275,95
"Texas Tech",37.7402871215496,115
"Texas-El Paso",26.254731120028,62
"Texas-San Antonio",25.7096716678754,58
"Toledo",33.3296231521601,106
"Troy",38.3524958254951,119
"Tulane",25.529497933853,56
"Tulsa",39.9334395800899,124
"UCLA",19.9289973437792,30
"Utah",17.7875112024222,16
"Utah State",19.8681451220364,29
"Vanderbilt",26.4304797790975,63
"Virginia",17.8595994890565,18
"Virginia Tech",14.2954219443417,9
"Wake Forest",24.5190259117695,52
"Washington",18.9987030141962,25
"Washington State",34.1885501417351,109
"West Virginia",20.7223929903958,36
"Western Kentucky",38.9454637037844,121
"Western Michigan",28.8709577292695,84
"Wisconsin",19.8302361905648,28
"Wyoming",30.9849059862356,94
