"Team","Value","Rank"
"Air Force",36.8774009878606,117
"Akron",22.227927840511,43
"Alabama",13.0969668028989,5
"Alabama-Birmingham",30.6241969484657,87
"Appalachian State",38.2461469638026,121
"Arizona",18.9838978787955,22
"Arizona State",19.8145693058819,31
"Arkansas",13.7549104687262,6
"Arkansas State",32.1274059927342,101
"Army",47.7820910642217,129
"Auburn",22.4032368425761,46
"Ball State",32.211834921737,102
"Baylor",21.7866139858566,40
"Boise State",26.0787870122083,69
"Boston College",28.7658292881514,80
"Bowling Green State",35.8175177391511,116
"Brigham Young",26.676661013547,71
"Buffalo",37.8370866623627,118
"California",31.8405871488603,96
"Central Florida",22.8107535602579,49
"Central Michigan",29.0977937939193,84
"Cincinnati",24.9519505570719,59
"Clemson",12.4041647654936,3
"Colorado",32.063112028625,99
"Colorado State",25.9702899505971,68
"Connecticut",28.7469203611336,79
"Duke",22.6033908514728,48
"East Carolina",21.2924186483635,36
"Eastern Michigan",43.0363890965627,127
"Florida",16.3342709624296,11
"Florida Atlantic",33.1203166829796,106
"Florida International",24.1365968728129,56
"Florida State",18.8297626458133,21
"Fresno State",32.0810844535423,100
"Georgia",18.7464529045292,20
"Georgia Southern",35.7320455249424,115
"Georgia State",42.6313065518117,126
"Georgia Tech",28.340568923084,77
"Hawaii",28.6419366892142,78
"Houston",21.7575710671506,39
"Idaho",37.8878002734869,119
"Illinois",26.1733930594456,70
"Indiana",35.4367223950828,113
"Iowa",24.0190186760799,54
"Iowa State",30.7535229868199,89
"Kansas",29.7758239725731,85
"Kansas State",17.4180231225282,16
"Kent State",28.3358250266862,76
"Kentucky",25.1877163477061,62
"Louisiana",30.9726631591509,90
"Louisiana State",17.0501353289338,15
"Louisiana Tech",19.1530641903779,23
"Louisiana-Monroe",21.9987345570643,41
"Louisville",17.6964250356084,17
"Marshall",21.3275882660049,37
"Maryland",24.7192922991595,58
"Massachusetts",32.9665651574828,105
"Memphis",22.0534491669682,42
"Miami (FL)",16.9575991519832,13
"Miami (OH)",28.8535718171923,82
"Michigan",19.487417969794,27
"Michigan State",20.2319472191049,32
"Middle Tennessee State",31.4246298267765,91
"Minnesota",25.0346036976463,60
"Mississippi",6.31182133203885,1
"Mississippi State",17.8612961447927,19
"Missouri",16.7477960692632,12
"Navy",34.4833973463339,110
"Nebraska",25.467488424913,65
"Nevada",29.0391842864417,83
"Nevada-Las Vegas",38.3142386030225,122
"New Mexico",45.9980235862274,128
"New Mexico State",41.6924037636879,125
"Non-Major",40.2406866053222,123
"North Carolina",31.8675570689918,97
"North Carolina State",25.6407239495431,66
"North Texas",33.2877126351304,107
"Northern Illinois",34.1805023820107,108
"Northwestern",22.534024956171,47
"Notre Dame",23.5310318151866,52
"Ohio",28.2875848738396,75
"Ohio State",17.0364917420602,14
"Oklahoma",19.3075832384708,25
"Oklahoma State",25.4460976788364,64
"Old Dominion",35.523370578922,114
"Oregon",19.1621826297323,24
"Oregon State",25.8659701226002,67
"Penn State",14.4031449837866,10
"Pittsburgh",31.6074401795209,92
"Purdue",27.6030329728636,73
"Rice",32.3673811670147,103
"Rutgers",28.8267421808243,81
"San Diego State",23.2472645467497,50
"San Jose State",31.7509372656764,95
"South Alabama",26.9019759364864,72
"South Carolina",24.1085420431585,55
"South Florida",25.4159845531517,63
"Southern California",19.6656395174993,29
"Southern Methodist",34.2553265875029,109
"Southern Mississippi",30.6420994996038,88
"Stanford",12.8540133314644,4
"Syracuse",21.0822155611413,34
"Temple",13.9158592858172,7
"Tennessee",19.3475310535449,26
"Texas",13.9430706986285,8
"Texas A&M",19.5539742906301,28
"Texas Christian",9.14997033871658,2
"Texas State",32.5855046820691,104
"Texas Tech",31.6818327066145,93
"Texas-El Paso",31.7081143918043,94
"Texas-San Antonio",27.9188516307791,74
"Toledo",34.6091996273144,111
"Troy",40.7700494560218,124
"Tulane",24.5386847766324,57
"Tulsa",37.9770755232837,120
"UCLA",21.5079992267543,38
"Utah",20.6002602880692,33
"Utah State",21.1342275776711,35
"Vanderbilt",25.0892528478416,61
"Virginia",17.7534329406643,18
"Virginia Tech",14.0753876883927,9
"Wake Forest",23.8451848474803,53
"Washington",22.3056211424406,45
"Washington State",23.4771134450716,51
"West Virginia",19.7147200732961,30
"Western Kentucky",34.7770371563082,112
"Western Michigan",29.930698227833,86
"Wisconsin",22.2371604218971,44
"Wyoming",31.9742733058688,98
