"Team","Value","Rank"
"Air Force",22.1056832833968,93
"Akron",17.4414000236937,110
"Alabama",42.2729902700456,9
"Alabama-Birmingham",29.3572205910947,52
"Appalachian State",24.4387744597613,77
"Arizona",35.4727685399487,24
"Arizona State",34.5741954413861,30
"Arkansas",37.108987388551,17
"Arkansas State",29.3812036973498,51
"Army",20.3075132354733,101
"Auburn",46.435008212813,2
"Ball State",20.3388909893064,100
"Baylor",47.077577992846,1
"Boise State",33.9945469328862,33
"Boston College",27.9652606951939,56
"Bowling Green State",26.5354242259377,67
"Brigham Young",34.6069150794046,29
"Buffalo",21.3573413262938,96
"California",40.9042466469253,10
"Central Florida",27.8062873450653,59
"Central Michigan",17.8448530807789,107
"Cincinnati",31.9342638076908,41
"Clemson",29.2984961068912,53
"Colorado",29.9671438315919,49
"Colorado State",30.3970510334274,47
"Connecticut",14.578995750151,122
"Duke",32.1163083168469,39
"East Carolina",32.1072073034417,40
"Eastern Michigan",8.7896145511938,128
"Florida",34.8903038766189,27
"Florida Atlantic",22.4106178967343,91
"Florida International",14.3357528455339,125
"Florida State",39.6979285266489,14
"Fresno State",25.421143639002,76
"Georgia",42.2750912509786,8
"Georgia Southern",32.3703440036691,38
"Georgia State",20.4766828495693,99
"Georgia Tech",35.576604787541,23
"Hawaii",16.9052625855529,114
"Houston",24.2073996951562,79
"Idaho",23.5630376445369,83
"Illinois",23.7605244943203,82
"Indiana",27.0053988840612,64
"Iowa",24.0394068487168,80
"Iowa State",27.2901242214147,62
"Kansas",16.0276072716113,115
"Kansas State",36.9246797505433,19
"Kent State",10.3402017024514,127
"Kentucky",28.8833455249266,55
"Louisiana",26.3962402857981,69
"Louisiana State",35.6078228192623,22
"Louisiana Tech",31.8172612542464,42
"Louisiana-Monroe",15.4734259032209,117
"Louisville",33.2371970423569,36
"Marshall",39.7624028426604,13
"Maryland",31.3364946716741,45
"Massachusetts",26.0986625843653,70
"Memphis",33.4579870695213,35
"Miami (FL)",31.3498085577298,44
"Miami (OH)",17.3995967935683,112
"Michigan",20.7637535982615,97
"Michigan State",40.8256179052432,11
"Middle Tennessee State",27.6802585968469,60
"Minnesota",25.7010642897711,74
"Mississippi",35.9856025625579,21
"Mississippi State",42.9226000397347,7
"Missouri",24.4040025400211,78
"Navy",29.2946125802346,54
"Nebraska",37.0396266102159,18
"Nevada",26.8624979206513,66
"Nevada-Las Vegas",17.1017816784421,113
"New Mexico",21.3662674885815,95
"New Mexico State",17.4008098038973,111
"Non-Major",14.8746744772001,120
"North Carolina",37.1879176763694,16
"North Carolina State",27.9233455215248,57
"North Texas",23.223161066329,85
"Northern Illinois",27.186556516043,63
"Northwestern",18.54593605836,105
"Notre Dame",36.1627022976319,20
"Ohio",14.9746836545355,118
"Ohio State",43.0379337730041,6
"Oklahoma",43.2496928779717,5
"Oklahoma State",25.7917180232287,73
"Old Dominion",26.9604928004786,65
"Oregon",45.0342696713151,3
"Oregon State",25.9680720732035,71
"Penn State",20.5250451862406,98
"Pittsburgh",32.8639879176823,37
"Purdue",26.4941490148824,68
"Rice",27.3124675447125,61
"Rutgers",25.8613803023174,72
"San Diego State",14.553565770408,123
"San Jose State",23.0861585957865,87
"South Alabama",14.4723723200555,124
"South Carolina",38.4978628527511,15
"South Florida",16.0046296188799,116
"Southern California",35.0371933338573,26
"Southern Methodist",8.25814480818287,129
"Southern Mississippi",18.1896373555009,106
"Stanford",23.4390670517156,84
"Syracuse",19.0504402983053,104
"Temple",22.5518246780211,90
"Tennessee",31.6081815950656,43
"Texas",20.3051880610184,102
"Texas A&M",40.3275506316247,12
"Texas Christian",44.6158543050216,4
"Texas State",25.6255431103481,75
"Texas Tech",30.8667041562582,46
"Texas-El Paso",22.9982296194078,88
"Texas-San Antonio",17.7495774812329,109
"Toledo",30.2229114081397,48
"Troy",14.9567197280507,119
"Tulane",14.7396203763976,121
"Tulsa",23.9499338768924,81
"UCLA",34.01444234008,32
"Utah",29.9378233946664,50
"Utah State",23.207723715827,86
"Vanderbilt",17.8144065574113,108
"Virginia",22.3154345693541,92
"Virginia Tech",22.9363237332332,89
"Wake Forest",12.7750473683514,126
"Washington",21.7111548857464,94
"Washington State",34.8363965384182,28
"West Virginia",35.0718792726789,25
"Western Kentucky",33.6389451201632,34
"Western Michigan",27.8067029599732,58
"Wisconsin",34.3708370270698,31
"Wyoming",19.1917376490889,103
