"Team","Value","Rank"
"Air Force",473.714285714286,75
"Akron",431.25,104
"Alabama",596.375,16
"Alabama-Birmingham",577.625,21
"Appalachian State",530,41
"Arizona",618.285714285714,11
"Arizona State",524.142857142857,45
"Arkansas",528.25,44
"Arkansas State",552.142857142857,29
"Army",447.285714285714,98
"Auburn",573.714285714286,22
"Ball State",458.625,88.5
"Baylor",647.571428571429,4
"Boise State",606.625,12.5
"Boston College",476.75,72
"Bowling Green State",549.75,31
"Brigham Young",533.375,39
"Buffalo",538.625,38
"California",626.125,8
"Central Florida",426.571428571429,111
"Central Michigan",441.222222222222,101
"Cincinnati",554.142857142857,27
"Clemson",503.375,57
"Colorado",552.25,28
"Colorado State",561.5,25
"Connecticut",361.857142857143,127
"Duke",480.571428571429,68
"East Carolina",636,6
"Eastern Michigan",367.5,125
"Florida",474.333333333333,74
"Florida Atlantic",496.75,63
"Florida International",378.25,123
"Florida State",514.857142857143,47
"Fresno State",500.25,60
"Georgia",520.571428571429,46
"Georgia Southern",581.833333333333,19
"Georgia State",528.875,43
"Georgia Tech",573,23
"Hawaii",430.875,105
"Houston",454.285714285714,92
"Idaho",507,52
"Illinois",485,67
"Indiana",540.571428571429,36
"Iowa",460.857142857143,83
"Iowa State",427,110
"Kansas",427.857142857143,109
"Kansas State",505.714285714286,53
"Kent State",382,120
"Kentucky",498.5,61
"Louisiana",505.428571428571,55
"Louisiana State",493,64
"Louisiana Tech",456.125,90
"Louisiana-Monroe",413,116
"Louisville",451.25,94
"Marshall",661.625,3
"Maryland",458.625,88.5
"Massachusetts",531.777777777778,40
"Memphis",550.285714285714,30
"Miami (FL)",502.375,59
"Miami (OH)",462.555555555556,81
"Michigan",362,126
"Michigan State",581.75,20
"Middle Tennessee State",542.75,32
"Minnesota",441.125,102
"Mississippi",459.5,86
"Mississippi State",585.142857142857,18
"Missouri",413.875,114
"Navy",502.625,58
"Nebraska",622.25,10
"Nevada",451,95
"Nevada-Las Vegas",459.875,84
"New Mexico",451.714285714286,93
"New Mexico State",472.5,76
"Non-Major",381.185567010309,121
"North Carolina",541.625,34
"North Carolina State",461.625,82
"North Texas",435,103
"Northern Illinois",541,35
"Northwestern",425.571428571429,112
"Notre Dame",510.857142857143,49
"Ohio",449.111111111111,97
"Ohio State",601.142857142857,15
"Oklahoma",541.857142857143,33
"Oklahoma State",504.5,56
"Old Dominion",508.714285714286,50
"Oregon",630.5,7
"Oregon State",443.714285714286,100
"Penn State",421.285714285714,113
"Pittsburgh",477.75,71
"Purdue",463.5,80
"Rice",489.714285714286,65
"Rutgers",479.5,70
"San Diego State",459.571428571429,85
"San Jose State",476.428571428571,73
"South Alabama",466.428571428571,78
"South Carolina",529.5,42
"South Florida",398,119
"Southern California",539.375,37
"Southern Methodist",339.428571428571,128
"Southern Mississippi",480.375,69
"Stanford",472.375,77
"Syracuse",444.875,99
"Temple",428.285714285714,108
"Tennessee",412.125,117
"Texas",428.625,107
"Texas A&M",623.625,9
"Texas Christian",665.428571428571,2
"Texas State",505.571428571429,54
"Texas Tech",572,24
"Texas-El Paso",455.857142857143,91
"Texas-San Antonio",379.75,122
"Toledo",602.625,14
"Troy",465.875,79
"Tulane",413.571428571429,115
"Tulsa",512.571428571429,48
"UCLA",588.5,17
"Utah",488.714285714286,66
"Utah State",449.625,96
"Vanderbilt",368.125,124
"Virginia",497.625,62
"Virginia Tech",459.25,87
"Wake Forest",275.25,129
"Washington",430.375,106
"Washington State",639.375,5
"West Virginia",606.625,12.5
"Western Kentucky",665.714285714286,1
"Western Michigan",507.75,51
"Wisconsin",555.857142857143,26
"Wyoming",405.875,118
