"Team","Value","Rank"
"Air Force",20.41632511796,94
"Akron",15.4670622258234,113
"Alabama",40.9865419361538,8
"Alabama-Birmingham",27.3159896261922,59
"Appalachian State",21.0285800381063,89
"Arizona",37.9105570953635,13
"Arizona State",33.6095573397373,30
"Arkansas",37.0825467057865,17
"Arkansas State",29.0132330759028,50
"Army",20.827458058015,92
"Auburn",42.659803637083,4
"Ball State",18.8690982356532,99
"Baylor",43.9165983373227,3
"Boise State",27.0533493931021,61
"Boston College",26.2002290870001,66
"Bowling Green State",24.7244277862315,75
"Brigham Young",34.5726682398158,27
"Buffalo",20.7763240900387,93
"California",36.7598907750347,19
"Central Florida",25.434070468303,70
"Central Michigan",13.7266227651297,121
"Cincinnati",32.4687164311738,35
"Clemson",28.803280757135,53
"Colorado",28.0862080734594,54
"Colorado State",30.3321517838022,41
"Connecticut",9.60893435637017,128
"Duke",29.6261729783715,45
"East Carolina",33.5068757817003,31
"Eastern Michigan",9.4404945335006,129
"Florida",29.8601701291394,43
"Florida Atlantic",19.2220655985565,97
"Florida International",12.2407621757399,123
"Florida State",40.90462147056,9
"Fresno State",29.3359058845512,49
"Georgia",43.9231769792575,2
"Georgia Southern",32.8258468202406,34
"Georgia State",22.5816986941145,84
"Georgia Tech",34.1502388574813,28
"Hawaii",17.1221246491399,109
"Houston",25.0776482944749,72
"Idaho",20.9696552506434,91
"Illinois",24.4068788328965,78
"Indiana",26.5009892390319,62
"Iowa",15.4412944718084,114
"Iowa State",27.6288965766554,58
"Kansas",15.4699794852656,112
"Kansas State",35.0544907652114,25
"Kent State",11.5355835399015,124
"Kentucky",29.6082802910107,47
"Louisiana",26.1526764746215,67
"Louisiana State",36.099333022803,21
"Louisiana Tech",27.6544906012587,57
"Louisiana-Monroe",11.4502549375801,125
"Louisville",29.6206761082506,46
"Marshall",41.7778639175341,7
"Maryland",28.8244816492692,52
"Massachusetts",26.4748997805061,63
"Memphis",34.9792141570744,26
"Miami (FL)",31.0569112396972,38
"Miami (OH)",17.8556536211,105
"Michigan",20.1170837974132,95
"Michigan State",33.9132081935158,29
"Middle Tennessee State",29.4148181715303,48
"Minnesota",24.833798040336,73
"Mississippi",35.7275004640153,23
"Mississippi State",38.4999611072683,11
"Missouri",26.0129798675895,69
"Navy",26.2665787538771,65
"Nebraska",35.8547682488306,22
"Nevada",23.4268957957163,80
"Nevada-Las Vegas",18.7539927002432,100
"New Mexico",22.4901960448932,85
"New Mexico State",18.3413737312169,103
"Non-Major",14.3354137995351,119
"North Carolina",36.873249539143,18
"North Carolina State",29.0095840804698,51
"North Texas",17.5655671271997,107
"Northern Illinois",27.7955027098316,56
"Northwestern",18.3493643930759,102
"Notre Dame",32.2035448590641,37
"Ohio",14.3783489411455,118
"Ohio State",40.7510104844306,10
"Oklahoma",37.361688648104,15
"Oklahoma State",25.2500217828204,71
"Old Dominion",30.313997200893,42
"Oregon",42.4524949415955,6
"Oregon State",23.4105761718527,81
"Penn State",22.3428389784053,86
"Pittsburgh",30.685702216082,39
"Purdue",24.7528686954958,74
"Rice",24.4915904615258,77
"Rutgers",26.0490728998346,68
"San Diego State",14.6566605266524,116
"San Jose State",23.0788689802459,82
"South Alabama",14.5014465019464,117
"South Carolina",38.2993311323562,12
"South Florida",17.7028074654857,106
"Southern California",32.3951842116585,36
"Southern Methodist",9.93598774560092,127
"Southern Mississippi",17.4048617539276,108
"Stanford",23.7919086187514,79
"Syracuse",23.0068656316122,83
"Temple",27.166458744482,60
"Tennessee",30.5073554395681,40
"Texas",19.2254871774895,96
"Texas A&M",42.5865498203199,5
"Texas Christian",44.6853291991474,1
"Texas State",26.4542667294282,64
"Texas Tech",32.8826291089916,33
"Texas-El Paso",22.1496258742485,88
"Texas-San Antonio",14.3132259547548,120
"Toledo",27.948915356991,55
"Troy",15.2914684241532,115
"Tulane",13.0700359117943,122
"Tulsa",21.012095295895,90
"UCLA",35.0668694452447,24
"Utah",29.7544393911136,44
"Utah State",15.9447435831576,111
"Vanderbilt",19.0404199108548,98
"Virginia",18.6964579330127,101
"Virginia Tech",17.9857509039945,104
"Wake Forest",10.1938236715708,126
"Washington",22.2014346731607,87
"Washington State",33.0354697512243,32
"West Virginia",37.2358354384421,16
"Western Kentucky",37.3962845906132,14
"Western Michigan",24.6682682990571,76
"Wisconsin",36.7362292413575,20
"Wyoming",16.7273637874654,110
