"Team","Value","Rank"
"Air Force",2.46153846153846,45
"Akron",0.5,106.5
"Alabama",3.21428571428571,16
"Alabama-Birmingham",2.25,50
"Appalachian State",2.7,30
"Arizona",2.78571428571429,25
"Arizona State",3.15384615384615,17.5
"Arkansas",2.76923076923077,27
"Arkansas State",3,21
"Army",2.08333333333333,57
"Auburn",2.84615384615385,23
"Ball State",1.66666666666667,76
"Baylor",5.23076923076923,1
"Boise State",3.07142857142857,19.5
"Boston College",2.46153846153846,45
"Bowling Green State",1.92857142857143,64
"Brigham Young",2.61538461538462,38.5
"Buffalo",2.72727272727273,29
"California",3.41666666666667,12
"Central Florida",1.07692307692308,95
"Central Michigan",1.46153846153846,85.5
"Cincinnati",2.38461538461538,48
"Clemson",2,62
"Colorado",1.75,71
"Colorado State",3.15384615384615,17.5
"Connecticut",-0.583333333333333,127.5
"Duke",2.69230769230769,33
"East Carolina",2.76923076923077,27
"Eastern Michigan",-0.583333333333333,127.5
"Florida",1.41666666666667,87.5
"Florida Atlantic",1.25,90.5
"Florida International",0.416666666666667,109.5
"Florida State",1.5,82.5
"Fresno State",1.5,82.5
"Georgia",4.07692307692308,5.5
"Georgia Southern",3.5,10
"Georgia State",0.5,106.5
"Georgia Tech",3.42857142857143,11
"Hawaii",0.230769230769231,113
"Houston",1.84615384615385,65.5
"Idaho",0.727272727272727,100
"Illinois",1.46153846153846,85.5
"Indiana",1.41666666666667,87.5
"Iowa",1.76923076923077,68
"Iowa State",1.5,82.5
"Kansas",0.666666666666667,101.5
"Kansas State",3.30769230769231,14
"Kent State",0.0909090909090909,117
"Kentucky",1.66666666666667,76
"Louisiana",2.46153846153846,45
"Louisiana State",2.07692307692308,59
"Louisiana Tech",2.64285714285714,36
"Louisiana-Monroe",0.666666666666667,101.5
"Louisville",1.84615384615385,65.5
"Marshall",4.14285714285714,4
"Maryland",1.61538461538462,79
"Massachusetts",1.75,71
"Memphis",2.61538461538462,38.5
"Miami (FL)",1.69230769230769,73.5
"Miami (OH)",1.16666666666667,92.5
"Michigan",0.166666666666667,115
"Michigan State",4.30769230769231,3
"Middle Tennessee State",2.16666666666667,54
"Minnesota",2,62
"Mississippi",1.53846153846154,80
"Mississippi State",2.92307692307692,22
"Missouri",2.07142857142857,60
"Navy",2.46153846153846,45
"Nebraska",2.58333333333333,40
"Nevada",2.23076923076923,52
"Nevada-Las Vegas",0.615384615384615,103
"New Mexico",2.08333333333333,57
"New Mexico State",0.333333333333333,112
"Non-Major",-0.0865384615384615,122
"North Carolina",2.46153846153846,45
"North Carolina State",2.69230769230769,33
"North Texas",1.16666666666667,92.5
"Northern Illinois",3.07142857142857,19.5
"Northwestern",0.75,98.5
"Notre Dame",2.15384615384615,55
"Ohio",0.416666666666667,109.5
"Ohio State",3.86666666666667,7
"Oklahoma",2.69230769230769,33
"Oklahoma State",1.38461538461538,89
"Old Dominion",2.63636363636364,37
"Oregon",5.13333333333333,2
"Oregon State",1.75,71
"Penn State",0,119
"Pittsburgh",2.53846153846154,41
"Purdue",0.75,98.5
"Rice",2.69230769230769,33
"Rutgers",1.76923076923077,68
"San Diego State",1.15384615384615,94
"San Jose State",0.166666666666667,115
"South Alabama",0.384615384615385,111
"South Carolina",2.30769230769231,49
"South Florida",0.166666666666667,115
"Southern California",3.76923076923077,8.5
"Southern Methodist",-1.25,129
"Southern Mississippi",-0.166666666666667,123
"Stanford",1.76923076923077,68
"Syracuse",-0.25,124
"Temple",0,119
"Tennessee",1.69230769230769,73.5
"Texas",0.538461538461538,105
"Texas A&M",2.83333333333333,24
"Texas Christian",3.76923076923077,8.5
"Texas State",3.33333333333333,13
"Texas Tech",1.66666666666667,76
"Texas-El Paso",2.23076923076923,52
"Texas-San Antonio",0,119
"Toledo",3.23076923076923,15
"Troy",1.5,82.5
"Tulane",-0.0833333333333333,121
"Tulsa",1,96
"UCLA",2.69230769230769,33
"Utah",2.23076923076923,52
"Utah State",1.64285714285714,78
"Vanderbilt",-0.5,126
"Virginia",0.583333333333333,104
"Virginia Tech",0.461538461538462,108
"Wake Forest",-0.333333333333333,125
"Washington",2,62
"Washington State",2.08333333333333,57
"West Virginia",1.25,90.5
"Western Kentucky",4.07692307692308,5.5
"Western Michigan",2.76923076923077,27
"Wisconsin",2.5,42
"Wyoming",0.916666666666667,97
