"Team","Value","Rank"
"Air Force",25.675465116792,73
"Akron",15.4171542674287,120
"Alabama",41.7019462212681,6
"Alabama-Birmingham",28.6888728018998,58
"Appalachian State",27.4413397281767,64
"Arizona",33.3345166113836,36
"Arizona State",35.4974044163276,24
"Arkansas",35.56026328911,23
"Arkansas State",30.3035870424236,47
"Army",20.047883515246,100
"Auburn",40.9451659314332,8
"Ball State",19.6353811135722,102
"Baylor",47.425249712352,1
"Boise State",36.6075990025092,18
"Boston College",28.618708139363,59
"Bowling Green State",24.759444253262,77
"Brigham Young",35.1621422233931,26
"Buffalo",24.2443865979722,83
"California",39.7239377530112,10
"Central Florida",27.0737302207587,66
"Central Michigan",20.6275092322303,97
"Cincinnati",33.7720206035486,30
"Clemson",28.7088788348675,57
"Colorado",29.7896490818804,51
"Colorado State",30.7197601646868,44
"Connecticut",12.3069223691671,127
"Duke",31.6927300962906,40
"East Carolina",33.6017973769011,32
"Eastern Michigan",11.0448344001302,128
"Florida",30.3646144014326,46
"Florida Atlantic",20.1643708864027,99
"Florida International",15.5672933014285,119
"Florida State",36.4108602254377,20
"Fresno State",23.8590845821275,85
"Georgia",42.3918301554644,5
"Georgia Southern",28.9908417440797,54
"Georgia State",19.1178721152003,103
"Georgia Tech",38.2517302324671,14
"Hawaii",17.2888557376944,113
"Houston",25.3321166556516,76
"Idaho",20.8675430750298,96
"Illinois",24.74807771197,78
"Indiana",25.5900510001453,74
"Iowa",25.8459459028958,72
"Iowa State",23.8442791556306,86
"Kansas",18.6714334163826,105
"Kansas State",36.477385561006,19
"Kent State",13.0429333510036,126
"Kentucky",30.0356398308128,49
"Louisiana",24.3799530682936,82
"Louisiana State",30.3969996306617,45
"Louisiana Tech",32.503247670772,38
"Louisiana-Monroe",15.6983525896101,118
"Louisville",33.6111220356614,31
"Marshall",40.0523644819028,9
"Maryland",31.5803732241862,41
"Massachusetts",22.6527174471137,90
"Memphis",33.4137922002843,34
"Miami (FL)",28.7669515551675,55
"Miami (OH)",18.6175553313791,107
"Michigan",21.5139392017371,93
"Michigan State",41.1907730799788,7
"Middle Tennessee State",27.6874055648386,63
"Minnesota",29.2931552126149,52
"Mississippi",30.9897814710266,43
"Mississippi State",39.2332288636714,11
"Missouri",28.7580821999996,56
"Navy",29.1839099841544,53
"Nebraska",37.6064918854436,15
"Nevada",24.5385216778083,80
"Nevada-Las Vegas",19.8531636420722,101
"New Mexico",24.4320797851803,81
"New Mexico State",18.3435639993816,108
"Non-Major",15.329536164203,121
"North Carolina",33.9343259162062,29
"North Carolina State",30.0123730797637,50
"North Texas",23.2221515087533,88
"Northern Illinois",26.8742073996211,67
"Northwestern",22.8267959001807,89
"Notre Dame",36.4018931178619,21
"Ohio",14.9212651202107,123
"Ohio State",45.645915851116,3
"Oklahoma",37.1946484148844,16
"Oklahoma State",28.4787146958403,61
"Old Dominion",28.5068008881304,60
"Oregon",45.8903274189461,2
"Oregon State",26.0571533336017,70
"Penn State",21.0730296218631,94
"Pittsburgh",33.4863835533318,33
"Purdue",23.275681951876,87
"Rice",25.9424086066114,71
"Rutgers",27.265804610528,65
"San Diego State",18.6672855295409,106
"San Jose State",17.831462911081,111
"South Alabama",16.388167270447,115
"South Carolina",35.2541025970889,25
"South Florida",13.7740252622292,125
"Southern California",36.1325927007387,22
"Southern Methodist",10.9758349636184,129
"Southern Mississippi",18.0365363899706,109
"Stanford",26.8488644037069,68
"Syracuse",16.2709535190616,116
"Temple",18.9731517364197,104
"Tennessee",32.2100981756113,39
"Texas",22.0121495881371,92
"Texas A&M",38.6813044545284,13
"Texas Christian",44.8281195187931,4
"Texas State",26.2994761027005,69
"Texas Tech",33.0678439807274,37
"Texas-El Paso",20.2528904967046,98
"Texas-San Antonio",13.9665776930947,124
"Toledo",30.2432831032483,48
"Troy",16.1531931390671,117
"Tulane",15.2396998498783,122
"Tulsa",24.0849320784618,84
"UCLA",37.0055688054834,17
"Utah",31.0609486706293,42
"Utah State",20.9789528653508,95
"Vanderbilt",17.7695218138008,112
"Virginia",24.7257486442959,79
"Virginia Tech",22.6029310552295,91
"Wake Forest",16.4479799848024,114
"Washington",25.5316464904544,75
"Washington State",34.2259863112713,28
"West Virginia",33.3937981742463,35
"Western Kentucky",38.8750923787294,12
"Western Michigan",28.146040713754,62
"Wisconsin",34.9477608075647,27
"Wyoming",17.9447716901947,110
