"Team","Value","Rank"
"Air Force",26.0171036378178,71
"Akron",16.0896139632457,118
"Alabama",41.8854382633156,5
"Alabama-Birmingham",29.1222385242308,54
"Appalachian State",27.9903668563291,63
"Arizona",32.848236036704,36
"Arizona State",34.9555661047271,27
"Arkansas",35.1241101731165,25
"Arkansas State",30.4882647823474,46
"Army",20.1372933425411,101
"Auburn",40.3017789107464,9
"Ball State",19.4568938658794,103
"Baylor",46.9956599641315,1
"Boise State",36.3452564349473,18
"Boston College",28.8341786280802,56
"Bowling Green State",24.4150949599537,81
"Brigham Young",35.1019101747001,26
"Buffalo",24.7388756016357,79
"California",39.5317746253204,11
"Central Florida",26.5820029456084,68
"Central Michigan",20.4899289216494,98
"Cincinnati",33.754535880031,33
"Clemson",28.6878259245363,57
"Colorado",30.0591224208985,49
"Colorado State",30.5786846468363,45
"Connecticut",12.9021725933842,127
"Duke",31.7799390047917,40
"East Carolina",34.216171171799,29
"Eastern Michigan",11.8323372719947,128
"Florida",29.7041233455379,51
"Florida Atlantic",20.5690015642156,97
"Florida International",14.7975978190776,122
"Florida State",36.1521911088821,19
"Fresno State",23.461445410849,86
"Georgia",41.548897467725,6
"Georgia Southern",29.3461127917518,52
"Georgia State",20.1060842840244,102
"Georgia Tech",37.5578485868658,15
"Hawaii",17.1597751437519,113
"Houston",24.902174518251,77
"Idaho",20.9900255473478,95
"Illinois",25.4215555053709,75
"Indiana",25.9644414507041,73
"Iowa",26.4014644794231,70
"Iowa State",24.0407704140334,85
"Kansas",18.4574732092293,106
"Kansas State",35.9823835659639,20
"Kent State",13.1664432549081,126
"Kentucky",30.1483598110143,47
"Louisiana",24.8598162632462,78
"Louisiana State",30.6724869840171,44
"Louisiana Tech",31.0840932278744,41
"Louisiana-Monroe",16.0795651980424,119
"Louisville",32.7697859492936,37
"Marshall",40.3530788151388,8
"Maryland",31.8747523578888,39
"Massachusetts",23.079954903309,89
"Memphis",33.1690630110756,34
"Miami (FL)",28.5840735178137,58
"Miami (OH)",18.430711223377,107
"Michigan",22.4753329736858,91
"Michigan State",40.3816148278652,7
"Middle Tennessee State",27.5724354029464,64
"Minnesota",28.5820535436156,59
"Mississippi",30.1245504399494,48
"Mississippi State",39.2876347768559,12
"Missouri",28.5602775079643,61
"Navy",29.2195472521916,53
"Nebraska",37.6442508259571,14
"Nevada",24.0755239315777,84
"Nevada-Las Vegas",20.1619491686576,100
"New Mexico",24.3377123829937,82
"New Mexico State",18.0815538793536,110
"Non-Major",15.6714331443491,120
"North Carolina",34.1182141282026,31
"North Carolina State",29.87010043361,50
"North Texas",23.1369308621808,88
"Northern Illinois",27.0352486538182,66
"Northwestern",22.2671595893605,92
"Notre Dame",35.9675588810802,21
"Ohio",14.9152133372946,121
"Ohio State",45.4578616813051,2
"Oklahoma",37.5114248686584,16
"Oklahoma State",29.1177769991764,55
"Old Dominion",28.5770169913608,60
"Oregon",44.73340577341,3
"Oregon State",25.8472854986804,74
"Penn State",21.4715989480068,94
"Pittsburgh",33.8793004242112,32
"Purdue",23.4165992986495,87
"Rice",25.9967195801209,72
"Rutgers",27.5168232196256,65
"San Diego State",17.9131530040045,112
"San Jose State",17.951399377962,111
"South Alabama",16.444381813697,114
"South Carolina",35.3329219431921,24
"South Florida",13.6642171561945,125
"Southern California",35.603080091766,22
"Southern Methodist",11.1160883352186,129
"Southern Mississippi",18.0818240854892,109
"Stanford",26.630519567901,67
"Syracuse",16.2501801865199,116
"Temple",18.6402287769414,104
"Tennessee",31.9066769386964,38
"Texas",21.8406661373753,93
"Texas A&M",40.1375784346241,10
"Texas Christian",43.9899122341381,4
"Texas State",26.5302799417555,69
"Texas Tech",33.0901801275446,35
"Texas-El Paso",20.3744392293569,99
"Texas-San Antonio",13.7187951064503,124
"Toledo",30.9464155787323,42
"Troy",16.1781880593217,117
"Tulane",14.2105994177055,123
"Tulsa",24.7002620059355,80
"UCLA",37.1939488290126,17
"Utah",30.9342024232469,43
"Utah State",20.7246494386068,96
"Vanderbilt",18.5102601646288,105
"Virginia",24.0965981836706,83
"Virginia Tech",22.8513334895581,90
"Wake Forest",16.3393117283568,115
"Washington",25.1810957992588,76
"Washington State",34.6949633381045,28
"West Virginia",34.1484276395746,30
"Western Kentucky",39.1672091504375,13
"Western Michigan",28.0770646392415,62
"Wisconsin",35.4272916197441,23
"Wyoming",18.2653733066981,108
