"Team","Value","Rank"
"Air Force",376.264631461968,13
"Akron",395.863462300777,24
"Alabama",263.341539033937,1
"Appalachian State",412.128805635794,34
"Arizona",555.915525911909,115
"Arizona State",441.297756351401,51
"Arkansas",476.478948287386,74
"Arkansas State",493.816687914372,83
"Army",468.648068019507,67
"Auburn",428.714805630669,41
"Ball State",576.198426207138,120
"Baylor",507.595672870977,93
"Boise State",382.240875022058,17
"Boston College",282.618146232674,2
"Bowling Green State",526.654853802884,101
"Brigham Young",408.007326052299,30
"Buffalo",498.9016183551,86
"California",514.696398302695,96
"Central Florida",528.231970989516,102
"Central Michigan",410.977418711296,32
"Charlotte",531.311863006842,105
"Cincinnati",528.498727115113,103
"Clemson",394.291265912427,22
"Colorado",467.207871281089,65
"Colorado State",492.901190056104,81
"Connecticut",448.991414493734,56
"Duke",465.968607345337,61
"East Carolina",470.637012678536,68
"Eastern Michigan",604.042562482744,125
"Florida",317.367488337067,3
"Florida Atlantic",467.932754968476,66
"Florida International",504.303446399481,90
"Florida State",406.473155533273,28
"Fresno State",511.238434513593,94
"Georgia",402.016978316734,27
"Georgia Southern",392.049142217774,19
"Georgia State",516.331470815699,98
"Georgia Tech",398.28732104595,25
"Hawaii",555.888736275256,114
"Houston",447.363910851296,55
"Idaho",584.09572842185,123
"Illinois",433.320499207722,43
"Indiana",564.139093675278,118
"Iowa",375.26831135133,12
"Iowa State",471.167087380426,69
"Kansas",561.954834738176,116
"Kansas State",449.381460844334,57
"Kent State",411.916350612413,33
"Kentucky",519.08011937785,99
"Louisiana",546.844688312996,112
"Louisiana State",439.979065927042,49
"Louisiana Tech",504.662991917567,91
"Louisiana-Monroe",519.109097735132,100
"Louisville",366.336772739148,10
"Marshall",457.161730773136,59
"Maryland",472.900609155143,73
"Massachusetts",568.490129751065,119
"Memphis",434.028336069776,44
"Miami (FL)",437.941800531872,48
"Miami (OH)",478.582787431845,77
"Michigan",320.253835089205,4
"Michigan State",436.489594969063,47
"Middle Tennessee State",541.62638918994,110
"Minnesota",395.444939021303,23
"Mississippi",415.026968951007,37
"Mississippi State",452.628383005387,58
"Missouri",379.195837196774,16
"Navy",484.856377281939,79
"Nebraska",515.474916392478,97
"Nevada",491.302227175868,80
"Nevada-Las Vegas",531.296679703368,104
"New Mexico",446.873131984636,54
"New Mexico State",621.3957420195,127
"Non-Major",588.898740072115,124
"North Carolina",461.689896929335,60
"North Carolina State",377.874589716766,14
"North Texas",621.01222794058,126
"Northern Illinois",480.748004400297,78
"Northwestern",359.408135152217,7
"Notre Dame",466.178913248272,62
"Ohio",466.323571197408,63
"Ohio State",339.236347696514,5
"Oklahoma",359.853035884038,8
"Oklahoma State",495.960587061337,84
"Old Dominion",551.311025404397,113
"Oregon",563.690418352756,117
"Oregon State",472.68373070876,72
"Penn State",391.306408457764,18
"Pittsburgh",365.563220318263,9
"Purdue",513.251807685659,95
"Rice",542.940406746159,111
"Rutgers",535.357159346678,107
"San Diego State",392.90785446833,20
"San Jose State",466.555956267611,64
"South Alabama",531.92007058062,106
"South Carolina",472.385161623405,71
"South Florida",472.139495086123,70
"Southern California",434.465644243797,45
"Southern Methodist",540.554280576579,109
"Southern Mississippi",493.115971050217,82
"Stanford",436.427525159233,46
"Syracuse",501.813700479695,88
"Temple",414.787352146643,36
"Tennessee",443.856334586629,52
"Texas",400.741099205938,26
"Texas A&M",428.805998705753,42
"Texas Christian",424.730044936787,39
"Texas State",644.93018809436,129
"Texas Tech",583.540650009336,122
"Texas-El Paso",537.502928197901,108
"Texas-San Antonio",499.468625169284,87
"Toledo",497.32930628126,85
"Troy",440.345054427419,50
"Tulane",504.007874011352,89
"Tulsa",637.248802733129,128
"UCLA",412.349680192497,35
"Utah",428.641372912222,40
"Utah State",393.700589231656,21
"Vanderbilt",378.36158392383,15
"Virginia",446.714698766015,53
"Virginia Tech",408.97841639366,31
"Wake Forest",407.311379645938,29
"Washington",367.501102988876,11
"Washington State",477.11557001664,75
"West Virginia",424.02585236116,38
"Western Kentucky",581.880479136649,121
"Western Michigan",506.136420237718,92
"Wisconsin",357.278149648051,6
"Wyoming",477.547215446032,76
