"Team","Value","Rank"
"Air Force",2.88675273724381,51
"Akron",2.79962229296748,47
"Alabama",1.37862151879473,4
"Appalachian State",2.58182139327775,35
"Arizona",4.82843967460549,114
"Arizona State",4.05064691562237,96
"Arkansas",3.5266555117673,75
"Arkansas State",4.46508891901993,104
"Army",3.84058439343542,88
"Auburn",3.0139405751747,56
"Ball State",4.57171890128082,107
"Baylor",3.70450527729211,82
"Boise State",2.43271870582127,27
"Boston College",1.07479181302121,1
"Bowling Green State",3.68046619288131,81
"Brigham Young",2.64586216829079,41
"Buffalo",3.73542500171992,84
"California",3.06042603800131,59
"Central Florida",4.53392813953548,105
"Central Michigan",2.66120900461922,42
"Charlotte",5.02633633688225,117
"Cincinnati",3.34063137764568,63
"Clemson",1.63789658334326,7
"Colorado",3.38877671414649,66
"Colorado State",3.38612684525909,65
"Connecticut",2.66710806434817,43
"Duke",3.03647925618805,57
"East Carolina",3.49264028617129,73
"Eastern Michigan",6.13778854446577,128
"Florida",1.68174546367448,8
"Florida Atlantic",3.95098621106424,94
"Florida International",3.71826521087842,83
"Florida State",1.80324388106533,9
"Fresno State",5.1090388399436,119
"Georgia",2.58075557979055,34
"Georgia Southern",3.09046644483486,60
"Georgia State",3.95091601287642,93
"Georgia Tech",2.83883087574993,49
"Hawaii",4.65360281665806,112
"Houston",3.00480639670003,55
"Idaho",5.53737128987221,125
"Illinois",2.61584417679116,39
"Indiana",5.04528642703948,118
"Iowa",2.34400197007733,26
"Iowa State",3.43938796836012,68
"Kansas",5.20566890932542,122
"Kansas State",2.60404951131007,38
"Kent State",3.87153404422575,90
"Kentucky",3.73762435445769,85
"Louisiana",4.43733343310438,103
"Louisiana State",2.62676152573869,40
"Louisiana Tech",3.27706649337986,62
"Louisiana-Monroe",4.5740937753698,108
"Louisville",2.29826329729861,23
"Marshall",3.04162469184927,58
"Maryland",4.14322065888162,99
"Massachusetts",4.395369871078,102
"Memphis",3.47747093662212,72
"Miami (FL)",2.70442076425978,46
"Miami (OH)",4.22806598980749,101
"Michigan",1.35135421785853,3
"Michigan State",2.6022920040534,37
"Middle Tennessee State",4.21350010771842,100
"Minnesota",2.53085319003242,31
"Mississippi",2.59323703636381,36
"Mississippi State",1.87866779384715,11
"Missouri",1.91295645203876,13
"Navy",2.27705328004353,22
"Nebraska",3.62116861947264,79
"Nevada",3.50294157823505,74
"Nevada-Las Vegas",3.89912551669777,91
"New Mexico",3.66351017134127,80
"New Mexico State",6.27500474469348,129
"Non-Major",5.75419146106261,126
"North Carolina",2.80481556163415,48
"North Carolina State",2.95459703146887,52
"North Texas",5.98648644779034,127
"Northern Illinois",3.18619817542862,61
"Northwestern",2.0144628369637,14
"Notre Dame",2.49754089895012,29
"Ohio",3.53362219983133,76
"Ohio State",1.87905631042181,12
"Oklahoma",2.19921448532247,18
"Oklahoma State",2.98340395795445,53
"Old Dominion",4.75576356196874,113
"Oregon",4.97828197281767,116
"Oregon State",3.56324675693292,78
"Penn State",2.53859841239062,32
"Pittsburgh",2.27488314136581,21
"Purdue",4.09606970675477,97
"Rice",5.17342545017998,121
"Rutgers",4.83345263566776,115
"San Diego State",2.68128814346796,44
"San Jose State",3.94043823597789,92
"South Alabama",4.6257540748495,109
"South Carolina",3.47501203544027,71
"South Florida",2.51996635393627,30
"Southern California",2.09339977701053,15
"Southern Methodist",5.51048114881037,123
"Southern Mississippi",3.3672439038371,64
"Stanford",2.46492995102213,28
"Syracuse",3.7569853062503,86
"Temple",2.26648223063245,20
"Tennessee",2.24105563458325,19
"Texas",2.99469914314366,54
"Texas A&M",2.31327943181307,24
"Texas Christian",3.42998145885637,67
"Texas State",5.52928443972483,124
"Texas Tech",5.1289393213921,120
"Texas-El Paso",4.63803900068917,110
"Texas-San Antonio",3.80083583820616,87
"Toledo",2.13530722445626,16
"Troy",3.46200857236623,70
"Tulane",4.12830162425674,98
"Tulsa",4.65007192125504,111
"UCLA",2.32874866276499,25
"Utah",2.19494635312189,17
"Utah State",3.45078793704803,69
"Vanderbilt",1.38583159442995,5
"Virginia",2.84650684693911,50
"Virginia Tech",2.70342009222364,45
"Wake Forest",2.57984622846248,33
"Washington",1.1181848727742,2
"Washington State",3.53609338578972,77
"West Virginia",1.86921160942791,10
"Western Kentucky",3.97802354738694,95
"Western Michigan",3.8457328621227,89
"Wisconsin",1.61531204565629,6
"Wyoming",4.54638347482738,106
