"Team","Value","Rank"
"Air Force",2.955694217624,56
"Akron",3.04663310876372,58
"Alabama",0.905093397984558,2
"Appalachian State",2.15057308755408,28
"Arizona",4.8300000190968,117
"Arizona State",3.90399712204094,92
"Arkansas",3.22703389104443,67
"Arkansas State",4.29388507583752,101
"Army",4.15678348873496,99
"Auburn",3.17009818471803,66
"Ball State",4.46130936889855,103
"Baylor",3.69670996145449,87
"Boise State",2.08535170450139,25
"Boston College",0.974323064780777,3
"Bowling Green State",3.5550710746622,85
"Brigham Young",2.78588233530171,50
"Buffalo",3.11930098828725,62
"California",2.74756645872299,46
"Central Florida",4.47899690633661,105
"Central Michigan",2.71606082202882,45
"Charlotte",4.76013239290928,114
"Cincinnati",3.51090525091732,82
"Clemson",1.56403568869671,11
"Colorado",2.89164448278298,54
"Colorado State",3.57091949102436,86
"Connecticut",2.81316412962129,51
"Duke",2.44545323538332,37
"East Carolina",3.42117576142208,78
"Eastern Michigan",6.12770895576035,128
"Florida",1.05993614453385,4
"Florida Atlantic",3.77211821000177,91
"Florida International",3.37462315641506,75
"Florida State",1.8553847233359,18
"Fresno State",5.14161205233197,121
"Georgia",2.51238861437087,39
"Georgia Southern",3.05133149185366,61
"Georgia State",4.02931466850545,96
"Georgia Tech",2.67130949958019,44
"Hawaii",4.57200609270978,111
"Houston",2.61324491933164,41
"Idaho",5.12730176057782,119
"Illinois",2.83457086686197,52
"Indiana",4.81940893984023,116
"Iowa",2.07108074858746,24
"Iowa State",3.28701604006806,70
"Kansas",4.56763288584521,110
"Kansas State",3.04891538592928,59
"Kent State",3.4436920866695,79
"Kentucky",3.77096354850989,90
"Louisiana",4.32960492017784,102
"Louisiana State",2.5059742621962,38
"Louisiana Tech",2.95303478954111,55
"Louisiana-Monroe",4.46285033489625,104
"Louisville",2.18705455264364,29
"Marshall",3.04335948936558,57
"Maryland",4.06205067171521,97
"Massachusetts",4.60539232751726,112
"Memphis",3.12618828088192,63
"Miami (FL)",2.78375368440357,49
"Miami (OH)",4.50488964980438,108
"Michigan",1.29695027639385,5
"Michigan State",2.13556484067632,27
"Middle Tennessee State",3.95986375705918,93
"Minnesota",2.55157926655013,40
"Mississippi",1.78428234843594,17
"Mississippi State",1.47305742836949,7
"Missouri",1.75566640172018,15
"Navy",2.29673872834892,33
"Nebraska",3.52995736254392,84
"Nevada",3.52110391065668,83
"Nevada-Las Vegas",3.41437992716637,77
"New Mexico",3.32174320920334,73
"New Mexico State",6.46262414345793,129
"Non-Major",5.65767590350202,126
"North Carolina",2.84140635996234,53
"North Carolina State",3.24596302635135,68
"North Texas",5.91578290663726,127
"Northern Illinois",3.05002431304837,60
"Northwestern",1.50231283399396,9
"Notre Dame",2.44416118037124,36
"Ohio",3.13738845925344,64
"Ohio State",1.31058909912095,6
"Oklahoma",1.98825913887172,21
"Oklahoma State",2.75141570410828,47
"Old Dominion",4.7841869341438,115
"Oregon",5.20297402491221,123
"Oregon State",3.31079575279958,71
"Penn State",2.2270994347759,30
"Pittsburgh",2.11619145674235,26
"Purdue",3.73842286470576,88
"Rice",5.22293789821408,124
"Rutgers",4.55251495700877,109
"San Diego State",2.28217966856485,32
"San Jose State",4.1041534801787,98
"South Alabama",4.28309645362386,100
"South Carolina",3.74759833056538,89
"South Florida",2.66716821334421,43
"Southern California",1.61338730174124,12
"Southern Methodist",5.18359316999156,122
"Southern Mississippi",3.44604071487603,80
"Stanford",2.39724691654399,34
"Syracuse",3.38250177552497,76
"Temple",1.76387149623089,16
"Tennessee",2.00194667674422,22
"Texas",2.26585208801875,31
"Texas A&M",1.89941125248578,19
"Texas Christian",3.15700629064224,65
"Texas State",5.62395705351107,125
"Texas Tech",5.13044813146339,120
"Texas-El Paso",4.85759898552613,118
"Texas-San Antonio",3.35937171037664,74
"Toledo",1.683791813255,13
"Troy",3.47539865786903,81
"Tulane",4.49850105377967,106
"Tulsa",4.50365626054151,107
"UCLA",2.0325954128246,23
"Utah",1.72295672944821,14
"Utah State",3.31469446054716,72
"Vanderbilt",1.53308564949268,10
"Virginia",2.77094052081545,48
"Virginia Tech",2.40628775128462,35
"Wake Forest",2.62266775880062,42
"Washington",0.58933212739869,1
"Washington State",3.28012627228632,69
"West Virginia",1.96898870510299,20
"Western Kentucky",3.97487758956492,95
"Western Michigan",3.96432661993444,94
"Wisconsin",1.47539455483459,8
"Wyoming",4.60753498505895,113
