"Team","Value","Rank"
"Air Force",26.2838408163778,68
"Akron",24.1846402880656,55
"Alabama",11.1925072930022,2
"Appalachian State",19.9996462860123,31
"Arizona",34.7233975446918,107
"Arizona State",29.5870961692157,93
"Arkansas",25.58174176801,62
"Arkansas State",29.2224579534771,91
"Army",29.8010635158139,94
"Auburn",21.0341338152394,34
"Ball State",37.8998676707181,117
"Baylor",25.2094272531577,60
"Boise State",19.9124405741747,29
"Boston College",12.0342093828177,4
"Bowling Green State",30.3711319370577,95
"Brigham Young",21.1818905355205,37
"Buffalo",28.7498081904251,88
"California",25.5309184269201,61
"Central Florida",34.7490683964723,108
"Central Michigan",23.8424891524191,52
"Charlotte",37.7143854163708,116
"Cincinnati",29.3571468718535,92
"Clemson",17.6521083884529,17
"Colorado",23.4342726232345,50
"Colorado State",29.1914959808062,90
"Connecticut",21.0914814915106,36
"Duke",27.8850202427406,78
"East Carolina",25.0526731315674,58
"Eastern Michigan",42.750467109505,127
"Florida",16.0811552387863,11
"Florida Atlantic",27.6390568291721,74
"Florida International",32.6310300233632,99
"Florida State",17.1836853779704,15
"Fresno State",35.0896481392209,110
"Georgia",17.5814866104077,16
"Georgia Southern",23.8514609780931,53
"Georgia State",29.1721794050297,89
"Georgia Tech",19.4610038578419,25
"Hawaii",35.6602028729845,114
"Houston",22.5313161857357,43
"Idaho",42.5544820428113,126
"Illinois",23.5302921278179,51
"Indiana",36.9326161382506,115
"Iowa",19.6434980419091,27
"Iowa State",28.1689357848723,82
"Kansas",38.3873080549815,118
"Kansas State",28.4146285698072,83
"Kent State",26.5487965463643,70
"Kentucky",27.941250438327,79
"Louisiana",35.1884413390215,111
"Louisiana State",18.4498198437288,20
"Louisiana Tech",27.8154588039712,76
"Louisiana-Monroe",34.0869105511127,104
"Louisville",20.8063152898317,33
"Marshall",22.7778959328963,45
"Maryland",28.5076272380375,86
"Massachusetts",34.2370474088086,105
"Memphis",24.8464595885585,57
"Miami (FL)",24.6856767787184,56
"Miami (OH)",31.4881706378038,96
"Michigan",15.0640283618584,8
"Michigan State",15.2103772343782,9
"Middle Tennessee State",27.988692916332,80
"Minnesota",22.7993682287809,46
"Mississippi",18.4927955753691,21
"Mississippi State",19.3396563302661,24
"Missouri",15.6039515256873,10
"Navy",22.4296654348329,42
"Nebraska",25.8396605417963,63
"Nevada",28.4718282917122,84
"Nevada-Las Vegas",33.7792177928237,102
"New Mexico",26.1707229461595,64
"New Mexico State",44.9545740898223,129
"Non-Major",42.8227240630522,128
"North Carolina",23.8545808408705,54
"North Carolina State",26.2746128219046,66
"North Texas",38.8775877740228,120
"Northern Illinois",26.9963805631935,71
"Northwestern",14.6413833862617,6
"Notre Dame",21.4322296397567,39
"Ohio",26.4643042725984,69
"Ohio State",11.2873019747476,3
"Oklahoma",16.621863180453,12
"Oklahoma State",26.2081178120588,65
"Old Dominion",40.3733483369154,123
"Oregon",35.5671513860203,113
"Oregon State",31.6631982657808,97
"Penn State",21.0753014810896,35
"Pittsburgh",22.0499083056917,41
"Purdue",32.8180783744981,100
"Rice",40.374744567663,124
"Rutgers",34.0106651949258,103
"San Diego State",17.86959586497,19
"San Jose State",28.1542063057706,81
"South Alabama",35.4870943467007,112
"South Carolina",27.8202106445843,77
"South Florida",23.2212039646087,48
"Southern California",17.8391324405127,18
"Southern Methodist",41.4970448506773,125
"Southern Mississippi",27.7231069476572,75
"Stanford",19.2060255930403,23
"Syracuse",27.2777673835792,73
"Temple",20.3289536386968,32
"Tennessee",21.2725363546198,38
"Texas",23.2527123748632,49
"Texas A&M",16.6525492398335,13
"Texas Christian",22.9992938617751,47
"Texas State",40.0190940427538,121
"Texas Tech",40.2939393356976,122
"Texas-El Paso",33.0568461488103,101
"Texas-San Antonio",32.096110611508,98
"Toledo",19.7097960609978,28
"Troy",27.1987564862198,72
"Tulane",34.801841183472,109
"Tulsa",38.848768921861,119
"UCLA",19.5481729652173,26
"Utah",14.9489858888239,7
"Utah State",26.2828426022731,67
"Vanderbilt",16.9613206735597,14
"Virginia",25.082984176452,59
"Virginia Tech",22.6936344514138,44
"Wake Forest",19.1045002008357,22
"Washington",10.7390350592848,1
"Washington State",22.0273368353546,40
"West Virginia",19.9317053441675,30
"Western Kentucky",28.6860156059166,87
"Western Michigan",28.5026917201889,85
"Wisconsin",14.267939729653,5
"Wyoming",34.3615041945553,106
