"Team","Value","Rank"
"Air Force",3.6739768477253,50
"Akron",2.0506550530197,113
"Alabama",4.039905120756,36
"Appalachian State",3.77096601945776,46
"Arizona",4.81739158863315,16
"Arizona State",3.74967107065098,47
"Arkansas",4.66432130849522,20
"Arkansas State",3.90516131802655,41
"Army",2.22239913283389,107
"Auburn",3.07595774972468,74
"Ball State",2.53308094593903,95
"Baylor",6.7647026390616,1
"Boise State",4.46991131903914,24
"Boston College",2.33079957564278,103
"Bowling Green State",5.89548311657585,2
"Brigham Young",4.13850037218498,33
"Buffalo",2.42315096853243,98
"California",4.53890444877298,22
"Central Florida",1.46099354411561,125
"Central Michigan",2.81048931645213,88
"Charlotte",1.35072550987787,127
"Cincinnati",4.43257409216997,26
"Clemson",5.14592563716787,8
"Colorado",2.41444445413919,100
"Colorado State",3.16951992931903,72
"Connecticut",2.02791493478607,114
"Duke",4.03463150646448,37
"East Carolina",3.50488826999989,58
"Eastern Michigan",3.01891264822434,79
"Florida",3.90582226193986,40
"Florida Atlantic",1.61220789507644,123
"Florida International",2.54892681039797,94
"Florida State",4.13724636874901,34
"Fresno State",2.47464377572996,96
"Georgia",3.72251827175046,48
"Georgia Southern",3.50168754148367,59
"Georgia State",1.73630434316031,119
"Georgia Tech",4.5990715251092,21
"Hawaii",2.23760623303031,106
"Houston",4.67161310852982,18
"Idaho",2.40626042687451,101
"Illinois",3.03514567242165,77
"Indiana",3.843700485585,43
"Iowa",3.58738086854186,54
"Iowa State",2.80877708109558,89
"Kansas",1.62891531044111,122
"Kansas State",3.06023037026015,76
"Kent State",1.22870613123448,128
"Kentucky",2.76059708021669,90
"Louisiana",2.86154051982026,87
"Louisiana State",4.7099283902982,17
"Louisiana Tech",3.8180486082792,45
"Louisiana-Monroe",2.15686700296366,110
"Louisville",3.49088536546427,61
"Marshall",2.41695309031412,99
"Maryland",3.71623433244604,49
"Massachusetts",2.91619880781875,85
"Memphis",5.00287942489079,10
"Miami (FL)",3.3867754057537,64
"Miami (OH)",1.47268056247305,124
"Michigan",3.82150778111377,44
"Michigan State",3.98402164413244,38
"Middle Tennessee State",4.1110775499259,35
"Minnesota",2.4435696379049,97
"Mississippi",4.84550139761775,13
"Mississippi State",4.41227002343543,28
"Missouri",1.72771974607964,120
"Navy",4.27522108933854,30
"Nebraska",4.45526791826653,25
"Nevada",2.07472295467991,112
"Nevada-Las Vegas",3.10180780967079,73
"New Mexico",2.26127043282311,104
"New Mexico State",2.9314883754629,84
"Non-Major",1.85114009100996,118
"North Carolina",4.82977902806039,15
"North Carolina State",4.95978201403481,12
"North Texas",1.36478658956894,126
"Northern Illinois",4.35430211611961,29
"Northwestern",2.17863735236458,109
"Notre Dame",5.61670902572014,4
"Ohio",2.5974023153993,92
"Ohio State",4.14896298669127,32
"Oklahoma",5.67395125044022,3
"Oklahoma State",4.96963519149385,11
"Old Dominion",2.02022432503439,115
"Oregon",5.16878102481553,7
"Oregon State",1.93195381382647,117
"Penn State",3.01384558240724,80
"Pittsburgh",3.35378427833943,65
"Purdue",3.6284288529604,53
"Rice",2.93393242618503,82
"Rutgers",3.29418331190999,67
"San Diego State",2.55677879441319,93
"San Jose State",2.99539406784806,81
"South Alabama",2.24690167887066,105
"South Carolina",3.02397001353635,78
"South Florida",3.29417542085047,68
"Southern California",4.51149524863072,23
"Southern Methodist",3.33465559077442,66
"Southern Mississippi",3.54431870569595,55
"Stanford",5.01385477670958,9
"Syracuse",3.64562569336664,52
"Temple",3.45179396835431,63
"Tennessee",4.6648867736151,19
"Texas",2.93390765416298,83
"Texas A&M",3.49723549489094,60
"Texas Christian",5.5238618332684,5
"Texas State",3.20277094590918,71
"Texas Tech",5.37977698291576,6
"Texas-El Paso",1.20382512864757,129
"Texas-San Antonio",1.96703937934617,116
"Toledo",3.2318454658265,70
"Troy",2.63701780009021,91
"Tulane",2.14657248221173,111
"Tulsa",3.86315238109453,42
"UCLA",4.15861582205886,31
"Utah",3.93334840586431,39
"Utah State",3.51595388258781,57
"Vanderbilt",1.70397174785929,121
"Virginia",2.86470751143655,86
"Virginia Tech",3.65648591223041,51
"Wake Forest",2.20474931205688,108
"Washington",3.06254558668393,75
"Washington State",3.45505601113648,62
"West Virginia",3.52397725146282,56
"Western Kentucky",4.84365619052805,14
"Western Michigan",4.41301023560118,27
"Wisconsin",3.28175019738219,69
"Wyoming",2.33925321247325,102
