"Team","Value","Rank"
"Air Force",3.86718425125877,44
"Akron",2.17124143221582,110
"Alabama",4.20134041119393,32
"Appalachian State",3.80412325078051,48
"Arizona",5.10787013046911,11
"Arizona State",3.79406421941105,49
"Arkansas",4.12409423167308,34
"Arkansas State",3.9592065825631,37
"Army",2.52388579282183,95
"Auburn",3.13564594831542,78
"Ball State",2.64194694719713,93
"Baylor",6.96646187384652,1
"Boise State",4.43665801824854,24
"Boston College",2.44850909330551,99
"Bowling Green State",5.58887885809131,3
"Brigham Young",4.36446854021722,26
"Buffalo",2.4772313481577,96
"California",4.75294001345995,16
"Central Florida",1.46714645552908,125
"Central Michigan",2.7211118093241,90
"Charlotte",1.10162663253192,129
"Cincinnati",4.49678334037049,23
"Clemson",5.30804594441072,8
"Colorado",2.41413151078101,101
"Colorado State",3.51725470414288,60
"Connecticut",2.05760763424787,113
"Duke",3.87650144490434,43
"East Carolina",3.72600733848992,50
"Eastern Michigan",3.37303500693029,63
"Florida",3.83321813160907,46
"Florida Atlantic",1.59439630666203,120
"Florida International",2.37653514113466,104
"Florida State",4.22476865239355,31
"Fresno State",2.64517778388173,92
"Georgia",3.96246081549502,36
"Georgia Southern",3.21466180240363,71
"Georgia State",1.59129084952375,121
"Georgia Tech",4.51200040259158,21
"Hawaii",2.34162617923339,106
"Houston",4.72481865436658,17
"Idaho",2.01557654470984,114
"Illinois",2.7316338264623,89
"Indiana",3.92916495561233,41
"Iowa",3.53513124356657,59
"Iowa State",2.95532924849287,83
"Kansas",1.30363361667827,127
"Kansas State",3.24885740256656,69
"Kent State",1.2578001498644,128
"Kentucky",3.05009340479336,81
"Louisiana",3.06753033279868,80
"Louisiana State",4.81559591867099,15
"Louisiana Tech",3.94120291939458,38
"Louisiana-Monroe",2.37381150138543,105
"Louisville",3.16811465475666,75
"Marshall",2.47610957277717,97
"Maryland",3.58715552678838,58
"Massachusetts",3.25391769032188,68
"Memphis",5.36828325768854,6
"Miami (FL)",3.23008771568317,70
"Miami (OH)",1.54845309024382,123
"Michigan",3.93428571624612,40
"Michigan State",3.6772929028483,52
"Middle Tennessee State",4.26563217256786,30
"Minnesota",2.40416408267616,102
"Mississippi",4.52948791371199,20
"Mississippi State",4.27420400681251,29
"Missouri",1.57585000965545,122
"Navy",3.65238696286725,55
"Nebraska",4.50898419450041,22
"Nevada",2.18420772251407,109
"Nevada-Las Vegas",2.98142303559276,82
"New Mexico",2.31005498143707,107
"New Mexico State",3.17499544196035,74
"Non-Major",1.9029276059424,116
"North Carolina",4.12586337404795,33
"North Carolina State",5.12587461287733,10
"North Texas",1.49018145541837,124
"Northern Illinois",4.38264559149439,25
"Northwestern",2.12552589602954,111
"Notre Dame",5.35453498349539,7
"Ohio",2.41987968901902,100
"Ohio State",4.30413628981347,28
"Oklahoma",5.43387108716414,4
"Oklahoma State",4.8392840758196,14
"Old Dominion",1.88475035381246,117
"Oregon",5.27007592565299,9
"Oregon State",2.09727945213293,112
"Penn State",2.7887472520523,87
"Pittsburgh",3.27179666565729,67
"Purdue",3.67949284746771,51
"Rice",3.15234085731123,76
"Rutgers",3.49333055472687,61
"San Diego State",2.47578965229826,98
"San Jose State",3.19031488885369,73
"South Alabama",1.99086643889278,115
"South Carolina",2.76544560871885,88
"South Florida",3.35237569426351,64
"Southern California",4.70964218220358,18
"Southern Methodist",2.92278887996761,84
"Southern Mississippi",3.67447750906764,53
"Stanford",5.04860590665272,12
"Syracuse",3.6422547225465,56
"Temple",3.08529736745564,79
"Tennessee",4.938828032649,13
"Texas",2.55346989772725,94
"Texas A&M",3.90136990189117,42
"Texas Christian",5.70158214786951,2
"Texas State",3.84501347408926,45
"Texas Tech",5.41117860469068,5
"Texas-El Paso",1.34512062396062,126
"Texas-San Antonio",1.7977655706868,118
"Toledo",3.32639957424113,65
"Troy",2.8773889505772,85
"Tulane",2.40276846717959,103
"Tulsa",3.93743111257898,39
"UCLA",4.11190032837859,35
"Utah",3.44458569609229,62
"Utah State",3.81600162726812,47
"Vanderbilt",1.66436868344621,119
"Virginia",3.15035018402818,77
"Virginia Tech",3.66303479273643,54
"Wake Forest",2.28318513322395,108
"Washington",2.83236211863853,86
"Washington State",3.19549111334223,72
"West Virginia",3.62330071703075,57
"Western Kentucky",4.70458419838138,19
"Western Michigan",4.31238763247705,27
"Wisconsin",3.29880401237044,66
"Wyoming",2.68270939255261,91
