"Team","Value","Rank"
"Air Force",509.071428571429,45
"Akron",409.153846153846,117
"Alabama",520.4,41
"Appalachian State",535.769230769231,35
"Arizona",562,20
"Arizona State",587.076923076923,12
"Arkansas",540.923076923077,31
"Arkansas State",556.538461538462,24
"Army",407.083333333333,119
"Auburn",456.461538461538,83.5
"Ball State",488.416666666667,61
"Baylor",673.538461538462,1
"Boise State",561.230769230769,22
"Boston College",362.166666666667,126
"Bowling Green State",608.214285714286,6
"Brigham Young",497.384615384615,54
"Buffalo",444.916666666667,94
"California",603.692307692308,7
"Central Florida",398.75,120
"Central Michigan",459.230769230769,81
"Charlotte",430.083333333333,104
"Cincinnati",629.153846153846,5
"Clemson",576.4,16
"Colorado",461.769230769231,78
"Colorado State",515.538461538462,43
"Connecticut",352.846153846154,127
"Duke",532.692307692308,37
"East Carolina",497.75,52.5
"Eastern Michigan",480.25,69
"Florida",416.285714285714,114
"Florida Atlantic",449.166666666667,88
"Florida International",448.5,89
"Florida State",481.769230769231,65
"Fresno State",409.5,116
"Georgia",450.230769230769,87
"Georgia Southern",529.846153846154,38
"Georgia State",503,49
"Georgia Tech",442.916666666667,97
"Hawaii",418.692307692308,113
"Houston",561.642857142857,21
"Idaho",492.25,56
"Illinois",448,91
"Indiana",594.923076923077,10
"Iowa",461,79
"Iowa State",497.75,52.5
"Kansas",424.833333333333,107
"Kansas State",443.384615384615,96
"Kent State",342.5,128
"Kentucky",433.166666666667,102
"Louisiana",457.583333333333,82
"Louisiana State",516.333333333333,42
"Louisiana Tech",578,15
"Louisiana-Monroe",379.846153846154,123
"Louisville",480.461538461538,67.5
"Marshall",480.461538461538,67.5
"Maryland",499.916666666667,51
"Massachusetts",508.916666666667,46
"Memphis",580.307692307692,14
"Miami (FL)",456.461538461538,83.5
"Miami (OH)",420.416666666667,112
"Michigan",472.846153846154,70
"Michigan State",423.571428571429,109
"Middle Tennessee State",542.692307692308,30
"Minnesota",425.461538461538,105
"Mississippi",572.461538461538,17
"Mississippi State",536.384615384615,34
"Missouri",341.833333333333,129
"Navy",489.923076923077,60
"Nebraska",503.076923076923,48
"Nevada",444.615384615385,95
"Nevada-Las Vegas",469.916666666667,72
"New Mexico",460.384615384615,80
"New Mexico State",492,57
"Non-Major",374.180952380952,125
"North Carolina",555.928571428571,26
"North Carolina State",522.230769230769,40
"North Texas",425.25,106
"Northern Illinois",505,47
"Northwestern",397.076923076923,121
"Notre Dame",546.769230769231,28
"Ohio",481.153846153846,66
"Ohio State",495.769230769231,55
"Oklahoma",597.384615384615,8
"Oklahoma State",558.692307692308,23
"Old Dominion",453.333333333333,86
"Oregon",662.230769230769,3
"Oregon State",435.833333333333,100
"Penn State",437.846153846154,98
"Pittsburgh",464.923076923077,75
"Purdue",445.416666666667,93
"Rice",484.75,63
"Rutgers",482,64
"San Diego State",464.285714285714,77
"San Jose State",468,74
"South Alabama",448.083333333333,90
"South Carolina",433.083333333333,103
"South Florida",543.307692307692,29
"Southern California",526.428571428571,39
"Southern Methodist",490.083333333333,59
"Southern Mississippi",588.571428571429,11
"Stanford",536.785714285714,33
"Syracuse",411.166666666667,115
"Temple",445.571428571429,92
"Tennessee",535.307692307692,36
"Texas",471.416666666667,71
"Texas A&M",511.538461538462,44
"Texas Christian",643.538461538462,4
"Texas State",502.916666666667,50
"Texas Tech",673.076923076923,2
"Texas-El Paso",422.25,110
"Texas-San Antonio",491.333333333333,58
"Toledo",556.416666666667,25
"Troy",423.666666666667,108
"Tulane",395.916666666667,122
"Tulsa",569,18
"UCLA",567.461538461538,19
"Utah",421.692307692308,111
"Utah State",468.692307692308,73
"Vanderbilt",408.916666666667,118
"Virginia",453.75,85
"Virginia Tech",464.538461538462,76
"Wake Forest",377.833333333333,124
"Washington",485.846153846154,62
"Washington State",538.923076923077,32
"West Virginia",553,27
"Western Kentucky",595.357142857143,9
"Western Michigan",582.692307692308,13
"Wisconsin",437.538461538462,99
"Wyoming",434.083333333333,101
