"Team","Value","Rank"
"Air Force",4.13803940538059,34
"Akron",2.43460934220824,104
"Alabama",4.65257672596948,19
"Appalachian State",3.66860025331991,51
"Arizona",4.79723823092148,14
"Arizona State",4.12973386756878,35
"Arkansas",5.20904293381915,10
"Arkansas State",4.10186465777841,38
"Army",2.20307215845351,113
"Auburn",3.25720945539157,74
"Ball State",2.60790067370856,95
"Baylor",5.9838651156346,1
"Boise State",4.34534047125234,28
"Boston College",2.229176940605,111
"Bowling Green State",5.64307498662933,4
"Brigham Young",4.38145956701325,26
"Buffalo",2.55278383209513,97
"California",4.93194236051681,13
"Central Florida",1.23494012987781,125
"Central Michigan",2.80263692326138,90
"Charlotte",1.2231389926763,126
"Cincinnati",4.10510968126105,37
"Clemson",5.22518317371897,9
"Colorado",2.53816140621339,99
"Colorado State",3.30512447146255,68
"Connecticut",1.87147015650621,118
"Duke",3.83178774538668,46
"East Carolina",3.22754889799601,75
"Eastern Michigan",2.88261532107374,86
"Florida",3.59442560458022,56
"Florida Atlantic",1.56292606292339,124
"Florida International",2.29261967410842,109
"Florida State",4.10847856808842,36
"Fresno State",2.7256691992325,93
"Georgia",3.43193844823175,63
"Georgia Southern",3.86263574358848,45
"Georgia State",2.34118458066136,106
"Georgia Tech",3.95871938536941,42
"Hawaii",2.15667933943457,114
"Houston",4.73619279299782,15
"Idaho",2.74371783604947,92
"Illinois",2.82559412452636,89
"Indiana",4.34060494985052,29
"Iowa",3.68973372040511,49
"Iowa State",3.02962142069635,81
"Kansas",1.686832147261,121
"Kansas State",3.4135578979532,64
"Kent State",1.10649529589684,128
"Kentucky",2.98806194671482,83
"Louisiana",2.53852705096007,98
"Louisiana State",4.38848165793513,25
"Louisiana Tech",3.50031609852766,61
"Louisiana-Monroe",1.75553703533545,120
"Louisville",4.03229305595334,39
"Marshall",2.83957676885951,88
"Maryland",3.53086105402971,60
"Massachusetts",2.52486923012826,100
"Memphis",4.24605853116997,32
"Miami (FL)",3.29552915447137,70
"Miami (OH)",1.59408995746352,123
"Michigan",4.00411682738239,41
"Michigan State",3.6796839122404,50
"Middle Tennessee State",3.86558308562827,44
"Minnesota",3.01285084064672,82
"Mississippi",5.16645544675564,11
"Mississippi State",4.72086971271957,16
"Missouri",1.67072684769117,122
"Navy",4.46961038953489,24
"Nebraska",4.26472491615615,31
"Nevada",2.48618796891989,103
"Nevada-Las Vegas",3.28851056831615,71
"New Mexico",2.95065394730494,84
"New Mexico State",3.06712626563624,80
"Non-Major",1.85162637241819,119
"North Carolina",5.24119945351036,8
"North Carolina State",4.71953843768255,17
"North Texas",1.12324515604603,127
"Northern Illinois",3.69248756368971,48
"Northwestern",2.20365889996139,112
"Notre Dame",5.28702765331323,6
"Ohio",2.60037095701001,96
"Ohio State",4.51337704458074,22
"Oklahoma",5.25208080245784,7
"Oklahoma State",4.59431140549315,20
"Old Dominion",2.30242118514017,108
"Oregon",5.64681795522275,3
"Oregon State",2.50351924252444,101
"Penn State",3.08556518565738,79
"Pittsburgh",3.54764338811055,58
"Purdue",3.58039949977103,57
"Rice",2.75474834395418,91
"Rutgers",3.39666085644106,65
"San Diego State",3.14296940142653,78
"San Jose State",3.27030977850622,73
"South Alabama",2.33423257955363,107
"South Carolina",2.93761021814553,85
"South Florida",4.01780465980376,40
"Southern California",4.36362514151365,27
"Southern Methodist",3.28356158803797,72
"Southern Mississippi",4.48040874019438,23
"Stanford",4.95849808227664,12
"Syracuse",3.64933783097529,52
"Temple",3.17454716682465,77
"Tennessee",4.66756923667601,18
"Texas",2.86255342748344,87
"Texas A&M",3.3892323122207,66
"Texas Christian",4.57348582252727,21
"Texas State",2.658762260793,94
"Texas Tech",5.72930277067363,2
"Texas-El Paso",1.07628059063374,129
"Texas-San Antonio",1.91236435967808,117
"Toledo",3.7337525926647,47
"Troy",2.48872233806753,102
"Tulane",2.06300968918573,115
"Tulsa",4.20310758090592,33
"UCLA",3.91039138150317,43
"Utah",3.34085901587739,67
"Utah State",3.63247988713676,53
"Vanderbilt",2.03417408610031,116
"Virginia",3.20226952458631,76
"Virginia Tech",3.60679894813101,55
"Wake Forest",2.28780866315812,110
"Washington",3.43210622150827,62
"Washington State",3.53160203955096,59
"West Virginia",3.60714364845817,54
"Western Kentucky",5.36679284020122,5
"Western Michigan",4.31319346055584,30
"Wisconsin",3.30301139024864,69
"Wyoming",2.41862055988825,105
