"Team","Value","Rank"
"Air Force",31.5335003552143,39
"Akron",19.4150003686313,102
"Alabama",37.7676261035858,14
"Appalachian State",26.7952315814161,67
"Arizona",37.2567986952935,15
"Arizona State",34.7474776184623,22
"Arkansas",38.7524423691889,12
"Arkansas State",29.6230105947416,44
"Army",16.5905215030791,112
"Auburn",28.193880291238,53
"Ball State",20.6032834750411,94
"Baylor",43.4906318514006,3
"Boise State",34.0446919140895,27
"Boston College",15.2404582266673,117
"Bowling Green State",40.4581920185366,7
"Brigham Young",32.7049442678731,34
"Buffalo",19.7657025319337,99
"California",38.5162764871338,13
"Central Florida",10.7013866586276,125
"Central Michigan",22.700538779764,88
"Charlotte",9.59470984882421,126
"Cincinnati",31.558244516197,38
"Clemson",41.4595569318825,4
"Colorado",21.539710723109,90
"Colorado State",26.0406529437259,70
"Connecticut",15.8886104184811,114
"Duke",32.1051877022611,37
"East Carolina",24.296778836742,81
"Eastern Michigan",21.0412270935669,92
"Florida",26.0370302086693,71
"Florida Atlantic",13.4529493084237,119
"Florida International",15.7196175794595,115
"Florida State",33.0622196074605,33
"Fresno State",18.1681597500113,105
"Georgia",26.9382307509986,65
"Georgia Southern",28.1717606715284,54
"Georgia State",16.5247097640847,113
"Georgia Tech",28.7660356199268,51
"Hawaii",16.6461308564285,110
"Houston",35.6151343098157,20
"Idaho",23.8993865479576,83
"Illinois",24.7441440221845,77
"Indiana",36.1125118806352,18
"Iowa",28.9050135846911,50
"Iowa State",23.875954652862,84
"Kansas",12.1228713626161,123
"Kansas State",27.0943396411349,62
"Kent State",8.61232644594709,127
"Kentucky",24.3753938390906,80
"Louisiana",18.5790743432729,103
"Louisiana State",34.0551419096351,26
"Louisiana Tech",28.746514180198,52
"Louisiana-Monroe",12.5573113501034,122
"Louisville",29.9390099444834,42
"Marshall",23.7607959756994,85
"Maryland",26.7771194880266,68
"Massachusetts",20.1921870892547,96
"Memphis",34.9866699803472,21
"Miami (FL)",28.0903251800863,55
"Miami (OH)",13.0062092183489,121
"Michigan",33.0913219326485,32
"Michigan State",28.9692877598988,49
"Middle Tennessee State",29.2323822353886,48
"Minnesota",24.0420614511703,82
"Mississippi",40.1313613737268,8
"Mississippi State",35.7507165568604,19
"Missouri",15.5036178552754,116
"Navy",33.2911303959405,30
"Nebraska",34.1286872185621,25
"Nevada",19.7723953663205,98
"Nevada-Las Vegas",25.2712982559016,73
"New Mexico",23.5965409361346,86
"New Mexico State",21.2502307941609,91
"Non-Major",13.1463192652064,120
"North Carolina",40.656736499322,6
"North Carolina State",33.1079693121132,31
"North Texas",8.1241432111342,128
"Northern Illinois",27.6547868228481,58
"Northwestern",18.2537459820017,104
"Notre Dame",39.5306655037084,10
"Ohio",20.7389312456908,93
"Ohio State",34.4382447570613,23
"Oklahoma",41.4446927469232,5
"Oklahoma State",34.406799373131,24
"Old Dominion",18.0181376082089,106
"Oregon",45.1319168052203,1
"Oregon State",19.7856272471031,97
"Penn State",25.4190910553884,72
"Pittsburgh",27.354001428891,61
"Purdue",24.7207638638902,78
"Rice",20.3686656060779,95
"Rutgers",27.0844537894026,63
"San Diego State",24.8663073222353,76
"San Jose State",24.5884339176395,79
"South Alabama",17.8003349944705,107
"South Carolina",24.9507140242837,74
"South Florida",31.2707657667935,41
"Southern California",33.4975500837103,29
"Southern Methodist",23.0489403334307,87
"Southern Mississippi",32.4231551132934,36
"Stanford",39.3686760860196,11
"Syracuse",27.7307912131931,56
"Temple",26.9479908347929,64
"Tennessee",36.7196076982656,16
"Texas",22.5848060979838,89
"Texas A&M",26.8604726969035,66
"Texas Christian",36.654460798351,17
"Texas State",19.457715737776,101
"Texas Tech",43.5877791000518,2
"Texas-El Paso",7.98971893783984,129
"Texas-San Antonio",11.2515646665265,124
"Toledo",29.5207630131293,45
"Troy",19.7411091038711,100
"Tulane",13.941507371515,118
"Tulsa",32.6061366383384,35
"UCLA",31.5258018681728,40
"Utah",29.3630751086839,47
"Utah State",27.4901825046254,60
"Vanderbilt",16.6011852643036,111
"Virginia",24.9288228032638,75
"Virginia Tech",29.5101401539458,46
"Wake Forest",16.8849315260888,108
"Washington",27.5879417380394,59
"Washington State",27.7086112071369,57
"West Virginia",29.6303649020898,43
"Western Kentucky",40.1290685702484,9
"Western Michigan",33.6942759664005,28
"Wisconsin",26.6556050571463,69
"Wyoming",16.8141166634108,109
