"Team","Value","Rank"
"Air Force",486.435165245525,52
"Akron",400.820517668356,107
"Alabama",564.146164743491,15
"Appalachian State",500.529815149578,46
"Arizona",548.397822346264,23
"Arizona State",555.973520283502,18
"Arkansas",552.228755470389,20
"Arkansas State",479.264080692658,56
"Army",346.170277629495,122
"Auburn",494.758065441727,48
"Ball State",441.778739129418,78
"Baylor",636.225061397197,3
"Boise State",545.778103325462,24
"Boston College",371.656938417242,115
"Bowling Green State",602.700828587702,7
"Brigham Young",508.208424400363,38
"Buffalo",417.068544174678,98
"California",605.945978743128,6
"Central Florida",316.089397181234,128
"Central Michigan",427.439600497408,88
"Charlotte",358.807662269331,119
"Cincinnati",572.957014685103,13
"Clemson",628.988699093325,4
"Colorado",421.272643350798,95
"Colorado State",492.390872938849,51
"Connecticut",342.268519598137,124
"Duke",550.596515731944,21
"East Carolina",466.103059838862,66
"Eastern Michigan",425.886522936622,91
"Florida",472.897561819065,60
"Florida Atlantic",386.701462680061,112
"Florida International",356.084784722517,120
"Florida State",512.773526044077,37
"Fresno State",380.624195097844,114
"Georgia",486.337999900044,53
"Georgia Southern",474.776181032504,58
"Georgia State",439.817144698692,81
"Georgia Tech",438.802027958803,83
"Hawaii",407.333389403384,103
"Houston",518.597476284949,36
"Idaho",421.23188936691,96
"Illinois",479.219477456776,57
"Indiana",585.549754998371,11
"Iowa",465.625314350194,67
"Iowa State",465.024737860787,68
"Kansas",386.474182053336,113
"Kansas State",403.487019773484,105
"Kent State",331.394989617953,126
"Kentucky",436.008841744089,86
"Louisiana",395.303452421014,109
"Louisiana State",537.544335297751,27
"Louisiana Tech",500.732165802899,45
"Louisiana-Monroe",316.151600250949,127
"Louisville",501.603067602437,44
"Marshall",426.705576206559,89
"Maryland",494.300726696135,50
"Massachusetts",473.74119008239,59
"Memphis",542.092763838268,25
"Miami (FL)",454.534074892174,70
"Miami (OH)",364.541567340045,116
"Michigan",506.075738451965,41
"Michigan State",447.811679892096,74
"Middle Tennessee State",508.007162311778,39
"Minnesota",468.023339227644,64
"Mississippi",594.53073771318,8
"Mississippi State",564.396643090791,14
"Missouri",363.780131407313,117
"Navy",479.552031592276,55
"Nebraska",494.35628193349,49
"Nevada",407.44216907197,102
"Nevada-Las Vegas",444.649167346413,77
"New Mexico",416.266353949898,99
"New Mexico State",437.394725311137,85
"Non-Major",344.840348388474,123
"North Carolina",574.504845772857,12
"North Carolina State",532.626441411765,31
"North Texas",350.14328887925,121
"Northern Illinois",499.504254476527,47
"Northwestern",409.800257808244,101
"Notre Dame",593.231376234476,9
"Ohio",438.886303747359,82
"Ohio State",503.723984348488,43
"Oklahoma",587.108422889283,10
"Oklahoma State",537.990349380458,26
"Old Dominion",418.51692678555,97
"Oregon",665.742649918885,1
"Oregon State",423.22543997807,93
"Penn State",469.544672391375,62
"Pittsburgh",469.344858034,63
"Purdue",447.646069635488,75
"Rice",400.536372281273,108
"Rutgers",471.689368136981,61
"San Diego State",440.163062552255,79
"San Jose State",452.571414440018,71
"South Alabama",391.439651031116,111
"South Carolina",438.441075150246,84
"South Florida",523.02094777701,35
"Southern California",528.054745512488,34
"Southern Methodist",422.909110376477,94
"Southern Mississippi",534.516978512155,29
"Stanford",533.292678134763,30
"Syracuse",439.824932110272,80
"Temple",429.315244226899,87
"Tennessee",549.18874782415,22
"Texas",445.272776423706,76
"Texas A&M",506.374196834228,40
"Texas Christian",609.759031981227,5
"Texas State",424.57619522217,92
"Texas Tech",642.327801499292,2
"Texas-El Paso",302.94795448183,129
"Texas-San Antonio",404.525815098119,104
"Toledo",531.964586875059,32
"Troy",401.784288656869,106
"Tulane",340.736495942803,125
"Tulsa",528.598876086381,33
"UCLA",559.501712679626,16
"Utah",426.675752204999,90
"Utah State",482.973089374046,54
"Vanderbilt",413.59467253168,100
"Virginia",451.09908995558,73
"Virginia Tech",459.565490562981,69
"Wake Forest",360.099073836681,118
"Washington",466.716072279847,65
"Washington State",505.269996401658,42
"West Virginia",534.843596741149,28
"Western Kentucky",556.874364240843,17
"Western Michigan",553.195727353442,19
"Wisconsin",452.256143221351,72
"Wyoming",395.133416292794,110
